month,weekday,day,hour,holiday,airTemp,value
1.0,5.0,1.0,0.0,1.0,-7.2,163.282
1.0,5.0,1.0,1.0,1.0,-6.7,163.282
1.0,5.0,1.0,2.0,1.0,-6.7,137.989
1.0,5.0,1.0,3.0,1.0,-6.7,188.094
1.0,5.0,1.0,4.0,1.0,-8.3,149.501
1.0,5.0,1.0,5.0,1.0,-8.3,145.52100000000004
1.0,5.0,1.0,6.0,1.0,-8.9,200.688
1.0,5.0,1.0,7.0,1.0,-9.4,143.749
1.0,5.0,1.0,8.0,1.0,-8.9,151.625
1.0,5.0,1.0,9.0,1.0,-8.3,195.319
1.0,5.0,1.0,10.0,1.0,-6.7,221.034
1.0,5.0,1.0,11.0,1.0,-5.6,274.09
1.0,5.0,1.0,12.0,1.0,-2.8,268.458
1.0,5.0,1.0,13.0,1.0,-1.7,269.55
1.0,5.0,1.0,14.0,1.0,-1.1,205.717
1.0,5.0,1.0,15.0,1.0,-1.1,257.981
1.0,5.0,1.0,16.0,1.0,-1.7,297.3
1.0,5.0,1.0,17.0,1.0,-2.8,277.772
1.0,5.0,1.0,18.0,1.0,-3.3,179.625
1.0,5.0,1.0,19.0,1.0,-3.9,147.776
1.0,5.0,1.0,20.0,1.0,-5.0,152.803
1.0,5.0,1.0,21.0,1.0,-5.6,231.456
1.0,5.0,1.0,22.0,1.0,-6.1,188.794
1.0,5.0,1.0,23.0,1.0,-7.2,114.203
1.0,6.0,2.0,0.0,0.0,-7.2,166.895
1.0,6.0,2.0,1.0,0.0,-7.8,150.645
1.0,6.0,2.0,2.0,0.0,-8.9,126.535
1.0,6.0,2.0,3.0,0.0,-8.9,155.47
1.0,6.0,2.0,4.0,0.0,-9.4,164.329
1.0,6.0,2.0,5.0,0.0,-9.4,139.583
1.0,6.0,2.0,6.0,0.0,-10.0,140.12
1.0,6.0,2.0,7.0,0.0,-8.9,176.562
1.0,6.0,2.0,8.0,0.0,-8.9,266.2
1.0,6.0,2.0,9.0,0.0,-8.3,248.264
1.0,6.0,2.0,10.0,0.0,-6.7,281.445
1.0,6.0,2.0,11.0,0.0,-5.6,333.769
1.0,6.0,2.0,12.0,0.0,-2.8,318.138
1.0,6.0,2.0,13.0,0.0,-1.7,262.438
1.0,6.0,2.0,14.0,0.0,-1.1,280.553
1.0,6.0,2.0,15.0,0.0,-0.6,291.884
1.0,6.0,2.0,16.0,0.0,-0.6,316.655
1.0,6.0,2.0,17.0,0.0,-2.2,332.523
1.0,6.0,2.0,18.0,0.0,-2.8,370.333
1.0,6.0,2.0,19.0,0.0,-3.3,342.793
1.0,6.0,2.0,20.0,0.0,-4.4,187.016
1.0,6.0,2.0,21.0,0.0,-3.3,234.944
1.0,6.0,2.0,22.0,0.0,-3.9,181.771
1.0,6.0,2.0,23.0,0.0,-4.4,175.362
1.0,0.0,3.0,0.0,0.0,-3.9,158.657
1.0,0.0,3.0,1.0,0.0,-3.3,134.539
1.0,0.0,3.0,2.0,0.0,-2.8,158.219
1.0,0.0,3.0,3.0,0.0,-2.8,171.804
1.0,0.0,3.0,4.0,0.0,-2.8,144.597
1.0,0.0,3.0,5.0,0.0,-3.3,136.657
1.0,0.0,3.0,6.0,0.0,-2.8,180.92
1.0,0.0,3.0,7.0,0.0,-2.8,173.202
1.0,0.0,3.0,8.0,0.0,-2.8,138.618
1.0,0.0,3.0,9.0,0.0,-2.8,196.962
1.0,0.0,3.0,10.0,0.0,-2.8,262.308
1.0,0.0,3.0,11.0,0.0,-2.2,239.488
1.0,0.0,3.0,12.0,0.0,-2.2,274.085
1.0,0.0,3.0,13.0,0.0,-2.2,302.6040000000001
1.0,0.0,3.0,14.0,0.0,-2.8,265.611
1.0,0.0,3.0,15.0,0.0,-2.8,321.466
1.0,0.0,3.0,16.0,0.0,-2.2,316.465
1.0,0.0,3.0,17.0,0.0,-2.8,363.336
1.0,0.0,3.0,18.0,0.0,-2.8,292.934
1.0,0.0,3.0,19.0,0.0,-3.9,334.05
1.0,0.0,3.0,20.0,0.0,-5.0,270.657
1.0,0.0,3.0,21.0,0.0,-5.0,298.085
1.0,0.0,3.0,22.0,0.0,-6.1,213.574
1.0,0.0,3.0,23.0,0.0,-6.1,189.726
1.0,1.0,4.0,0.0,0.0,-6.7,169.957
1.0,1.0,4.0,1.0,0.0,-7.2,133.548
1.0,1.0,4.0,2.0,0.0,-7.8,147.57299999999995
1.0,1.0,4.0,3.0,0.0,-7.8,169.482
1.0,1.0,4.0,4.0,0.0,-8.9,152.563
1.0,1.0,4.0,5.0,0.0,-10.0,132.892
1.0,1.0,4.0,6.0,0.0,-11.1,170.729
1.0,1.0,4.0,7.0,0.0,-11.1,184.817
1.0,1.0,4.0,8.0,0.0,-11.7,199.208
1.0,1.0,4.0,9.0,0.0,-12.2,204.015
1.0,1.0,4.0,10.0,0.0,-10.6,272.714
1.0,1.0,4.0,11.0,0.0,-8.9,285.9120000000001
1.0,1.0,4.0,12.0,0.0,-6.7,275.307
1.0,1.0,4.0,13.0,0.0,-5.0,281.522
1.0,1.0,4.0,14.0,0.0,-3.3,249.127
1.0,1.0,4.0,15.0,0.0,-3.9,284.908
