month,weekday,day,hour,holiday,airTemp,value
1.0,5.0,1.0,0.0,1.0,-7.2,45.285
1.0,5.0,1.0,1.0,1.0,-6.7,45.285
1.0,5.0,1.0,2.0,1.0,-6.7,45.714
1.0,5.0,1.0,3.0,1.0,-6.7,45.645
1.0,5.0,1.0,4.0,1.0,-8.3,45.526
1.0,5.0,1.0,5.0,1.0,-8.3,45.56399999999999
1.0,5.0,1.0,6.0,1.0,-8.9,47.215
1.0,5.0,1.0,7.0,1.0,-9.4,47.163
1.0,5.0,1.0,8.0,1.0,-8.9,47.32
1.0,5.0,1.0,9.0,1.0,-8.3,44.831
1.0,5.0,1.0,10.0,1.0,-6.7,42.547
1.0,5.0,1.0,11.0,1.0,-5.6,41.412
1.0,5.0,1.0,12.0,1.0,-2.8,41.463
1.0,5.0,1.0,13.0,1.0,-1.7,41.582
1.0,5.0,1.0,14.0,1.0,-1.1,41.537
1.0,5.0,1.0,15.0,1.0,-1.1,41.558
1.0,5.0,1.0,16.0,1.0,-1.7,41.783
1.0,5.0,1.0,17.0,1.0,-2.8,43.15
1.0,5.0,1.0,18.0,1.0,-3.3,47.073
1.0,5.0,1.0,19.0,1.0,-3.9,47.05
1.0,5.0,1.0,20.0,1.0,-5.0,47.389
1.0,5.0,1.0,21.0,1.0,-5.6,47.31399999999999
1.0,5.0,1.0,22.0,1.0,-6.1,47.299
1.0,5.0,1.0,23.0,1.0,-7.2,45.672
1.0,6.0,2.0,0.0,0.0,-7.2,45.53100000000001
1.0,6.0,2.0,1.0,0.0,-7.8,45.514
1.0,6.0,2.0,2.0,0.0,-8.9,45.547
1.0,6.0,2.0,3.0,0.0,-8.9,45.984
1.0,6.0,2.0,4.0,0.0,-9.4,48.89100000000001
1.0,6.0,2.0,5.0,0.0,-9.4,48.93
1.0,6.0,2.0,6.0,0.0,-10.0,49.154
1.0,6.0,2.0,7.0,0.0,-8.9,49.128
1.0,6.0,2.0,8.0,0.0,-8.9,48.705
1.0,6.0,2.0,9.0,0.0,-8.3,46.167
1.0,6.0,2.0,10.0,0.0,-6.7,51.822
1.0,6.0,2.0,11.0,0.0,-5.6,88.573
1.0,6.0,2.0,12.0,0.0,-2.8,86.10600000000002
1.0,6.0,2.0,13.0,0.0,-1.7,96.352
1.0,6.0,2.0,14.0,0.0,-1.1,88.875
1.0,6.0,2.0,15.0,0.0,-0.6,89.01299999999998
1.0,6.0,2.0,16.0,0.0,-0.6,91.039
1.0,6.0,2.0,17.0,0.0,-2.2,52.82100000000001
1.0,6.0,2.0,18.0,0.0,-2.8,47.483
1.0,6.0,2.0,19.0,0.0,-3.3,47.647
1.0,6.0,2.0,20.0,0.0,-4.4,45.666
1.0,6.0,2.0,21.0,0.0,-3.3,45.232
1.0,6.0,2.0,22.0,0.0,-3.9,45.363
1.0,6.0,2.0,23.0,0.0,-4.4,45.27
1.0,0.0,3.0,0.0,0.0,-3.9,45.369
1.0,0.0,3.0,1.0,0.0,-3.3,45.234
1.0,0.0,3.0,2.0,0.0,-2.8,45.32
1.0,0.0,3.0,3.0,0.0,-2.8,46.46
1.0,0.0,3.0,4.0,0.0,-2.8,47.347
1.0,0.0,3.0,5.0,0.0,-3.3,47.317
1.0,0.0,3.0,6.0,0.0,-2.8,47.444
1.0,0.0,3.0,7.0,0.0,-2.8,47.5
1.0,0.0,3.0,8.0,0.0,-2.8,47.43899999999999
1.0,0.0,3.0,9.0,0.0,-2.8,44.694
1.0,0.0,3.0,10.0,0.0,-2.8,41.725
1.0,0.0,3.0,11.0,0.0,-2.2,42.633
1.0,0.0,3.0,12.0,0.0,-2.2,64.064
1.0,0.0,3.0,13.0,0.0,-2.2,94.037
1.0,0.0,3.0,14.0,0.0,-2.8,84.865
1.0,0.0,3.0,15.0,0.0,-2.8,98.805
1.0,0.0,3.0,16.0,0.0,-2.2,105.085
1.0,0.0,3.0,17.0,0.0,-2.8,88.37
1.0,0.0,3.0,18.0,0.0,-2.8,62.71
1.0,0.0,3.0,19.0,0.0,-3.9,46.511
1.0,0.0,3.0,20.0,0.0,-5.0,46.411
1.0,0.0,3.0,21.0,0.0,-5.0,46.635
1.0,0.0,3.0,22.0,0.0,-6.1,51.925
1.0,0.0,3.0,23.0,0.0,-6.1,71.649
1.0,1.0,4.0,0.0,0.0,-6.7,75.17699999999998
1.0,1.0,4.0,1.0,0.0,-7.2,72.82300000000002
1.0,1.0,4.0,2.0,0.0,-7.8,71.458
1.0,1.0,4.0,3.0,0.0,-7.8,72.219
1.0,1.0,4.0,4.0,0.0,-8.9,71.362
1.0,1.0,4.0,5.0,0.0,-10.0,68.491
1.0,1.0,4.0,6.0,0.0,-11.1,59.597
1.0,1.0,4.0,7.0,0.0,-11.1,60.809
1.0,1.0,4.0,8.0,0.0,-11.7,80.524
1.0,1.0,4.0,9.0,0.0,-12.2,82.537
1.0,1.0,4.0,10.0,0.0,-10.6,87.40700000000002
1.0,1.0,4.0,11.0,0.0,-8.9,83.723
1.0,1.0,4.0,12.0,0.0,-6.7,73.888
1.0,1.0,4.0,13.0,0.0,-5.0,73.733
1.0,1.0,4.0,14.0,0.0,-3.3,72.566
1.0,1.0,4.0,15.0,0.0,-3.9,81.78
1.0,1.0,4.0,16.0,0.0,-5.0,81.876
1.0,1.0,4.0,17.0,0.0,-6.7,70.429
1.0,1.0,4.0,18.0,0.0,-7.2,55.898
1.0,1.0,4.0,19.0,0.0,-7.2,51.846
1.0,1.0,4.0,20.0,0.0,-7.2,51.738
1.0,1.0,4.0,21.0,0.0,-7.2,51.625
1.0,1.0,4.0,22.0,0.0,-6.7,54.957
1.0,1.0,4.0,23.0,0.0,-6.7,73.138
1.0,2.0,5.0,0.0,0.0,-6.7,66.865
1.0,2.0,5.0,1.0,0.0,-6.7,74.167
1.0,2.0,5.0,2.0,0.0,-6.7,68.192
1.0,2.0,5.0,3.0,0.0,-5.6,65.378
1.0,2.0,5.0,4.0,0.0,-5.0,65.842
1.0,2.0,5.0,5.0,0.0,-4.4,63.539
1.0,2.0,5.0,6.0,0.0,-4.4,66.4
1.0,2.0,5.0,7.0,0.0,-5.0,65.176
1.0,2.0,5.0,8.0,0.0,-5.6,84.29
1.0,2.0,5.0,9.0,0.0,-5.6,82.633
1.0,2.0,5.0,10.0,0.0,-3.9,75.524
1.0,2.0,5.0,11.0,0.0,-2.2,77.259
1.0,2.0,5.0,12.0,0.0,-1.1,83.382
1.0,2.0,5.0,13.0,0.0,-0.6,89.323
1.0,2.0,5.0,14.0,0.0,0.0,90.709
1.0,2.0,5.0,15.0,0.0,-0.6,86.51
1.0,2.0,5.0,16.0,0.0,-1.7,81.579
1.0,2.0,5.0,17.0,0.0,-3.3,73.44
1.0,2.0,5.0,18.0,0.0,-3.3,56.757
1.0,2.0,5.0,19.0,0.0,-4.4,53.122
1.0,2.0,5.0,20.0,0.0,-3.3,53.283
1.0,2.0,5.0,21.0,0.0,-3.3,53.41
1.0,2.0,5.0,22.0,0.0,-4.4,55.894
1.0,2.0,5.0,23.0,0.0,-3.9,77.087
1.0,3.0,6.0,0.0,0.0,-3.3,68.367
1.0,3.0,6.0,1.0,0.0,-2.8,67.548
1.0,3.0,6.0,2.0,0.0,-2.8,66.914
1.0,3.0,6.0,3.0,0.0,-4.4,66.712
1.0,3.0,6.0,4.0,0.0,-4.4,68.182
1.0,3.0,6.0,5.0,0.0,-5.0,65.81
1.0,3.0,6.0,6.0,0.0,-5.0,73.595
1.0,3.0,6.0,7.0,0.0,-4.4,72.514
1.0,3.0,6.0,8.0,0.0,-3.9,79.583
1.0,3.0,6.0,9.0,0.0,-2.8,85.994
1.0,3.0,6.0,10.0,0.0,-2.8,89.177
1.0,3.0,6.0,11.0,0.0,-1.7,86.99799999999998
1.0,3.0,6.0,12.0,0.0,-1.1,83.779
1.0,3.0,6.0,13.0,0.0,-0.6,83.29700000000003
1.0,3.0,6.0,14.0,0.0,0.0,82.01
1.0,3.0,6.0,15.0,0.0,0.0,82.086
1.0,3.0,6.0,16.0,0.0,0.0,82.31200000000003
1.0,3.0,6.0,17.0,0.0,-0.6,76.192
1.0,3.0,6.0,18.0,0.0,-0.6,58.65
1.0,3.0,6.0,19.0,0.0,-0.6,58.312
1.0,3.0,6.0,20.0,0.0,-0.6,58.494
1.0,3.0,6.0,21.0,0.0,-0.6,58.32100000000001
1.0,3.0,6.0,22.0,0.0,-0.6,59.145
1.0,3.0,6.0,23.0,0.0,-0.6,76.471
1.0,4.0,7.0,0.0,0.0,-0.6,70.609
1.0,4.0,7.0,1.0,0.0,-0.6,69.358
1.0,4.0,7.0,2.0,0.0,-0.6,67.718
1.0,4.0,7.0,3.0,0.0,-0.6,67.559
1.0,4.0,7.0,4.0,0.0,-0.6,66.99
1.0,4.0,7.0,5.0,0.0,-0.6,56.845
1.0,4.0,7.0,6.0,0.0,-0.6,60.905
1.0,4.0,7.0,7.0,0.0,-0.6,60.9
1.0,4.0,7.0,8.0,0.0,-0.6,81.05199999999998
1.0,4.0,7.0,9.0,0.0,-0.6,82.521
1.0,4.0,7.0,10.0,0.0,-0.6,82.45700000000002
1.0,4.0,7.0,11.0,0.0,0.0,85.775
1.0,4.0,7.0,12.0,0.0,0.6,85.45700000000002
1.0,4.0,7.0,13.0,0.0,0.6,82.81
1.0,4.0,7.0,14.0,0.0,0.6,83.11
1.0,4.0,7.0,15.0,0.0,0.6,82.81200000000003
1.0,4.0,7.0,16.0,0.0,0.6,79.381
1.0,4.0,7.0,17.0,0.0,0.6,75.26
1.0,4.0,7.0,18.0,0.0,1.1,71.156
1.0,4.0,7.0,19.0,0.0,0.6,54.88399999999999
1.0,4.0,7.0,20.0,0.0,0.6,53.933
1.0,4.0,7.0,21.0,0.0,1.1,53.982
1.0,4.0,7.0,22.0,0.0,0.6,58.776
1.0,4.0,7.0,23.0,0.0,0.6,73.538
1.0,5.0,8.0,0.0,0.0,0.6,65.577
1.0,5.0,8.0,1.0,0.0,0.6,65.17
1.0,5.0,8.0,2.0,0.0,0.0,64.642
1.0,5.0,8.0,3.0,0.0,0.0,64.485
