month,weekday,day,hour,holiday,airTemp,value
1.0,5.0,1.0,0.0,1.0,-7.2,668.783
1.0,5.0,1.0,1.0,1.0,-6.7,668.783
1.0,5.0,1.0,2.0,1.0,-6.7,670.49
1.0,5.0,1.0,3.0,1.0,-6.7,670.42
1.0,5.0,1.0,4.0,1.0,-8.3,665.975
1.0,5.0,1.0,5.0,1.0,-8.3,663.5169999999998
1.0,5.0,1.0,6.0,1.0,-8.9,672.573
1.0,5.0,1.0,7.0,1.0,-9.4,677.453
1.0,5.0,1.0,8.0,1.0,-8.9,682.905
1.0,5.0,1.0,9.0,1.0,-8.3,674.408
1.0,5.0,1.0,10.0,1.0,-6.7,674.822
1.0,5.0,1.0,11.0,1.0,-5.6,684.347
1.0,5.0,1.0,12.0,1.0,-2.8,694.6339999999999
1.0,5.0,1.0,13.0,1.0,-1.7,699.321
1.0,5.0,1.0,14.0,1.0,-1.1,700.071
1.0,5.0,1.0,15.0,1.0,-1.1,707.5060000000003
1.0,5.0,1.0,16.0,1.0,-1.7,708.693
1.0,5.0,1.0,17.0,1.0,-2.8,708.41
1.0,5.0,1.0,18.0,1.0,-3.3,708.189
1.0,5.0,1.0,19.0,1.0,-3.9,694.927
1.0,5.0,1.0,20.0,1.0,-5.0,690.59
1.0,5.0,1.0,21.0,1.0,-5.6,687.834
1.0,5.0,1.0,22.0,1.0,-6.1,685.6030000000002
1.0,5.0,1.0,23.0,1.0,-7.2,683.94
1.0,6.0,2.0,0.0,0.0,-7.2,681.0889999999997
1.0,6.0,2.0,1.0,0.0,-7.8,676.52
1.0,6.0,2.0,2.0,0.0,-8.9,672.832
1.0,6.0,2.0,3.0,0.0,-8.9,671.154
1.0,6.0,2.0,4.0,0.0,-9.4,669.9910000000001
1.0,6.0,2.0,5.0,0.0,-9.4,664.68
1.0,6.0,2.0,6.0,0.0,-10.0,669.932
1.0,6.0,2.0,7.0,0.0,-8.9,668.1160000000001
1.0,6.0,2.0,8.0,0.0,-8.9,676.258
1.0,6.0,2.0,9.0,0.0,-8.3,675.943
1.0,6.0,2.0,10.0,0.0,-6.7,674.77
1.0,6.0,2.0,11.0,0.0,-5.6,689.2180000000003
1.0,6.0,2.0,12.0,0.0,-2.8,704.5210000000003
1.0,6.0,2.0,13.0,0.0,-1.7,710.418
1.0,6.0,2.0,14.0,0.0,-1.1,713.065
1.0,6.0,2.0,15.0,0.0,-0.6,714.653
1.0,6.0,2.0,16.0,0.0,-0.6,718.15
1.0,6.0,2.0,17.0,0.0,-2.2,720.3639999999997
1.0,6.0,2.0,18.0,0.0,-2.8,718.045
1.0,6.0,2.0,19.0,0.0,-3.3,710.645
1.0,6.0,2.0,20.0,0.0,-4.4,702.784
1.0,6.0,2.0,21.0,0.0,-3.3,700.612
1.0,6.0,2.0,22.0,0.0,-3.9,691.6310000000003
1.0,6.0,2.0,23.0,0.0,-4.4,691.8480000000003
1.0,0.0,3.0,0.0,0.0,-3.9,691.2389999999997
1.0,0.0,3.0,1.0,0.0,-3.3,689.7769999999997
1.0,0.0,3.0,2.0,0.0,-2.8,686.576
1.0,0.0,3.0,3.0,0.0,-2.8,687.64
1.0,0.0,3.0,4.0,0.0,-2.8,688.706
1.0,0.0,3.0,5.0,0.0,-3.3,685.248
1.0,0.0,3.0,6.0,0.0,-2.8,691.822
1.0,0.0,3.0,7.0,0.0,-2.8,694.544
1.0,0.0,3.0,8.0,0.0,-2.8,693.6489999999999
1.0,0.0,3.0,9.0,0.0,-2.8,693.48
1.0,0.0,3.0,10.0,0.0,-2.8,694.6460000000003
1.0,0.0,3.0,11.0,0.0,-2.2,697.834
1.0,0.0,3.0,12.0,0.0,-2.2,711.289
1.0,0.0,3.0,13.0,0.0,-2.2,713.403
1.0,0.0,3.0,14.0,0.0,-2.8,714.4019999999997
1.0,0.0,3.0,15.0,0.0,-2.8,714.232
1.0,0.0,3.0,16.0,0.0,-2.2,710.6610000000003
1.0,0.0,3.0,17.0,0.0,-2.8,711.855
1.0,0.0,3.0,18.0,0.0,-2.8,718.5989999999997
1.0,0.0,3.0,19.0,0.0,-3.9,713.7489999999997
1.0,0.0,3.0,20.0,0.0,-5.0,697.5880000000003
1.0,0.0,3.0,21.0,0.0,-5.0,698.056
1.0,0.0,3.0,22.0,0.0,-6.1,693.3839999999999
1.0,0.0,3.0,23.0,0.0,-6.1,688.3539999999997
1.0,1.0,4.0,0.0,0.0,-6.7,688.9010000000003
1.0,1.0,4.0,1.0,0.0,-7.2,683.585
1.0,1.0,4.0,2.0,0.0,-7.8,674.5269999999998
1.0,1.0,4.0,3.0,0.0,-7.8,678.6089999999998
1.0,1.0,4.0,4.0,0.0,-8.9,675.3739999999998
1.0,1.0,4.0,5.0,0.0,-10.0,678.227
1.0,1.0,4.0,6.0,0.0,-11.1,685.535
1.0,1.0,4.0,7.0,0.0,-11.1,689.554
1.0,1.0,4.0,8.0,0.0,-11.7,702.75
1.0,1.0,4.0,9.0,0.0,-12.2,730.9860000000001
1.0,1.0,4.0,10.0,0.0,-10.6,790.0239999999999
1.0,1.0,4.0,11.0,0.0,-8.9,826.816
1.0,1.0,4.0,12.0,0.0,-6.7,835.1039999999997
1.0,1.0,4.0,13.0,0.0,-5.0,837.855
1.0,1.0,4.0,14.0,0.0,-3.3,841.2489999999997
1.0,1.0,4.0,15.0,0.0,-3.9,852.6410000000003
1.0,1.0,4.0,16.0,0.0,-5.0,849.5369999999997
1.0,1.0,4.0,17.0,0.0,-6.7,849.948
1.0,1.0,4.0,18.0,0.0,-7.2,832.643
1.0,1.0,4.0,19.0,0.0,-7.2,809.941
1.0,1.0,4.0,20.0,0.0,-7.2,790.4019999999997
1.0,1.0,4.0,21.0,0.0,-7.2,772.5219999999997
1.0,1.0,4.0,22.0,0.0,-6.7,755.23
1.0,1.0,4.0,23.0,0.0,-6.7,723.22
1.0,2.0,5.0,0.0,0.0,-6.7,704.2919999999997
1.0,2.0,5.0,1.0,0.0,-6.7,663.3389999999997
1.0,2.0,5.0,2.0,0.0,-6.7,655.663
1.0,2.0,5.0,3.0,0.0,-5.6,656.043
1.0,2.0,5.0,4.0,0.0,-5.0,659.4830000000002
1.0,2.0,5.0,5.0,0.0,-4.4,656.3760000000002
1.0,2.0,5.0,6.0,0.0,-4.4,669.581
1.0,2.0,5.0,7.0,0.0,-5.0,676.752
1.0,2.0,5.0,8.0,0.0,-5.6,698.123
1.0,2.0,5.0,9.0,0.0,-5.6,736.615
1.0,2.0,5.0,10.0,0.0,-3.9,790.4019999999997
1.0,2.0,5.0,11.0,0.0,-2.2,833.2739999999999
1.0,2.0,5.0,12.0,0.0,-1.1,857.3439999999997
1.0,2.0,5.0,13.0,0.0,-0.6,864.673
1.0,2.0,5.0,14.0,0.0,0.0,867.168
1.0,2.0,5.0,15.0,0.0,-0.6,868.322
1.0,2.0,5.0,16.0,0.0,-1.7,871.4010000000003
1.0,2.0,5.0,17.0,0.0,-3.3,862.263
1.0,2.0,5.0,18.0,0.0,-3.3,840.5939999999997
1.0,2.0,5.0,19.0,0.0,-4.4,801.2439999999997
1.0,2.0,5.0,20.0,0.0,-3.3,791.373
1.0,2.0,5.0,21.0,0.0,-3.3,775.745
1.0,2.0,5.0,22.0,0.0,-4.4,745.175
1.0,2.0,5.0,23.0,0.0,-3.9,719.95
1.0,3.0,6.0,0.0,0.0,-3.3,701.4910000000001
1.0,3.0,6.0,1.0,0.0,-2.8,679.3330000000002
1.0,3.0,6.0,2.0,0.0,-2.8,675.568
1.0,3.0,6.0,3.0,0.0,-4.4,669.6
1.0,3.0,6.0,4.0,0.0,-4.4,670.637
1.0,3.0,6.0,5.0,0.0,-5.0,669.971
1.0,3.0,6.0,6.0,0.0,-5.0,678.8810000000002
1.0,3.0,6.0,7.0,0.0,-4.4,693.572
1.0,3.0,6.0,8.0,0.0,-3.9,711.556
1.0,3.0,6.0,9.0,0.0,-2.8,754.304
1.0,3.0,6.0,10.0,0.0,-2.8,797.3710000000003
1.0,3.0,6.0,11.0,0.0,-1.7,847.3710000000003
1.0,3.0,6.0,12.0,0.0,-1.1,873.812
1.0,3.0,6.0,13.0,0.0,-0.6,867.169
1.0,3.0,6.0,14.0,0.0,0.0,871.934
1.0,3.0,6.0,15.0,0.0,0.0,890.201
1.0,3.0,6.0,16.0,0.0,0.0,880.487
1.0,3.0,6.0,17.0,0.0,-0.6,873.2810000000003
1.0,3.0,6.0,18.0,0.0,-0.6,848.835
1.0,3.0,6.0,19.0,0.0,-0.6,809.872
1.0,3.0,6.0,20.0,0.0,-0.6,793.078
1.0,3.0,6.0,21.0,0.0,-0.6,785.45
1.0,3.0,6.0,22.0,0.0,-0.6,767.051
1.0,3.0,6.0,23.0,0.0,-0.6,741.563
1.0,4.0,7.0,0.0,0.0,-0.6,690.0
1.0,4.0,7.0,1.0,0.0,-0.6,670.972
1.0,4.0,7.0,2.0,0.0,-0.6,670.65
1.0,4.0,7.0,3.0,0.0,-0.6,664.717
1.0,4.0,7.0,4.0,0.0,-0.6,664.449
1.0,4.0,7.0,5.0,0.0,-0.6,665.8330000000002
1.0,4.0,7.0,6.0,0.0,-0.6,676.07
1.0,4.0,7.0,7.0,0.0,-0.6,690.076
1.0,4.0,7.0,8.0,0.0,-0.6,700.893
1.0,4.0,7.0,9.0,0.0,-0.6,736.209
1.0,4.0,7.0,10.0,0.0,-0.6,799.7719999999997
1.0,4.0,7.0,11.0,0.0,0.0,843.448
1.0,4.0,7.0,12.0,0.0,0.6,869.37
1.0,4.0,7.0,13.0,0.0,0.6,870.672
1.0,4.0,7.0,14.0,0.0,0.6,880.852
1.0,4.0,7.0,15.0,0.0,0.6,879.914
1.0,4.0,7.0,16.0,0.0,0.6,875.673
1.0,4.0,7.0,17.0,0.0,0.6,875.7330000000003
1.0,4.0,7.0,18.0,0.0,1.1,857.19
1.0,4.0,7.0,19.0,0.0,0.6,827.9780000000003
1.0,4.0,7.0,20.0,0.0,0.6,804.7710000000003
1.0,4.0,7.0,21.0,0.0,1.1,773.5939999999997
1.0,4.0,7.0,22.0,0.0,0.6,749.36
1.0,4.0,7.0,23.0,0.0,0.6,740.3789999999997
1.0,5.0,8.0,0.0,0.0,0.6,731.451
1.0,5.0,8.0,1.0,0.0,0.6,698.6610000000003
1.0,5.0,8.0,2.0,0.0,0.0,680.742
1.0,5.0,8.0,3.0,0.0,0.0,681.456
1.0,5.0,8.0,4.0,0.0,0.0,684.178
1.0,5.0,8.0,5.0,0.0,0.0,680.138
1.0,5.0,8.0,6.0,0.0,0.0,690.932
1.0,5.0,8.0,7.0,0.0,0.0,700.953
1.0,5.0,8.0,8.0,0.0,0.0,716.618
1.0,5.0,8.0,9.0,0.0,0.0,748.67
1.0,5.0,8.0,10.0,0.0,0.6,805.806
