month,weekday,day,hour,holiday,airTemp,value
1.0,5.0,1.0,0.0,1.0,-7.2,18.719
1.0,5.0,1.0,1.0,1.0,-6.7,18.719
1.0,5.0,1.0,2.0,1.0,-6.7,18.744
1.0,5.0,1.0,3.0,1.0,-6.7,18.59
1.0,5.0,1.0,4.0,1.0,-8.3,18.658
1.0,5.0,1.0,5.0,1.0,-8.3,18.377
1.0,5.0,1.0,6.0,1.0,-8.9,18.491
1.0,5.0,1.0,7.0,1.0,-9.4,19.796
1.0,5.0,1.0,8.0,1.0,-8.9,27.04
1.0,5.0,1.0,9.0,1.0,-8.3,26.833
1.0,5.0,1.0,10.0,1.0,-6.7,26.172
1.0,5.0,1.0,11.0,1.0,-5.6,43.103
1.0,5.0,1.0,12.0,1.0,-2.8,44.474
1.0,5.0,1.0,13.0,1.0,-1.7,44.265
1.0,5.0,1.0,14.0,1.0,-1.1,44.073
1.0,5.0,1.0,15.0,1.0,-1.1,44.131
1.0,5.0,1.0,16.0,1.0,-1.7,44.175
1.0,5.0,1.0,17.0,1.0,-2.8,43.582
1.0,5.0,1.0,18.0,1.0,-3.3,36.166
1.0,5.0,1.0,19.0,1.0,-3.9,25.394
1.0,5.0,1.0,20.0,1.0,-5.0,24.822
1.0,5.0,1.0,21.0,1.0,-5.6,20.854
1.0,5.0,1.0,22.0,1.0,-6.1,20.328
1.0,5.0,1.0,23.0,1.0,-7.2,19.386
1.0,6.0,2.0,0.0,0.0,-7.2,19.524
1.0,6.0,2.0,1.0,0.0,-7.8,19.218
1.0,6.0,2.0,2.0,0.0,-8.9,18.754
1.0,6.0,2.0,3.0,0.0,-8.9,18.347
1.0,6.0,2.0,4.0,0.0,-9.4,18.681
1.0,6.0,2.0,5.0,0.0,-9.4,18.759
1.0,6.0,2.0,6.0,0.0,-10.0,18.946
1.0,6.0,2.0,7.0,0.0,-8.9,20.612
1.0,6.0,2.0,8.0,0.0,-8.9,19.952
1.0,6.0,2.0,9.0,0.0,-8.3,19.983
1.0,6.0,2.0,10.0,0.0,-6.7,20.414
1.0,6.0,2.0,11.0,0.0,-5.6,42.915
1.0,6.0,2.0,12.0,0.0,-2.8,45.008
1.0,6.0,2.0,13.0,0.0,-1.7,47.059
1.0,6.0,2.0,14.0,0.0,-1.1,47.824
1.0,6.0,2.0,15.0,0.0,-0.6,48.284
1.0,6.0,2.0,16.0,0.0,-0.6,47.83
1.0,6.0,2.0,17.0,0.0,-2.2,48.449
1.0,6.0,2.0,18.0,0.0,-2.8,37.036
1.0,6.0,2.0,19.0,0.0,-3.3,26.6
1.0,6.0,2.0,20.0,0.0,-4.4,24.847
1.0,6.0,2.0,21.0,0.0,-3.3,21.479
1.0,6.0,2.0,22.0,0.0,-3.9,19.69400000000001
1.0,6.0,2.0,23.0,0.0,-4.4,20.771
1.0,0.0,3.0,0.0,0.0,-3.9,19.644
1.0,0.0,3.0,1.0,0.0,-3.3,19.115
1.0,0.0,3.0,2.0,0.0,-2.8,18.825
1.0,0.0,3.0,3.0,0.0,-2.8,19.257
1.0,0.0,3.0,4.0,0.0,-2.8,19.033
1.0,0.0,3.0,5.0,0.0,-3.3,19.338
1.0,0.0,3.0,6.0,0.0,-2.8,18.748
1.0,0.0,3.0,7.0,0.0,-2.8,18.794
1.0,0.0,3.0,8.0,0.0,-2.8,21.892
1.0,0.0,3.0,9.0,0.0,-2.8,20.318
1.0,0.0,3.0,10.0,0.0,-2.8,20.67
1.0,0.0,3.0,11.0,0.0,-2.2,37.74800000000001
1.0,0.0,3.0,12.0,0.0,-2.2,40.003
1.0,0.0,3.0,13.0,0.0,-2.2,40.01300000000001
1.0,0.0,3.0,14.0,0.0,-2.8,39.796
1.0,0.0,3.0,15.0,0.0,-2.8,40.05
1.0,0.0,3.0,16.0,0.0,-2.2,39.618
1.0,0.0,3.0,17.0,0.0,-2.8,39.491
1.0,0.0,3.0,18.0,0.0,-2.8,30.969
1.0,0.0,3.0,19.0,0.0,-3.9,21.98
1.0,0.0,3.0,20.0,0.0,-5.0,20.248
1.0,0.0,3.0,21.0,0.0,-5.0,20.722
1.0,0.0,3.0,22.0,0.0,-6.1,20.393
1.0,0.0,3.0,23.0,0.0,-6.1,20.889
1.0,1.0,4.0,0.0,0.0,-6.7,19.883
1.0,1.0,4.0,1.0,0.0,-7.2,19.363
1.0,1.0,4.0,2.0,0.0,-7.8,19.014
1.0,1.0,4.0,3.0,0.0,-7.8,19.074
1.0,1.0,4.0,4.0,0.0,-8.9,19.2
1.0,1.0,4.0,5.0,0.0,-10.0,19.117
1.0,1.0,4.0,6.0,0.0,-11.1,20.59800000000001
