month,weekday,day,hour,holiday,airTemp,value
1.0,5.0,1.0,0.0,1.0,-7.2,54.338
1.0,5.0,1.0,1.0,1.0,-6.7,54.338
1.0,5.0,1.0,2.0,1.0,-6.7,53.935
1.0,5.0,1.0,3.0,1.0,-6.7,55.795
1.0,5.0,1.0,4.0,1.0,-8.3,66.747
1.0,5.0,1.0,5.0,1.0,-8.3,43.092
1.0,5.0,1.0,6.0,1.0,-8.9,43.142
1.0,5.0,1.0,7.0,1.0,-9.4,42.996
1.0,5.0,1.0,8.0,1.0,-8.9,42.624
1.0,5.0,1.0,9.0,1.0,-8.3,51.37600000000001
1.0,5.0,1.0,10.0,1.0,-6.7,41.303
1.0,5.0,1.0,11.0,1.0,-5.6,40.036
1.0,5.0,1.0,12.0,1.0,-2.8,39.967
1.0,5.0,1.0,13.0,1.0,-1.7,39.598
1.0,5.0,1.0,14.0,1.0,-1.1,39.238
1.0,5.0,1.0,15.0,1.0,-1.1,49.011
1.0,5.0,1.0,16.0,1.0,-1.7,50.54
1.0,5.0,1.0,17.0,1.0,-2.8,57.293
1.0,5.0,1.0,18.0,1.0,-3.3,58.87300000000001
1.0,5.0,1.0,19.0,1.0,-3.9,52.538
1.0,5.0,1.0,20.0,1.0,-5.0,53.31100000000001
1.0,5.0,1.0,21.0,1.0,-5.6,56.297
1.0,5.0,1.0,22.0,1.0,-6.1,65.29
1.0,5.0,1.0,23.0,1.0,-7.2,53.74100000000001
1.0,6.0,2.0,0.0,0.0,-7.2,61.122
1.0,6.0,2.0,1.0,0.0,-7.8,51.437
1.0,6.0,2.0,2.0,0.0,-8.9,42.645
1.0,6.0,2.0,3.0,0.0,-8.9,56.403
1.0,6.0,2.0,4.0,0.0,-9.4,43.947
1.0,6.0,2.0,5.0,0.0,-9.4,50.231
1.0,6.0,2.0,6.0,0.0,-10.0,50.11
1.0,6.0,2.0,7.0,0.0,-8.9,44.96100000000001
1.0,6.0,2.0,8.0,0.0,-8.9,55.517
1.0,6.0,2.0,9.0,0.0,-8.3,39.674
1.0,6.0,2.0,10.0,0.0,-6.7,52.26600000000001
1.0,6.0,2.0,11.0,0.0,-5.6,42.478
1.0,6.0,2.0,12.0,0.0,-2.8,42.472
1.0,6.0,2.0,13.0,0.0,-1.7,52.507
1.0,6.0,2.0,14.0,0.0,-1.1,39.026
1.0,6.0,2.0,15.0,0.0,-0.6,54.842
1.0,6.0,2.0,16.0,0.0,-0.6,60.466
1.0,6.0,2.0,17.0,0.0,-2.2,50.059
1.0,6.0,2.0,18.0,0.0,-2.8,61.363
1.0,6.0,2.0,19.0,0.0,-3.3,59.222
1.0,6.0,2.0,20.0,0.0,-4.4,53.063
1.0,6.0,2.0,21.0,0.0,-3.3,68.445
1.0,6.0,2.0,22.0,0.0,-3.9,54.822
1.0,6.0,2.0,23.0,0.0,-4.4,61.886
1.0,0.0,3.0,0.0,0.0,-3.9,62.905
1.0,0.0,3.0,1.0,0.0,-3.3,45.301
1.0,0.0,3.0,2.0,0.0,-2.8,55.642
1.0,0.0,3.0,3.0,0.0,-2.8,46.611
1.0,0.0,3.0,4.0,0.0,-2.8,45.474
1.0,0.0,3.0,5.0,0.0,-3.3,57.219
1.0,0.0,3.0,6.0,0.0,-2.8,42.121
1.0,0.0,3.0,7.0,0.0,-2.8,51.802
1.0,0.0,3.0,8.0,0.0,-2.8,51.215
1.0,0.0,3.0,9.0,0.0,-2.8,39.436
1.0,0.0,3.0,10.0,0.0,-2.8,52.285
1.0,0.0,3.0,11.0,0.0,-2.2,43.49100000000001
1.0,0.0,3.0,12.0,0.0,-2.2,39.051
1.0,0.0,3.0,13.0,0.0,-2.2,55.479
1.0,0.0,3.0,14.0,0.0,-2.8,40.96100000000001
1.0,0.0,3.0,15.0,0.0,-2.8,43.308
1.0,0.0,3.0,16.0,0.0,-2.2,52.017
1.0,0.0,3.0,17.0,0.0,-2.8,38.841
1.0,0.0,3.0,18.0,0.0,-2.8,48.64100000000001
1.0,0.0,3.0,19.0,0.0,-3.9,48.33
1.0,0.0,3.0,20.0,0.0,-5.0,41.355
1.0,0.0,3.0,21.0,0.0,-5.0,55.63399999999999
1.0,0.0,3.0,22.0,0.0,-6.1,45.71100000000001
1.0,0.0,3.0,23.0,0.0,-6.1,47.355
1.0,1.0,4.0,0.0,0.0,-6.7,53.605
1.0,1.0,4.0,1.0,0.0,-7.2,42.7
1.0,1.0,4.0,2.0,0.0,-7.8,55.392
1.0,1.0,4.0,3.0,0.0,-7.8,45.265
1.0,1.0,4.0,4.0,0.0,-8.9,81.898
1.0,1.0,4.0,5.0,0.0,-10.0,83.855
1.0,1.0,4.0,6.0,0.0,-11.1,83.92399999999998
1.0,1.0,4.0,7.0,0.0,-11.1,107.813
1.0,1.0,4.0,8.0,0.0,-11.7,140.076
1.0,1.0,4.0,9.0,0.0,-12.2,151.968
1.0,1.0,4.0,10.0,0.0,-10.6,155.954
1.0,1.0,4.0,11.0,0.0,-8.9,158.123
1.0,1.0,4.0,12.0,0.0,-6.7,158.113
1.0,1.0,4.0,13.0,0.0,-5.0,156.29399999999995
1.0,1.0,4.0,14.0,0.0,-3.3,151.10399999999996
1.0,1.0,4.0,15.0,0.0,-3.9,147.761
1.0,1.0,4.0,16.0,0.0,-5.0,138.07
1.0,1.0,4.0,17.0,0.0,-6.7,125.629
1.0,1.0,4.0,18.0,0.0,-7.2,115.125
1.0,1.0,4.0,19.0,0.0,-7.2,80.627
1.0,1.0,4.0,20.0,0.0,-7.2,73.82
1.0,1.0,4.0,21.0,0.0,-7.2,73.968
