month,weekday,day,hour,holiday,airTemp,value
1.0,5.0,1.0,0.0,1.0,-7.2,43.56800000000001
1.0,5.0,1.0,1.0,1.0,-6.7,43.56800000000001
1.0,5.0,1.0,2.0,1.0,-6.7,42.452
1.0,5.0,1.0,3.0,1.0,-6.7,41.26300000000001
1.0,5.0,1.0,4.0,1.0,-8.3,44.356
1.0,5.0,1.0,5.0,1.0,-8.3,40.792
1.0,5.0,1.0,6.0,1.0,-8.9,39.13800000000001
1.0,5.0,1.0,7.0,1.0,-9.4,38.746
1.0,5.0,1.0,8.0,1.0,-8.9,38.125
1.0,5.0,1.0,9.0,1.0,-8.3,37.94300000000001
1.0,5.0,1.0,10.0,1.0,-6.7,38.137
1.0,5.0,1.0,11.0,1.0,-5.6,39.726
1.0,5.0,1.0,12.0,1.0,-2.8,39.169
1.0,5.0,1.0,13.0,1.0,-1.7,38.189
1.0,5.0,1.0,14.0,1.0,-1.1,43.075
1.0,5.0,1.0,15.0,1.0,-1.1,40.127
1.0,5.0,1.0,16.0,1.0,-1.7,39.191
1.0,5.0,1.0,17.0,1.0,-2.8,40.114
1.0,5.0,1.0,18.0,1.0,-3.3,41.282
1.0,5.0,1.0,19.0,1.0,-3.9,40.886
1.0,5.0,1.0,20.0,1.0,-5.0,43.005
1.0,5.0,1.0,21.0,1.0,-5.6,41.087
1.0,5.0,1.0,22.0,1.0,-6.1,42.437
1.0,5.0,1.0,23.0,1.0,-7.2,42.837
1.0,6.0,2.0,0.0,0.0,-7.2,42.13800000000001
1.0,6.0,2.0,1.0,0.0,-7.8,46.131
1.0,6.0,2.0,2.0,0.0,-8.9,48.478
1.0,6.0,2.0,3.0,0.0,-8.9,44.387
1.0,6.0,2.0,4.0,0.0,-9.4,44.607
1.0,6.0,2.0,5.0,0.0,-9.4,39.63800000000001
1.0,6.0,2.0,6.0,0.0,-10.0,39.79
1.0,6.0,2.0,7.0,0.0,-8.9,40.366
1.0,6.0,2.0,8.0,0.0,-8.9,40.805
1.0,6.0,2.0,9.0,0.0,-8.3,39.757
1.0,6.0,2.0,10.0,0.0,-6.7,39.207
1.0,6.0,2.0,11.0,0.0,-5.6,38.355
1.0,6.0,2.0,12.0,0.0,-2.8,38.243
1.0,6.0,2.0,13.0,0.0,-1.7,39.213
1.0,6.0,2.0,14.0,0.0,-1.1,39.786
1.0,6.0,2.0,15.0,0.0,-0.6,38.066
1.0,6.0,2.0,16.0,0.0,-0.6,38.331
1.0,6.0,2.0,17.0,0.0,-2.2,38.55
