month,weekday,day,hour,holiday,airTemp,value
1,5,1,0,1,-7.2,215.85
1,5,1,1,1,-6.7,215.85
1,5,1,2,1,-6.7,200.3
1,5,1,3,1,-6.7,196.328
1,5,1,4,1,-8.3,196.504
1,5,1,5,1,-8.3,210.41
1,5,1,6,1,-8.9,217.772
1,5,1,7,1,-9.4,207.153
1,5,1,8,1,-8.9,204.311
1,5,1,9,1,-8.3,204.126
1,5,1,10,1,-6.7,212.304
1,5,1,11,1,-5.6,212.497
1,5,1,12,1,-2.8,206.677
1,5,1,13,1,-1.7,197.827
1,5,1,14,1,-1.1,195.695
1,5,1,15,1,-1.1,205.961
1,5,1,16,1,-1.7,206.784
1,5,1,17,1,-2.8,200.14
1,5,1,18,1,-3.3,201.703
1,5,1,19,1,-3.9,201.535
1,5,1,20,1,-5,216.549
1,5,1,21,1,-5.6,212.889
1,5,1,22,1,-6.1,204.38
1,5,1,23,1,-7.2,196.705
1,6,2,0,0,-7.2,206.279
1,6,2,1,0,-7.8,206.46
1,6,2,2,0,-8.9,201.508
1,6,2,3,0,-8.9,198.601
1,6,2,4,0,-9.4,198.417
1,6,2,5,0,-9.4,213.644
1,6,2,6,0,-10,217.405
1,6,2,7,0,-8.9,207.58
1,6,2,8,0,-8.9,207.664
1,6,2,9,0,-8.3,208.978
1,6,2,10,0,-6.7,215.692
1,6,2,11,0,-5.6,214.237
1,6,2,12,0,-2.8,199.728
1,6,2,13,0,-1.7,198.255
1,6,2,14,0,-1.1,205.806
1,6,2,15,0,-0.6,209.9
1,6,2,16,0,-0.6,204.048
1,6,2,17,0,-2.2,198.061
1,6,2,18,0,-2.8,203.229
1,6,2,19,0,-3.3,210.495
1,6,2,20,0,-4.4,208.772
1,6,2,21,0,-3.3,201.101
1,6,2,22,0,-3.9,195.176
1,6,2,23,0,-4.4,196.41
1,0,3,0,0,-3.9,209.029
1,0,3,1,0,-3.3,204.561
1,0,3,2,0,-2.8,196.989
1,0,3,3,0,-2.8,198.787
1,0,3,4,0,-2.8,195.808
1,0,3,5,0,-3.3,214.061
1,0,3,6,0,-2.8,213.86
1,0,3,7,0,-2.8,203.416
1,0,3,8,0,-2.8,202.993
1,0,3,9,0,-2.8,209.936
1,0,3,10,0,-2.8,213.624
1,0,3,11,0,-2.2,210.477
1,0,3,12,0,-2.2,207.986
1,0,3,13,0,-2.2,205.004
1,0,3,14,0,-2.8,217.726
1,0,3,15,0,-2.8,220.843
1,0,3,16,0,-2.2,208.029
1,0,3,17,0,-2.8,205.747
1,0,3,18,0,-2.8,216.527
1,0,3,19,0,-3.9,225.643
1,0,3,20,0,-5,212.885
1,0,3,21,0,-5,206.896
1,0,3,22,0,-6.1,203.177
1,0,3,23,0,-6.1,209.061
1,1,4,0,0,-6.7,214.343
1,1,4,1,0,-7.2,202.06
1,1,4,2,0,-7.8,200.151
1,1,4,3,0,-7.8,204.997
1,1,4,4,0,-8.9,207.265
1,1,4,5,0,-10,211.522
1,1,4,6,0,-11.1,205.871
1,1,4,7,0,-11.1,212.45
1,1,4,8,0,-11.7,225.689
1,1,4,9,0,-12.2,219.552
1,1,4,10,0,-10.6,228.698
1,1,4,11,0,-8.9,228.567
1,1,4,12,0,-6.7,232.83
1,1,4,13,0,-5,232.077
1,1,4,14,0,-3.3,235.53
1,1,4,15,0,-3.9,231.241
1,1,4,16,0,-5,229.043
