month,weekday,day,hour,holiday,airTemp,value
1.0,5.0,1.0,0.0,1.0,-7.2,39.003
1.0,5.0,1.0,1.0,1.0,-6.7,39.003
1.0,5.0,1.0,2.0,1.0,-6.7,38.573
1.0,5.0,1.0,3.0,1.0,-6.7,38.926
1.0,5.0,1.0,4.0,1.0,-8.3,38.989
1.0,5.0,1.0,5.0,1.0,-8.3,39.69300000000001
1.0,5.0,1.0,6.0,1.0,-8.9,39.502
1.0,5.0,1.0,7.0,1.0,-9.4,39.258
1.0,5.0,1.0,8.0,1.0,-8.9,38.894
1.0,5.0,1.0,9.0,1.0,-8.3,32.903
1.0,5.0,1.0,10.0,1.0,-6.7,33.885
1.0,5.0,1.0,11.0,1.0,-5.6,33.6
1.0,5.0,1.0,12.0,1.0,-2.8,32.415
1.0,5.0,1.0,13.0,1.0,-1.7,31.44
1.0,5.0,1.0,14.0,1.0,-1.1,31.478
1.0,5.0,1.0,15.0,1.0,-1.1,32.443000000000005
1.0,5.0,1.0,16.0,1.0,-1.7,32.492
1.0,5.0,1.0,17.0,1.0,-2.8,33.232
1.0,5.0,1.0,18.0,1.0,-3.3,38.954
1.0,5.0,1.0,19.0,1.0,-3.9,38.484
1.0,5.0,1.0,20.0,1.0,-5.0,39.538
1.0,5.0,1.0,21.0,1.0,-5.6,39.337
1.0,5.0,1.0,22.0,1.0,-6.1,39.062
1.0,5.0,1.0,23.0,1.0,-7.2,39.604
1.0,6.0,2.0,0.0,0.0,-7.2,39.604
1.0,6.0,2.0,1.0,0.0,-7.8,39.64
1.0,6.0,2.0,2.0,0.0,-8.9,39.323
1.0,6.0,2.0,3.0,0.0,-8.9,39.247
1.0,6.0,2.0,4.0,0.0,-9.4,39.56
1.0,6.0,2.0,5.0,0.0,-9.4,39.976
1.0,6.0,2.0,6.0,0.0,-10.0,40.493
1.0,6.0,2.0,7.0,0.0,-8.9,38.882
1.0,6.0,2.0,8.0,0.0,-8.9,37.139
1.0,6.0,2.0,9.0,0.0,-8.3,31.939
1.0,6.0,2.0,10.0,0.0,-6.7,31.449
1.0,6.0,2.0,11.0,0.0,-5.6,30.365
1.0,6.0,2.0,12.0,0.0,-2.8,30.334
1.0,6.0,2.0,13.0,0.0,-1.7,29.145
1.0,6.0,2.0,14.0,0.0,-1.1,29.914
1.0,6.0,2.0,15.0,0.0,-0.6,30.58
1.0,6.0,2.0,16.0,0.0,-0.6,30.35
1.0,6.0,2.0,17.0,0.0,-2.2,31.443
1.0,6.0,2.0,18.0,0.0,-2.8,37.582
1.0,6.0,2.0,19.0,0.0,-3.3,36.86
1.0,6.0,2.0,20.0,0.0,-4.4,37.494
1.0,6.0,2.0,21.0,0.0,-3.3,37.349
1.0,6.0,2.0,22.0,0.0,-3.9,37.347
1.0,6.0,2.0,23.0,0.0,-4.4,37.572
1.0,0.0,3.0,0.0,0.0,-3.9,37.709
1.0,0.0,3.0,1.0,0.0,-3.3,37.144
1.0,0.0,3.0,2.0,0.0,-2.8,37.131
1.0,0.0,3.0,3.0,0.0,-2.8,37.119
1.0,0.0,3.0,4.0,0.0,-2.8,37.1
1.0,0.0,3.0,5.0,0.0,-3.3,37.348
1.0,0.0,3.0,6.0,0.0,-2.8,38.136
1.0,0.0,3.0,7.0,0.0,-2.8,37.031
1.0,0.0,3.0,8.0,0.0,-2.8,37.13
1.0,0.0,3.0,9.0,0.0,-2.8,31.947
1.0,0.0,3.0,10.0,0.0,-2.8,31.65
1.0,0.0,3.0,11.0,0.0,-2.2,30.914
1.0,0.0,3.0,12.0,0.0,-2.2,30.967
1.0,0.0,3.0,13.0,0.0,-2.2,30.971
1.0,0.0,3.0,14.0,0.0,-2.8,31.153
1.0,0.0,3.0,15.0,0.0,-2.8,31.344
1.0,0.0,3.0,16.0,0.0,-2.2,30.959
1.0,0.0,3.0,17.0,0.0,-2.8,31.307
1.0,0.0,3.0,18.0,0.0,-2.8,37.081
1.0,0.0,3.0,19.0,0.0,-3.9,37.006
1.0,0.0,3.0,20.0,0.0,-5.0,37.656
1.0,0.0,3.0,21.0,0.0,-5.0,37.57
1.0,0.0,3.0,22.0,0.0,-6.1,37.252
1.0,0.0,3.0,23.0,0.0,-6.1,37.781
1.0,1.0,4.0,0.0,0.0,-6.7,37.835
1.0,1.0,4.0,1.0,0.0,-7.2,37.357
1.0,1.0,4.0,2.0,0.0,-7.8,37.603
1.0,1.0,4.0,3.0,0.0,-7.8,37.521
1.0,1.0,4.0,4.0,0.0,-8.9,37.657
1.0,1.0,4.0,5.0,0.0,-10.0,37.95
1.0,1.0,4.0,6.0,0.0,-11.1,51.599
1.0,1.0,4.0,7.0,0.0,-11.1,53.69600000000001
1.0,1.0,4.0,8.0,0.0,-11.7,65.531
1.0,1.0,4.0,9.0,0.0,-12.2,60.973
1.0,1.0,4.0,10.0,0.0,-10.6,61.24800000000001
1.0,1.0,4.0,11.0,0.0,-8.9,63.073
1.0,1.0,4.0,12.0,0.0,-6.7,71.002
1.0,1.0,4.0,13.0,0.0,-5.0,70.773
1.0,1.0,4.0,14.0,0.0,-3.3,68.317
1.0,1.0,4.0,15.0,0.0,-3.9,72.889
1.0,1.0,4.0,16.0,0.0,-5.0,73.268
1.0,1.0,4.0,17.0,0.0,-6.7,73.78
1.0,1.0,4.0,18.0,0.0,-7.2,83.771
1.0,1.0,4.0,19.0,0.0,-7.2,83.47399999999998
1.0,1.0,4.0,20.0,0.0,-7.2,83.205
1.0,1.0,4.0,21.0,0.0,-7.2,65.913
1.0,1.0,4.0,22.0,0.0,-6.7,63.619
1.0,1.0,4.0,23.0,0.0,-6.7,55.67
1.0,2.0,5.0,0.0,0.0,-6.7,56.675
1.0,2.0,5.0,1.0,0.0,-6.7,57.734
1.0,2.0,5.0,2.0,0.0,-6.7,47.133
1.0,2.0,5.0,3.0,0.0,-5.6,43.457
1.0,2.0,5.0,4.0,0.0,-5.0,43.441
1.0,2.0,5.0,5.0,0.0,-4.4,43.54600000000001
1.0,2.0,5.0,6.0,0.0,-4.4,65.67399999999999
1.0,2.0,5.0,7.0,0.0,-5.0,72.899
1.0,2.0,5.0,8.0,0.0,-5.6,91.508
1.0,2.0,5.0,9.0,0.0,-5.6,84.275
1.0,2.0,5.0,10.0,0.0,-3.9,82.742
1.0,2.0,5.0,11.0,0.0,-2.2,79.318
1.0,2.0,5.0,12.0,0.0,-1.1,80.43
1.0,2.0,5.0,13.0,0.0,-0.6,80.167
1.0,2.0,5.0,14.0,0.0,0.0,77.74
1.0,2.0,5.0,15.0,0.0,-0.6,77.09899999999998
1.0,2.0,5.0,16.0,0.0,-1.7,75.475
1.0,2.0,5.0,17.0,0.0,-3.3,72.956
1.0,2.0,5.0,18.0,0.0,-3.3,74.319
1.0,2.0,5.0,19.0,0.0,-4.4,74.40899999999998
1.0,2.0,5.0,20.0,0.0,-3.3,73.49600000000002
1.0,2.0,5.0,21.0,0.0,-3.3,54.861
1.0,2.0,5.0,22.0,0.0,-4.4,52.613
1.0,2.0,5.0,23.0,0.0,-3.9,53.19
1.0,3.0,6.0,0.0,0.0,-3.3,52.68600000000001
1.0,3.0,6.0,1.0,0.0,-2.8,50.823
1.0,3.0,6.0,2.0,0.0,-2.8,41.503
1.0,3.0,6.0,3.0,0.0,-4.4,37.361
1.0,3.0,6.0,4.0,0.0,-4.4,37.426
1.0,3.0,6.0,5.0,0.0,-5.0,38.008
1.0,3.0,6.0,6.0,0.0,-5.0,66.956
