month,weekday,day,hour,holiday,airTemp,value
1.0,5.0,1.0,0.0,1.0,-7.2,52.0
1.0,5.0,1.0,1.0,1.0,-6.7,52.0
1.0,5.0,1.0,2.0,1.0,-6.7,51.0
1.0,5.0,1.0,3.0,1.0,-6.7,51.0
1.0,5.0,1.0,4.0,1.0,-8.3,51.0
1.0,5.0,1.0,5.0,1.0,-8.3,54.0
1.0,5.0,1.0,6.0,1.0,-8.9,52.0
1.0,5.0,1.0,7.0,1.0,-9.4,55.0
1.0,5.0,1.0,8.0,1.0,-8.9,57.0
1.0,5.0,1.0,9.0,1.0,-8.3,57.0
1.0,5.0,1.0,10.0,1.0,-6.7,56.0
1.0,5.0,1.0,11.0,1.0,-5.6,56.0
1.0,5.0,1.0,12.0,1.0,-2.8,54.0
1.0,5.0,1.0,13.0,1.0,-1.7,58.0
1.0,5.0,1.0,14.0,1.0,-1.1,56.0
1.0,5.0,1.0,15.0,1.0,-1.1,56.0
1.0,5.0,1.0,16.0,1.0,-1.7,56.0
1.0,5.0,1.0,17.0,1.0,-2.8,56.0
1.0,5.0,1.0,18.0,1.0,-3.3,56.0
1.0,5.0,1.0,19.0,1.0,-3.9,56.0
1.0,5.0,1.0,20.0,1.0,-5.0,57.0
1.0,5.0,1.0,21.0,1.0,-5.6,56.0
1.0,5.0,1.0,22.0,1.0,-6.1,56.0
1.0,5.0,1.0,23.0,1.0,-7.2,52.0
1.0,6.0,2.0,0.0,0.0,-7.2,52.0
1.0,6.0,2.0,1.0,0.0,-7.8,52.0
1.0,6.0,2.0,2.0,0.0,-8.9,51.0
1.0,6.0,2.0,3.0,0.0,-8.9,50.0
1.0,6.0,2.0,4.0,0.0,-9.4,50.0
1.0,6.0,2.0,5.0,0.0,-9.4,54.0
1.0,6.0,2.0,6.0,0.0,-10.0,50.0
1.0,6.0,2.0,7.0,0.0,-8.9,53.0
1.0,6.0,2.0,8.0,0.0,-8.9,50.0
1.0,6.0,2.0,9.0,0.0,-8.3,51.0
1.0,6.0,2.0,10.0,0.0,-6.7,51.0
1.0,6.0,2.0,11.0,0.0,-5.6,50.0
1.0,6.0,2.0,12.0,0.0,-2.8,50.0
1.0,6.0,2.0,13.0,0.0,-1.7,51.0
1.0,6.0,2.0,14.0,0.0,-1.1,50.0
1.0,6.0,2.0,15.0,0.0,-0.6,51.0
1.0,6.0,2.0,16.0,0.0,-0.6,51.0
1.0,6.0,2.0,17.0,0.0,-2.2,50.0
1.0,6.0,2.0,18.0,0.0,-2.8,51.0
1.0,6.0,2.0,19.0,0.0,-3.3,51.0
1.0,6.0,2.0,20.0,0.0,-4.4,53.0
1.0,6.0,2.0,21.0,0.0,-3.3,51.0
1.0,6.0,2.0,22.0,0.0,-3.9,50.0
1.0,6.0,2.0,23.0,0.0,-4.4,51.0
1.0,0.0,3.0,0.0,0.0,-3.9,50.0
1.0,0.0,3.0,1.0,0.0,-3.3,50.0
1.0,0.0,3.0,2.0,0.0,-2.8,50.0
1.0,0.0,3.0,3.0,0.0,-2.8,51.0
1.0,0.0,3.0,4.0,0.0,-2.8,50.0
1.0,0.0,3.0,5.0,0.0,-3.3,53.0
1.0,0.0,3.0,6.0,0.0,-2.8,51.0
1.0,0.0,3.0,7.0,0.0,-2.8,51.0
1.0,0.0,3.0,8.0,0.0,-2.8,52.0
1.0,0.0,3.0,9.0,0.0,-2.8,51.0
1.0,0.0,3.0,10.0,0.0,-2.8,51.0
1.0,0.0,3.0,11.0,0.0,-2.2,51.0
1.0,0.0,3.0,12.0,0.0,-2.2,53.0
1.0,0.0,3.0,13.0,0.0,-2.2,54.0
1.0,0.0,3.0,14.0,0.0,-2.8,55.0
1.0,0.0,3.0,15.0,0.0,-2.8,55.0
1.0,0.0,3.0,16.0,0.0,-2.2,55.0
1.0,0.0,3.0,17.0,0.0,-2.8,52.0
1.0,0.0,3.0,18.0,0.0,-2.8,51.0
