month,weekday,day,hour,holiday,airTemp,value
1.0,5.0,1.0,0.0,1.0,-7.2,18.764
1.0,5.0,1.0,1.0,1.0,-6.7,18.764
1.0,5.0,1.0,2.0,1.0,-6.7,18.647
1.0,5.0,1.0,3.0,1.0,-6.7,18.732
1.0,5.0,1.0,4.0,1.0,-8.3,18.748
1.0,5.0,1.0,5.0,1.0,-8.3,18.539
1.0,5.0,1.0,6.0,1.0,-8.9,23.533
1.0,5.0,1.0,7.0,1.0,-9.4,34.568000000000005
1.0,5.0,1.0,8.0,1.0,-8.9,36.633
1.0,5.0,1.0,9.0,1.0,-8.3,36.347
1.0,5.0,1.0,10.0,1.0,-6.7,35.705
1.0,5.0,1.0,11.0,1.0,-5.6,34.946
1.0,5.0,1.0,12.0,1.0,-2.8,34.913000000000004
1.0,5.0,1.0,13.0,1.0,-1.7,34.267
1.0,5.0,1.0,14.0,1.0,-1.1,34.154
1.0,5.0,1.0,15.0,1.0,-1.1,34.145
1.0,5.0,1.0,16.0,1.0,-1.7,33.498000000000005
1.0,5.0,1.0,17.0,1.0,-2.8,24.239
1.0,5.0,1.0,18.0,1.0,-3.3,24.778
1.0,5.0,1.0,19.0,1.0,-3.9,24.993
1.0,5.0,1.0,20.0,1.0,-5.0,23.677
1.0,5.0,1.0,21.0,1.0,-5.6,23.459
1.0,5.0,1.0,22.0,1.0,-6.1,18.537
1.0,5.0,1.0,23.0,1.0,-7.2,18.482
1.0,6.0,2.0,0.0,0.0,-7.2,18.499
1.0,6.0,2.0,1.0,0.0,-7.8,18.63
1.0,6.0,2.0,2.0,0.0,-8.9,18.499
1.0,6.0,2.0,3.0,0.0,-8.9,18.519
1.0,6.0,2.0,4.0,0.0,-9.4,18.597
1.0,6.0,2.0,5.0,0.0,-9.4,18.415
1.0,6.0,2.0,6.0,0.0,-10.0,29.397
1.0,6.0,2.0,7.0,0.0,-8.9,29.222
1.0,6.0,2.0,8.0,0.0,-8.9,28.946
1.0,6.0,2.0,9.0,0.0,-8.3,28.205
1.0,6.0,2.0,10.0,0.0,-6.7,28.108
1.0,6.0,2.0,11.0,0.0,-5.6,27.52
1.0,6.0,2.0,12.0,0.0,-2.8,27.506
1.0,6.0,2.0,13.0,0.0,-1.7,27.54300000000001
1.0,6.0,2.0,14.0,0.0,-1.1,27.539
1.0,6.0,2.0,15.0,0.0,-0.6,27.554
1.0,6.0,2.0,16.0,0.0,-0.6,27.679
1.0,6.0,2.0,17.0,0.0,-2.2,27.989
1.0,6.0,2.0,18.0,0.0,-2.8,27.314
1.0,6.0,2.0,19.0,0.0,-3.3,27.585
1.0,6.0,2.0,20.0,0.0,-4.4,27.542
1.0,6.0,2.0,21.0,0.0,-3.3,27.594
1.0,6.0,2.0,22.0,0.0,-3.9,19.036
1.0,6.0,2.0,23.0,0.0,-4.4,18.632
1.0,0.0,3.0,0.0,0.0,-3.9,18.725
1.0,0.0,3.0,1.0,0.0,-3.3,18.72
1.0,0.0,3.0,2.0,0.0,-2.8,18.87
1.0,0.0,3.0,3.0,0.0,-2.8,18.727
1.0,0.0,3.0,4.0,0.0,-2.8,18.646
1.0,0.0,3.0,5.0,0.0,-3.3,18.574
