month,weekday,day,hour,holiday,airTemp,value
1.0,5.0,1.0,0.0,1.0,-7.2,71.977
1.0,5.0,1.0,1.0,1.0,-6.7,71.977
1.0,5.0,1.0,2.0,1.0,-6.7,71.877
1.0,5.0,1.0,3.0,1.0,-6.7,72.75399999999998
1.0,5.0,1.0,4.0,1.0,-8.3,67.833
1.0,5.0,1.0,5.0,1.0,-8.3,72.532
1.0,5.0,1.0,6.0,1.0,-8.9,70.704
1.0,5.0,1.0,7.0,1.0,-9.4,74.506
1.0,5.0,1.0,8.0,1.0,-8.9,129.91
1.0,5.0,1.0,9.0,1.0,-8.3,134.614
1.0,5.0,1.0,10.0,1.0,-6.7,132.431
1.0,5.0,1.0,11.0,1.0,-5.6,132.297
1.0,5.0,1.0,12.0,1.0,-2.8,133.602
1.0,5.0,1.0,13.0,1.0,-1.7,133.626
1.0,5.0,1.0,14.0,1.0,-1.1,133.843
1.0,5.0,1.0,15.0,1.0,-1.1,135.214
1.0,5.0,1.0,16.0,1.0,-1.7,135.007
1.0,5.0,1.0,17.0,1.0,-2.8,134.2
1.0,5.0,1.0,18.0,1.0,-3.3,136.752
1.0,5.0,1.0,19.0,1.0,-3.9,136.694
1.0,5.0,1.0,20.0,1.0,-5.0,137.187
1.0,5.0,1.0,21.0,1.0,-5.6,136.279
1.0,5.0,1.0,22.0,1.0,-6.1,108.476
1.0,5.0,1.0,23.0,1.0,-7.2,72.821
1.0,6.0,2.0,0.0,0.0,-7.2,72.839
1.0,6.0,2.0,1.0,0.0,-7.8,69.48
1.0,6.0,2.0,2.0,0.0,-8.9,71.081
1.0,6.0,2.0,3.0,0.0,-8.9,72.719
1.0,6.0,2.0,4.0,0.0,-9.4,69.232
1.0,6.0,2.0,5.0,0.0,-9.4,72.90899999999998
1.0,6.0,2.0,6.0,0.0,-10.0,70.825
1.0,6.0,2.0,7.0,0.0,-8.9,101.007
1.0,6.0,2.0,8.0,0.0,-8.9,105.112
1.0,6.0,2.0,9.0,0.0,-8.3,130.532
1.0,6.0,2.0,10.0,0.0,-6.7,134.352
1.0,6.0,2.0,11.0,0.0,-5.6,133.727
1.0,6.0,2.0,12.0,0.0,-2.8,135.757
1.0,6.0,2.0,13.0,0.0,-1.7,135.041
1.0,6.0,2.0,14.0,0.0,-1.1,137.122
1.0,6.0,2.0,15.0,0.0,-0.6,140.692
1.0,6.0,2.0,16.0,0.0,-0.6,141.15
1.0,6.0,2.0,17.0,0.0,-2.2,110.49
1.0,6.0,2.0,18.0,0.0,-2.8,84.521
1.0,6.0,2.0,19.0,0.0,-3.3,77.063
1.0,6.0,2.0,20.0,0.0,-4.4,74.922
1.0,6.0,2.0,21.0,0.0,-3.3,73.706
1.0,6.0,2.0,22.0,0.0,-3.9,70.71
1.0,6.0,2.0,23.0,0.0,-4.4,70.527
1.0,0.0,3.0,0.0,0.0,-3.9,72.883
1.0,0.0,3.0,1.0,0.0,-3.3,70.046
1.0,0.0,3.0,2.0,0.0,-2.8,70.189
1.0,0.0,3.0,3.0,0.0,-2.8,70.763
1.0,0.0,3.0,4.0,0.0,-2.8,71.35600000000002
1.0,0.0,3.0,5.0,0.0,-3.3,69.138
1.0,0.0,3.0,6.0,0.0,-2.8,69.77600000000001
1.0,0.0,3.0,7.0,0.0,-2.8,73.932
1.0,0.0,3.0,8.0,0.0,-2.8,71.17399999999998
1.0,0.0,3.0,9.0,0.0,-2.8,68.507
1.0,0.0,3.0,10.0,0.0,-2.8,67.767
1.0,0.0,3.0,11.0,0.0,-2.2,69.425
1.0,0.0,3.0,12.0,0.0,-2.2,68.51899999999999
1.0,0.0,3.0,13.0,0.0,-2.2,98.509
1.0,0.0,3.0,14.0,0.0,-2.8,102.546
1.0,0.0,3.0,15.0,0.0,-2.8,104.637
1.0,0.0,3.0,16.0,0.0,-2.2,105.053
1.0,0.0,3.0,17.0,0.0,-2.8,104.082
1.0,0.0,3.0,18.0,0.0,-2.8,79.657
1.0,0.0,3.0,19.0,0.0,-3.9,77.252
1.0,0.0,3.0,20.0,0.0,-5.0,77.096
1.0,0.0,3.0,21.0,0.0,-5.0,74.443
1.0,0.0,3.0,22.0,0.0,-6.1,76.944
1.0,0.0,3.0,23.0,0.0,-6.1,71.971
1.0,1.0,4.0,0.0,0.0,-6.7,69.805
