month,weekday,day,hour,holiday,airTemp,value
1.0,5.0,1.0,0.0,1.0,-7.2,25.849
1.0,5.0,1.0,1.0,1.0,-6.7,25.849
1.0,5.0,1.0,2.0,1.0,-6.7,26.175
1.0,5.0,1.0,3.0,1.0,-6.7,25.765
1.0,5.0,1.0,4.0,1.0,-8.3,26.435
1.0,5.0,1.0,5.0,1.0,-8.3,26.158
1.0,5.0,1.0,6.0,1.0,-8.9,26.3
1.0,5.0,1.0,7.0,1.0,-9.4,26.001
1.0,5.0,1.0,8.0,1.0,-8.9,26.386
1.0,5.0,1.0,9.0,1.0,-8.3,25.48
1.0,5.0,1.0,10.0,1.0,-6.7,25.577
1.0,5.0,1.0,11.0,1.0,-5.6,25.236
1.0,5.0,1.0,12.0,1.0,-2.8,25.416
1.0,5.0,1.0,13.0,1.0,-1.7,25.3
1.0,5.0,1.0,14.0,1.0,-1.1,25.28
1.0,5.0,1.0,15.0,1.0,-1.1,25.384
1.0,5.0,1.0,16.0,1.0,-1.7,25.239
1.0,5.0,1.0,17.0,1.0,-2.8,25.639
1.0,5.0,1.0,18.0,1.0,-3.3,25.545
1.0,5.0,1.0,19.0,1.0,-3.9,25.95
1.0,5.0,1.0,20.0,1.0,-5.0,25.89
1.0,5.0,1.0,21.0,1.0,-5.6,25.66
1.0,5.0,1.0,22.0,1.0,-6.1,25.924
1.0,5.0,1.0,23.0,1.0,-7.2,25.922
1.0,6.0,2.0,0.0,0.0,-7.2,25.927
1.0,6.0,2.0,1.0,0.0,-7.8,26.064
1.0,6.0,2.0,2.0,0.0,-8.9,25.863000000000003
1.0,6.0,2.0,3.0,0.0,-8.9,26.173
1.0,6.0,2.0,4.0,0.0,-9.4,26.058000000000003
1.0,6.0,2.0,5.0,0.0,-9.4,26.176
1.0,6.0,2.0,6.0,0.0,-10.0,26.024
1.0,6.0,2.0,7.0,0.0,-8.9,26.174
1.0,6.0,2.0,8.0,0.0,-8.9,25.899
1.0,6.0,2.0,9.0,0.0,-8.3,25.311
1.0,6.0,2.0,10.0,0.0,-6.7,25.523000000000003
1.0,6.0,2.0,11.0,0.0,-5.6,25.174
1.0,6.0,2.0,12.0,0.0,-2.8,25.281
1.0,6.0,2.0,13.0,0.0,-1.7,25.124
1.0,6.0,2.0,14.0,0.0,-1.1,25.334
1.0,6.0,2.0,15.0,0.0,-0.6,25.159
1.0,6.0,2.0,16.0,0.0,-0.6,25.114
1.0,6.0,2.0,17.0,0.0,-2.2,25.181
1.0,6.0,2.0,18.0,0.0,-2.8,25.78
1.0,6.0,2.0,19.0,0.0,-3.3,25.907
1.0,6.0,2.0,20.0,0.0,-4.4,25.766
1.0,6.0,2.0,21.0,0.0,-3.3,25.894
1.0,6.0,2.0,22.0,0.0,-3.9,25.77
1.0,6.0,2.0,23.0,0.0,-4.4,26.104
1.0,0.0,3.0,0.0,0.0,-3.9,25.406
1.0,0.0,3.0,1.0,0.0,-3.3,26.045
1.0,0.0,3.0,2.0,0.0,-2.8,25.894
1.0,0.0,3.0,3.0,0.0,-2.8,26.101
1.0,0.0,3.0,4.0,0.0,-2.8,26.001
1.0,0.0,3.0,5.0,0.0,-3.3,25.95300000000001
1.0,0.0,3.0,6.0,0.0,-2.8,26.121
1.0,0.0,3.0,7.0,0.0,-2.8,26.154
1.0,0.0,3.0,8.0,0.0,-2.8,25.887
1.0,0.0,3.0,9.0,0.0,-2.8,25.56
1.0,0.0,3.0,10.0,0.0,-2.8,25.375
1.0,0.0,3.0,11.0,0.0,-2.2,25.22
1.0,0.0,3.0,12.0,0.0,-2.2,25.273000000000003
1.0,0.0,3.0,13.0,0.0,-2.2,25.454
1.0,0.0,3.0,14.0,0.0,-2.8,25.045
1.0,0.0,3.0,15.0,0.0,-2.8,25.698
1.0,0.0,3.0,16.0,0.0,-2.2,25.445
1.0,0.0,3.0,17.0,0.0,-2.8,25.189
1.0,0.0,3.0,18.0,0.0,-2.8,26.074
1.0,0.0,3.0,19.0,0.0,-3.9,25.764
1.0,0.0,3.0,20.0,0.0,-5.0,25.98
1.0,0.0,3.0,21.0,0.0,-5.0,25.673
1.0,0.0,3.0,22.0,0.0,-6.1,26.104
1.0,0.0,3.0,23.0,0.0,-6.1,25.735
1.0,1.0,4.0,0.0,0.0,-6.7,26.026
1.0,1.0,4.0,1.0,0.0,-7.2,25.658
1.0,1.0,4.0,2.0,0.0,-7.8,26.175
1.0,1.0,4.0,3.0,0.0,-7.8,26.171
1.0,1.0,4.0,4.0,0.0,-8.9,26.014
1.0,1.0,4.0,5.0,0.0,-10.0,26.22300000000001
1.0,1.0,4.0,6.0,0.0,-11.1,26.165
1.0,1.0,4.0,7.0,0.0,-11.1,26.014
1.0,1.0,4.0,8.0,0.0,-11.7,27.29
1.0,1.0,4.0,9.0,0.0,-12.2,30.361
1.0,1.0,4.0,10.0,0.0,-10.6,29.684
