month,weekday,day,hour,holiday,airTemp,value
1.0,5.0,1.0,0.0,1.0,-7.2,40.606
1.0,5.0,1.0,1.0,1.0,-6.7,40.606
1.0,5.0,1.0,2.0,1.0,-6.7,40.999
1.0,5.0,1.0,3.0,1.0,-6.7,34.649
1.0,5.0,1.0,4.0,1.0,-8.3,34.073
1.0,5.0,1.0,5.0,1.0,-8.3,34.644
1.0,5.0,1.0,6.0,1.0,-8.9,34.111
1.0,5.0,1.0,7.0,1.0,-9.4,39.951
1.0,5.0,1.0,8.0,1.0,-8.9,62.184
1.0,5.0,1.0,9.0,1.0,-8.3,62.199
1.0,5.0,1.0,10.0,1.0,-6.7,60.554
1.0,5.0,1.0,11.0,1.0,-5.6,60.362
1.0,5.0,1.0,12.0,1.0,-2.8,59.955
1.0,5.0,1.0,13.0,1.0,-1.7,59.785
1.0,5.0,1.0,14.0,1.0,-1.1,60.33600000000001
1.0,5.0,1.0,15.0,1.0,-1.1,60.486
1.0,5.0,1.0,16.0,1.0,-1.7,59.947
1.0,5.0,1.0,17.0,1.0,-2.8,61.02
1.0,5.0,1.0,18.0,1.0,-3.3,63.567
1.0,5.0,1.0,19.0,1.0,-3.9,42.389
1.0,5.0,1.0,20.0,1.0,-5.0,40.203
1.0,5.0,1.0,21.0,1.0,-5.6,40.43
1.0,5.0,1.0,22.0,1.0,-6.1,40.307
1.0,5.0,1.0,23.0,1.0,-7.2,40.024
1.0,6.0,2.0,0.0,0.0,-7.2,40.556
1.0,6.0,2.0,1.0,0.0,-7.8,34.942
1.0,6.0,2.0,2.0,0.0,-8.9,33.973
1.0,6.0,2.0,3.0,0.0,-8.9,34.346
1.0,6.0,2.0,4.0,0.0,-9.4,34.315
1.0,6.0,2.0,5.0,0.0,-9.4,33.676
1.0,6.0,2.0,6.0,0.0,-10.0,34.464
1.0,6.0,2.0,7.0,0.0,-8.9,34.336
1.0,6.0,2.0,8.0,0.0,-8.9,33.929
1.0,6.0,2.0,9.0,0.0,-8.3,32.671
1.0,6.0,2.0,10.0,0.0,-6.7,36.912
1.0,6.0,2.0,11.0,0.0,-5.6,59.343
1.0,6.0,2.0,12.0,0.0,-2.8,61.29600000000001
1.0,6.0,2.0,13.0,0.0,-1.7,62.11600000000001
1.0,6.0,2.0,14.0,0.0,-1.1,60.729
1.0,6.0,2.0,15.0,0.0,-0.6,61.042
1.0,6.0,2.0,16.0,0.0,-0.6,62.58600000000001
1.0,6.0,2.0,17.0,0.0,-2.2,63.219
1.0,6.0,2.0,18.0,0.0,-2.8,63.785
1.0,6.0,2.0,19.0,0.0,-3.3,43.529
1.0,6.0,2.0,20.0,0.0,-4.4,41.015
1.0,6.0,2.0,21.0,0.0,-3.3,40.395
1.0,6.0,2.0,22.0,0.0,-3.9,41.109
1.0,6.0,2.0,23.0,0.0,-4.4,41.032
1.0,0.0,3.0,0.0,0.0,-3.9,40.74
1.0,0.0,3.0,1.0,0.0,-3.3,35.65
1.0,0.0,3.0,2.0,0.0,-2.8,35.407
1.0,0.0,3.0,3.0,0.0,-2.8,34.472
1.0,0.0,3.0,4.0,0.0,-2.8,34.67
1.0,0.0,3.0,5.0,0.0,-3.3,34.433
1.0,0.0,3.0,6.0,0.0,-2.8,34.168
1.0,0.0,3.0,7.0,0.0,-2.8,34.799
1.0,0.0,3.0,8.0,0.0,-2.8,34.209
1.0,0.0,3.0,9.0,0.0,-2.8,33.114000000000004
1.0,0.0,3.0,10.0,0.0,-2.8,31.785
1.0,0.0,3.0,11.0,0.0,-2.2,31.372
1.0,0.0,3.0,12.0,0.0,-2.2,59.6
1.0,0.0,3.0,13.0,0.0,-2.2,62.661
1.0,0.0,3.0,14.0,0.0,-2.8,61.676
1.0,0.0,3.0,15.0,0.0,-2.8,61.895
1.0,0.0,3.0,16.0,0.0,-2.2,62.343
1.0,0.0,3.0,17.0,0.0,-2.8,62.825
1.0,0.0,3.0,18.0,0.0,-2.8,64.71600000000001
1.0,0.0,3.0,19.0,0.0,-3.9,43.653
1.0,0.0,3.0,20.0,0.0,-5.0,40.149
1.0,0.0,3.0,21.0,0.0,-5.0,40.455
1.0,0.0,3.0,22.0,0.0,-6.1,41.753
1.0,0.0,3.0,23.0,0.0,-6.1,44.54600000000001
1.0,1.0,4.0,0.0,0.0,-6.7,42.168
1.0,1.0,4.0,1.0,0.0,-7.2,45.111
1.0,1.0,4.0,2.0,0.0,-7.8,52.93899999999999
1.0,1.0,4.0,3.0,0.0,-7.8,47.493
1.0,1.0,4.0,4.0,0.0,-8.9,37.031
1.0,1.0,4.0,5.0,0.0,-10.0,32.375
1.0,1.0,4.0,6.0,0.0,-11.1,32.411
1.0,1.0,4.0,7.0,0.0,-11.1,38.073
1.0,1.0,4.0,8.0,0.0,-11.7,66.078
1.0,1.0,4.0,9.0,0.0,-12.2,81.627
1.0,1.0,4.0,10.0,0.0,-10.6,84.72200000000002
1.0,1.0,4.0,11.0,0.0,-8.9,84.594
1.0,1.0,4.0,12.0,0.0,-6.7,84.542
1.0,1.0,4.0,13.0,0.0,-5.0,81.405
1.0,1.0,4.0,14.0,0.0,-3.3,85.73700000000002
1.0,1.0,4.0,15.0,0.0,-3.9,86.681
1.0,1.0,4.0,16.0,0.0,-5.0,90.387
1.0,1.0,4.0,17.0,0.0,-6.7,86.494
1.0,1.0,4.0,18.0,0.0,-7.2,70.848
1.0,1.0,4.0,19.0,0.0,-7.2,68.282
1.0,1.0,4.0,20.0,0.0,-7.2,67.197
1.0,1.0,4.0,21.0,0.0,-7.2,67.723
1.0,1.0,4.0,22.0,0.0,-6.7,47.14100000000001
1.0,1.0,4.0,23.0,0.0,-6.7,43.674
1.0,2.0,5.0,0.0,0.0,-6.7,43.12300000000001
1.0,2.0,5.0,1.0,0.0,-6.7,48.286
1.0,2.0,5.0,2.0,0.0,-6.7,53.861
1.0,2.0,5.0,3.0,0.0,-5.6,52.713
1.0,2.0,5.0,4.0,0.0,-5.0,46.29
1.0,2.0,5.0,5.0,0.0,-4.4,34.139
1.0,2.0,5.0,6.0,0.0,-4.4,33.241
1.0,2.0,5.0,7.0,0.0,-5.0,41.15600000000001
1.0,2.0,5.0,8.0,0.0,-5.6,67.225
1.0,2.0,5.0,9.0,0.0,-5.6,79.979
1.0,2.0,5.0,10.0,0.0,-3.9,82.57799999999997
1.0,2.0,5.0,11.0,0.0,-2.2,83.99
1.0,2.0,5.0,12.0,0.0,-1.1,90.289
1.0,2.0,5.0,13.0,0.0,-0.6,86.016
1.0,2.0,5.0,14.0,0.0,0.0,93.9
1.0,2.0,5.0,15.0,0.0,-0.6,91.15
1.0,2.0,5.0,16.0,0.0,-1.7,88.11399999999998
1.0,2.0,5.0,17.0,0.0,-3.3,88.319
1.0,2.0,5.0,18.0,0.0,-3.3,72.993
1.0,2.0,5.0,19.0,0.0,-4.4,68.34899999999999
1.0,2.0,5.0,20.0,0.0,-3.3,68.447
1.0,2.0,5.0,21.0,0.0,-3.3,68.388
1.0,2.0,5.0,22.0,0.0,-4.4,46.435
1.0,2.0,5.0,23.0,0.0,-3.9,42.721
1.0,3.0,6.0,0.0,0.0,-3.3,44.952
1.0,3.0,6.0,1.0,0.0,-2.8,51.195
1.0,3.0,6.0,2.0,0.0,-2.8,51.63
1.0,3.0,6.0,3.0,0.0,-4.4,39.668
1.0,3.0,6.0,4.0,0.0,-4.4,33.323
1.0,3.0,6.0,5.0,0.0,-5.0,32.62
1.0,3.0,6.0,6.0,0.0,-5.0,33.14
1.0,3.0,6.0,7.0,0.0,-4.4,38.471
1.0,3.0,6.0,8.0,0.0,-3.9,63.886
1.0,3.0,6.0,9.0,0.0,-2.8,81.009
1.0,3.0,6.0,10.0,0.0,-2.8,82.289
1.0,3.0,6.0,11.0,0.0,-1.7,86.31700000000002
1.0,3.0,6.0,12.0,0.0,-1.1,85.294
1.0,3.0,6.0,13.0,0.0,-0.6,86.03
1.0,3.0,6.0,14.0,0.0,0.0,88.891
1.0,3.0,6.0,15.0,0.0,0.0,89.449
1.0,3.0,6.0,16.0,0.0,0.0,89.38600000000002
1.0,3.0,6.0,17.0,0.0,-0.6,88.60600000000002
1.0,3.0,6.0,18.0,0.0,-0.6,72.624
1.0,3.0,6.0,19.0,0.0,-0.6,68.308
1.0,3.0,6.0,20.0,0.0,-0.6,68.171
1.0,3.0,6.0,21.0,0.0,-0.6,68.72
1.0,3.0,6.0,22.0,0.0,-0.6,47.058
1.0,3.0,6.0,23.0,0.0,-0.6,46.953
1.0,4.0,7.0,0.0,0.0,-0.6,47.02
1.0,4.0,7.0,1.0,0.0,-0.6,53.015
1.0,4.0,7.0,2.0,0.0,-0.6,51.525
1.0,4.0,7.0,3.0,0.0,-0.6,40.425
1.0,4.0,7.0,4.0,0.0,-0.6,36.721
1.0,4.0,7.0,5.0,0.0,-0.6,33.486
1.0,4.0,7.0,6.0,0.0,-0.6,33.488
1.0,4.0,7.0,7.0,0.0,-0.6,38.681
1.0,4.0,7.0,8.0,0.0,-0.6,66.074
1.0,4.0,7.0,9.0,0.0,-0.6,82.685
1.0,4.0,7.0,10.0,0.0,-0.6,85.635
1.0,4.0,7.0,11.0,0.0,0.0,86.986
1.0,4.0,7.0,12.0,0.0,0.6,83.50299999999999
1.0,4.0,7.0,13.0,0.0,0.6,81.313
1.0,4.0,7.0,14.0,0.0,0.6,87.742
1.0,4.0,7.0,15.0,0.0,0.6,89.221
1.0,4.0,7.0,16.0,0.0,0.6,88.514
1.0,4.0,7.0,17.0,0.0,0.6,86.18799999999996
1.0,4.0,7.0,18.0,0.0,1.1,72.467
1.0,4.0,7.0,19.0,0.0,0.6,66.873
1.0,4.0,7.0,20.0,0.0,0.6,66.469
1.0,4.0,7.0,21.0,0.0,1.1,66.61
1.0,4.0,7.0,22.0,0.0,0.6,46.782
1.0,4.0,7.0,23.0,0.0,0.6,42.25100000000001
1.0,5.0,8.0,0.0,0.0,0.6,41.758
1.0,5.0,8.0,1.0,0.0,0.6,45.17
1.0,5.0,8.0,2.0,0.0,0.0,47.701
