month,weekday,day,hour,holiday,airTemp,value
1.0,5.0,1.0,0.0,1.0,-7.2,291.8
1.0,5.0,1.0,1.0,1.0,-6.7,291.8
1.0,5.0,1.0,2.0,1.0,-6.7,197.22
1.0,5.0,1.0,3.0,1.0,-6.7,162.82
1.0,5.0,1.0,4.0,1.0,-8.3,279.82
1.0,5.0,1.0,5.0,1.0,-8.3,297.82
1.0,5.0,1.0,6.0,1.0,-8.9,175.22
1.0,5.0,1.0,7.0,1.0,-9.4,161.62
1.0,5.0,1.0,8.0,1.0,-8.9,163.82
1.0,5.0,1.0,9.0,1.0,-8.3,165.0
1.0,5.0,1.0,10.0,1.0,-6.7,157.82
1.0,5.0,1.0,11.0,1.0,-5.6,165.02
1.0,5.0,1.0,12.0,1.0,-2.8,168.8
1.0,5.0,1.0,13.0,1.0,-1.7,183.84
1.0,5.0,1.0,14.0,1.0,-1.1,184.8
1.0,5.0,1.0,15.0,1.0,-1.1,307.82
1.0,5.0,1.0,16.0,1.0,-1.7,328.04
1.0,5.0,1.0,17.0,1.0,-2.8,192.0
1.0,5.0,1.0,18.0,1.0,-3.3,182.82
1.0,5.0,1.0,19.0,1.0,-3.9,182.8
1.0,5.0,1.0,20.0,1.0,-5.0,191.84
1.0,5.0,1.0,21.0,1.0,-5.6,186.2
1.0,5.0,1.0,22.0,1.0,-6.1,187.82
1.0,5.0,1.0,23.0,1.0,-7.2,194.6
1.0,6.0,2.0,0.0,0.0,-7.2,184.04
1.0,6.0,2.0,1.0,0.0,-7.8,173.8
1.0,6.0,2.0,2.0,0.0,-8.9,176.02
1.0,6.0,2.0,3.0,0.0,-8.9,186.8
1.0,6.0,2.0,4.0,0.0,-9.4,291.04
1.0,6.0,2.0,5.0,0.0,-9.4,308.02
1.0,6.0,2.0,6.0,0.0,-10.0,174.82
1.0,6.0,2.0,7.0,0.0,-8.9,165.6
1.0,6.0,2.0,8.0,0.0,-8.9,174.22
1.0,6.0,2.0,9.0,0.0,-8.3,164.62
1.0,6.0,2.0,10.0,0.0,-6.7,177.82
1.0,6.0,2.0,11.0,0.0,-5.6,179.2
1.0,6.0,2.0,12.0,0.0,-2.8,186.82
1.0,6.0,2.0,13.0,0.0,-1.7,299.8
1.0,6.0,2.0,14.0,0.0,-1.1,320.82
1.0,6.0,2.0,15.0,0.0,-0.6,434.04
1.0,6.0,2.0,16.0,0.0,-0.6,455.04
1.0,6.0,2.0,17.0,0.0,-2.2,313.8
1.0,6.0,2.0,18.0,0.0,-2.8,304.8
1.0,6.0,2.0,19.0,0.0,-3.3,191.02
1.0,6.0,2.0,20.0,0.0,-4.4,195.02
1.0,6.0,2.0,21.0,0.0,-3.3,185.8
1.0,6.0,2.0,22.0,0.0,-3.9,194.02
1.0,6.0,2.0,23.0,0.0,-4.4,198.8
1.0,0.0,3.0,0.0,0.0,-3.9,195.84
1.0,0.0,3.0,1.0,0.0,-3.3,186.2
1.0,0.0,3.0,2.0,0.0,-2.8,176.62
1.0,0.0,3.0,3.0,0.0,-2.8,187.04
1.0,0.0,3.0,4.0,0.0,-2.8,295.62
1.0,0.0,3.0,5.0,0.0,-3.3,311.24
1.0,0.0,3.0,6.0,0.0,-2.8,176.84
1.0,0.0,3.0,7.0,0.0,-2.8,164.8
1.0,0.0,3.0,8.0,0.0,-2.8,171.82
1.0,0.0,3.0,9.0,0.0,-2.8,158.0
1.0,0.0,3.0,10.0,0.0,-2.8,157.04
1.0,0.0,3.0,11.0,0.0,-2.2,163.82
1.0,0.0,3.0,12.0,0.0,-2.2,185.8
1.0,0.0,3.0,13.0,0.0,-2.2,304.02
1.0,0.0,3.0,14.0,0.0,-2.8,292.82
1.0,0.0,3.0,15.0,0.0,-2.8,423.02
1.0,0.0,3.0,16.0,0.0,-2.2,442.04
1.0,0.0,3.0,17.0,0.0,-2.8,309.82
1.0,0.0,3.0,18.0,0.0,-2.8,301.0
1.0,0.0,3.0,19.0,0.0,-3.9,198.82
1.0,0.0,3.0,20.0,0.0,-5.0,190.82
1.0,0.0,3.0,21.0,0.0,-5.0,192.04
1.0,0.0,3.0,22.0,0.0,-6.1,187.8
1.0,0.0,3.0,23.0,0.0,-6.1,210.02
1.0,1.0,4.0,0.0,0.0,-6.7,213.04
1.0,1.0,4.0,1.0,0.0,-7.2,200.82
1.0,1.0,4.0,2.0,0.0,-7.8,200.82
1.0,1.0,4.0,3.0,0.0,-7.8,185.82
1.0,1.0,4.0,4.0,0.0,-8.9,194.22
1.0,1.0,4.0,5.0,0.0,-10.0,191.8
1.0,1.0,4.0,6.0,0.0,-11.1,195.82
1.0,1.0,4.0,7.0,0.0,-11.1,282.82
1.0,1.0,4.0,8.0,0.0,-11.7,469.42
1.0,1.0,4.0,9.0,0.0,-12.2,493.82
1.0,1.0,4.0,10.0,0.0,-10.6,532.02
1.0,1.0,4.0,11.0,0.0,-8.9,539.24
1.0,1.0,4.0,12.0,0.0,-6.7,541.0
1.0,1.0,4.0,13.0,0.0,-5.0,539.02
1.0,1.0,4.0,14.0,0.0,-3.3,530.2
1.0,1.0,4.0,15.0,0.0,-3.9,529.04
1.0,1.0,4.0,16.0,0.0,-5.0,530.02
1.0,1.0,4.0,17.0,0.0,-6.7,518.2
1.0,1.0,4.0,18.0,0.0,-7.2,458.82
1.0,1.0,4.0,19.0,0.0,-7.2,363.22
1.0,1.0,4.0,20.0,0.0,-7.2,417.02
1.0,1.0,4.0,21.0,0.0,-7.2,415.8
1.0,1.0,4.0,22.0,0.0,-6.7,416.04
1.0,1.0,4.0,23.0,0.0,-6.7,415.02
1.0,2.0,5.0,0.0,0.0,-6.7,410.82
1.0,2.0,5.0,1.0,0.0,-6.7,299.8
1.0,2.0,5.0,2.0,0.0,-6.7,209.02
1.0,2.0,5.0,3.0,0.0,-5.6,175.0
1.0,2.0,5.0,4.0,0.0,-5.0,173.84
1.0,2.0,5.0,5.0,0.0,-4.4,183.6
1.0,2.0,5.0,6.0,0.0,-4.4,179.0
1.0,2.0,5.0,7.0,0.0,-5.0,253.02
1.0,2.0,5.0,8.0,0.0,-5.6,457.0
1.0,2.0,5.0,9.0,0.0,-5.6,484.02
1.0,2.0,5.0,10.0,0.0,-3.9,526.02
1.0,2.0,5.0,11.0,0.0,-2.2,540.22
1.0,2.0,5.0,12.0,0.0,-1.1,540.8
1.0,2.0,5.0,13.0,0.0,-0.6,538.22
1.0,2.0,5.0,14.0,0.0,0.0,540.22
1.0,2.0,5.0,15.0,0.0,-0.6,531.8
1.0,2.0,5.0,16.0,0.0,-1.7,524.24
1.0,2.0,5.0,17.0,0.0,-3.3,510.2
1.0,2.0,5.0,18.0,0.0,-3.3,452.8
1.0,2.0,5.0,19.0,0.0,-4.4,410.82
1.0,2.0,5.0,20.0,0.0,-3.3,417.42
1.0,2.0,5.0,21.0,0.0,-3.3,409.82
1.0,2.0,5.0,22.0,0.0,-4.4,404.8
1.0,2.0,5.0,23.0,0.0,-3.9,406.02
1.0,3.0,6.0,0.0,0.0,-3.3,403.02
1.0,3.0,6.0,1.0,0.0,-2.8,291.82
1.0,3.0,6.0,2.0,0.0,-2.8,179.82
1.0,3.0,6.0,3.0,0.0,-4.4,168.2
1.0,3.0,6.0,4.0,0.0,-4.4,167.82
1.0,3.0,6.0,5.0,0.0,-5.0,167.82
1.0,3.0,6.0,6.0,0.0,-5.0,170.82
1.0,3.0,6.0,7.0,0.0,-4.4,248.0
1.0,3.0,6.0,8.0,0.0,-3.9,457.24
1.0,3.0,6.0,9.0,0.0,-2.8,487.82
1.0,3.0,6.0,10.0,0.0,-2.8,513.22
1.0,3.0,6.0,11.0,0.0,-1.7,530.02
1.0,3.0,6.0,12.0,0.0,-1.1,536.02
1.0,3.0,6.0,13.0,0.0,-0.6,534.42
1.0,3.0,6.0,14.0,0.0,0.0,531.22
1.0,3.0,6.0,15.0,0.0,0.0,543.04
1.0,3.0,6.0,16.0,0.0,0.0,583.82
1.0,3.0,6.0,17.0,0.0,-0.6,497.6
1.0,3.0,6.0,18.0,0.0,-0.6,459.22
1.0,3.0,6.0,19.0,0.0,-0.6,420.02
1.0,3.0,6.0,20.0,0.0,-0.6,418.02
1.0,3.0,6.0,21.0,0.0,-0.6,413.82
1.0,3.0,6.0,22.0,0.0,-0.6,412.22
1.0,3.0,6.0,23.0,0.0,-0.6,413.84
1.0,4.0,7.0,0.0,0.0,-0.6,411.82
1.0,4.0,7.0,1.0,0.0,-0.6,301.04
1.0,4.0,7.0,2.0,0.0,-0.6,206.02
1.0,4.0,7.0,3.0,0.0,-0.6,176.8
