month,weekday,day,hour,holiday,airTemp,value
1.0,5.0,1.0,0.0,1.0,3.8,9.3
1.0,5.0,1.0,1.0,1.0,3.7,17.9
1.0,5.0,1.0,2.0,1.0,2.6,18.3
1.0,5.0,1.0,3.0,1.0,2.0,18.3
1.0,5.0,1.0,4.0,1.0,2.3,16.6
1.0,5.0,1.0,5.0,1.0,2.4,15.4
1.0,5.0,1.0,6.0,1.0,2.3,17.0
1.0,5.0,1.0,7.0,1.0,2.6,16.1
1.0,5.0,1.0,8.0,1.0,2.2,38.2
1.0,5.0,1.0,9.0,1.0,2.2,41.8
1.0,5.0,1.0,10.0,1.0,4.0,41.8
1.0,5.0,1.0,11.0,1.0,5.4,43.7
1.0,5.0,1.0,12.0,1.0,7.0,43.7
1.0,5.0,1.0,13.0,1.0,7.2,44.1
1.0,5.0,1.0,14.0,1.0,7.4,44.8
1.0,5.0,1.0,15.0,1.0,7.5,46.9
1.0,5.0,1.0,16.0,1.0,7.6,45.4
1.0,5.0,1.0,17.0,1.0,8.0,44.1
1.0,5.0,1.0,18.0,1.0,8.1,22.9
1.0,5.0,1.0,19.0,1.0,8.1,18.5
1.0,5.0,1.0,20.0,1.0,8.2,18.0
1.0,5.0,1.0,21.0,1.0,8.5,17.7
1.0,5.0,1.0,22.0,1.0,8.3,19.8
1.0,5.0,1.0,23.0,1.0,7.9,20.4
1.0,6.0,2.0,0.0,0.0,8.1,22.2
1.0,6.0,2.0,1.0,0.0,8.2,19.3
1.0,6.0,2.0,2.0,0.0,8.5,18.5
1.0,6.0,2.0,3.0,0.0,9.1,18.6
1.0,6.0,2.0,4.0,0.0,9.3,18.6
1.0,6.0,2.0,5.0,0.0,9.6,16.4
1.0,6.0,2.0,6.0,0.0,9.7,16.8
1.0,6.0,2.0,7.0,0.0,9.4,17.7
1.0,6.0,2.0,8.0,0.0,9.7,27.0
1.0,6.0,2.0,9.0,0.0,9.9,43.9
1.0,6.0,2.0,10.0,0.0,9.8,43.3
1.0,6.0,2.0,11.0,0.0,9.9,45.4
1.0,6.0,2.0,12.0,0.0,10.1,43.6
1.0,6.0,2.0,13.0,0.0,10.0,44.0
1.0,6.0,2.0,14.0,0.0,10.0,43.9
1.0,6.0,2.0,15.0,0.0,10.2,43.0
1.0,6.0,2.0,16.0,0.0,11.2,42.7
1.0,6.0,2.0,17.0,0.0,10.9,43.5
1.0,6.0,2.0,18.0,0.0,10.9,34.2
1.0,6.0,2.0,19.0,0.0,10.4,17.3
1.0,6.0,2.0,20.0,0.0,10.1,17.8
1.0,6.0,2.0,21.0,0.0,9.9,17.0
1.0,6.0,2.0,22.0,0.0,9.9,16.4
1.0,6.0,2.0,23.0,0.0,10.0,16.6
1.0,0.0,3.0,0.0,0.0,9.7,17.4
1.0,0.0,3.0,1.0,0.0,9.3,16.5
1.0,0.0,3.0,2.0,0.0,8.5,16.4
1.0,0.0,3.0,3.0,0.0,7.7,17.0
1.0,0.0,3.0,4.0,0.0,6.8,16.2
1.0,0.0,3.0,5.0,0.0,6.3,15.9
1.0,0.0,3.0,6.0,0.0,5.2,16.3
1.0,0.0,3.0,7.0,0.0,5.8,16.8
1.0,0.0,3.0,8.0,0.0,6.8,16.1
1.0,0.0,3.0,9.0,0.0,7.9,16.2
1.0,0.0,3.0,10.0,0.0,8.9,16.3
1.0,0.0,3.0,11.0,0.0,9.2,18.5
1.0,0.0,3.0,12.0,0.0,9.1,18.9
1.0,0.0,3.0,13.0,0.0,8.9,17.6
1.0,0.0,3.0,14.0,0.0,8.9,19.1
1.0,0.0,3.0,15.0,0.0,9.6,18.3
1.0,0.0,3.0,16.0,0.0,9.4,17.8
1.0,0.0,3.0,17.0,0.0,8.3,17.7
