month,weekday,day,hour,holiday,airTemp,value
1.0,5.0,1.0,0.0,1.0,3.8,69.3
1.0,5.0,1.0,1.0,1.0,3.7,137.3
1.0,5.0,1.0,2.0,1.0,2.6,137.5
1.0,5.0,1.0,3.0,1.0,2.0,137.7
1.0,5.0,1.0,4.0,1.0,2.3,137.4
1.0,5.0,1.0,5.0,1.0,2.4,138.9
1.0,5.0,1.0,6.0,1.0,2.3,139.7
1.0,5.0,1.0,7.0,1.0,2.6,139.3
1.0,5.0,1.0,8.0,1.0,2.2,138.9
1.0,5.0,1.0,9.0,1.0,2.2,141.0
1.0,5.0,1.0,10.0,1.0,4.0,140.7
1.0,5.0,1.0,11.0,1.0,5.4,141.0
1.0,5.0,1.0,12.0,1.0,7.0,139.7
1.0,5.0,1.0,13.0,1.0,7.2,138.0
1.0,5.0,1.0,14.0,1.0,7.4,139.8
1.0,5.0,1.0,15.0,1.0,7.5,137.4
1.0,5.0,1.0,16.0,1.0,7.6,140.7
1.0,5.0,1.0,17.0,1.0,8.0,139.7
1.0,5.0,1.0,18.0,1.0,8.1,138.8
1.0,5.0,1.0,19.0,1.0,8.1,138.1
1.0,5.0,1.0,20.0,1.0,8.2,139.3
1.0,5.0,1.0,21.0,1.0,8.5,139.0
1.0,5.0,1.0,22.0,1.0,8.3,137.8
1.0,5.0,1.0,23.0,1.0,7.9,136.5
1.0,6.0,2.0,0.0,0.0,8.1,135.0
1.0,6.0,2.0,1.0,0.0,8.2,137.0
1.0,6.0,2.0,2.0,0.0,8.5,137.4
1.0,6.0,2.0,3.0,0.0,9.1,135.6
1.0,6.0,2.0,4.0,0.0,9.3,136.2
1.0,6.0,2.0,5.0,0.0,9.6,136.9
1.0,6.0,2.0,6.0,0.0,9.7,136.6
1.0,6.0,2.0,7.0,0.0,9.4,137.7
1.0,6.0,2.0,8.0,0.0,9.7,136.9
1.0,6.0,2.0,9.0,0.0,9.9,137.6
1.0,6.0,2.0,10.0,0.0,9.8,135.5
1.0,6.0,2.0,11.0,0.0,9.9,136.6
1.0,6.0,2.0,12.0,0.0,10.1,136.3
1.0,6.0,2.0,13.0,0.0,10.0,137.1
1.0,6.0,2.0,14.0,0.0,10.0,136.4
1.0,6.0,2.0,15.0,0.0,10.2,136.1
1.0,6.0,2.0,16.0,0.0,11.2,138.2
1.0,6.0,2.0,17.0,0.0,10.9,139.0
1.0,6.0,2.0,18.0,0.0,10.9,137.8
1.0,6.0,2.0,19.0,0.0,10.4,138.5
1.0,6.0,2.0,20.0,0.0,10.1,140.1
1.0,6.0,2.0,21.0,0.0,9.9,138.5
1.0,6.0,2.0,22.0,0.0,9.9,137.4
1.0,6.0,2.0,23.0,0.0,10.0,138.2
1.0,0.0,3.0,0.0,0.0,9.7,136.4
1.0,0.0,3.0,1.0,0.0,9.3,135.1
1.0,0.0,3.0,2.0,0.0,8.5,136.9
1.0,0.0,3.0,3.0,0.0,7.7,136.2
1.0,0.0,3.0,4.0,0.0,6.8,137.1
1.0,0.0,3.0,5.0,0.0,6.3,137.0
1.0,0.0,3.0,6.0,0.0,5.2,137.5
1.0,0.0,3.0,7.0,0.0,5.8,138.7
1.0,0.0,3.0,8.0,0.0,6.8,136.1
1.0,0.0,3.0,9.0,0.0,7.9,136.9
1.0,0.0,3.0,10.0,0.0,8.9,137.6
1.0,0.0,3.0,11.0,0.0,9.2,135.5
1.0,0.0,3.0,12.0,0.0,9.1,136.9
1.0,0.0,3.0,13.0,0.0,8.9,136.2
1.0,0.0,3.0,14.0,0.0,8.9,136.0
1.0,0.0,3.0,15.0,0.0,9.6,137.6
1.0,0.0,3.0,16.0,0.0,9.4,137.9
1.0,0.0,3.0,17.0,0.0,8.3,139.3
1.0,0.0,3.0,18.0,0.0,8.2,139.4
1.0,0.0,3.0,19.0,0.0,8.1,138.6
1.0,0.0,3.0,20.0,0.0,7.8,139.2
1.0,0.0,3.0,21.0,0.0,7.4,138.0
1.0,0.0,3.0,22.0,0.0,6.6,138.7
1.0,0.0,3.0,23.0,0.0,6.5,136.0
1.0,1.0,4.0,0.0,0.0,6.0,138.9
