month,weekday,day,hour,holiday,airTemp,value
1.0,5.0,1.0,0.0,1.0,3.8,10.2748
1.0,5.0,1.0,1.0,1.0,3.7,20.5496
1.0,5.0,1.0,2.0,1.0,2.6,20.5496
1.0,5.0,1.0,3.0,1.0,2.0,20.5496
1.0,5.0,1.0,4.0,1.0,2.3,20.5496
1.0,5.0,1.0,5.0,1.0,2.4,20.5496
1.0,5.0,1.0,6.0,1.0,2.3,20.5496
1.0,5.0,1.0,7.0,1.0,2.6,20.5496
1.0,5.0,1.0,8.0,1.0,2.2,20.5496
1.0,5.0,1.0,9.0,1.0,2.2,20.5496
1.0,5.0,1.0,10.0,1.0,4.0,20.5496
1.0,5.0,1.0,11.0,1.0,5.4,20.5496
1.0,5.0,1.0,12.0,1.0,7.0,20.5496
1.0,5.0,1.0,13.0,1.0,7.2,20.5496
1.0,5.0,1.0,14.0,1.0,7.4,20.5496
1.0,5.0,1.0,15.0,1.0,7.5,20.5496
1.0,5.0,1.0,16.0,1.0,7.6,20.5496
1.0,5.0,1.0,17.0,1.0,8.0,20.5496
1.0,5.0,1.0,18.0,1.0,8.1,20.5496
1.0,5.0,1.0,19.0,1.0,8.1,20.5496
1.0,5.0,1.0,20.0,1.0,8.2,20.5496
1.0,5.0,1.0,21.0,1.0,8.5,20.5496
1.0,5.0,1.0,22.0,1.0,8.3,20.5496
1.0,5.0,1.0,23.0,1.0,7.9,20.5496
1.0,6.0,2.0,0.0,0.0,8.1,21.6517
1.0,6.0,2.0,1.0,0.0,8.2,20.9017
1.0,6.0,2.0,2.0,0.0,8.5,20.6287
1.0,6.0,2.0,3.0,0.0,9.1,21.3157
1.0,6.0,2.0,4.0,0.0,9.3,21.8167
1.0,6.0,2.0,5.0,0.0,9.6,22.0657
1.0,6.0,2.0,6.0,0.0,9.7,22.5667
1.0,6.0,2.0,7.0,0.0,9.4,22.9407
1.0,6.0,2.0,8.0,0.0,9.7,21.8787
1.0,6.0,2.0,9.0,0.0,9.9,24.3787
1.0,6.0,2.0,10.0,0.0,9.8,24.3167
1.0,6.0,2.0,11.0,0.0,9.9,24.0037
1.0,6.0,2.0,12.0,0.0,10.1,25.1907
1.0,6.0,2.0,13.0,0.0,10.0,23.9417
1.0,6.0,2.0,14.0,0.0,10.0,22.8787
1.0,6.0,2.0,15.0,0.0,10.2,23.0037
1.0,6.0,2.0,16.0,0.0,11.2,23.8787
1.0,6.0,2.0,17.0,0.0,10.9,25.0037
1.0,6.0,2.0,18.0,0.0,10.9,23.5657
1.0,6.0,2.0,19.0,0.0,10.4,23.8787
1.0,6.0,2.0,20.0,0.0,10.1,23.0037
1.0,6.0,2.0,21.0,0.0,9.9,23.4417
1.0,6.0,2.0,22.0,0.0,9.9,23.3787
1.0,6.0,2.0,23.0,0.0,10.0,22.1287
1.0,0.0,3.0,0.0,0.0,9.7,21.6917
1.0,0.0,3.0,1.0,0.0,9.3,22.4407
1.0,0.0,3.0,2.0,0.0,8.5,22.1917
1.0,0.0,3.0,3.0,0.0,7.7,20.8157
1.0,0.0,3.0,4.0,0.0,6.8,17.0667
1.0,0.0,3.0,5.0,0.0,6.3,19.1907
1.0,0.0,3.0,6.0,0.0,5.2,18.3167
1.0,0.0,3.0,7.0,0.0,5.8,19.5657
1.0,0.0,3.0,8.0,0.0,6.8,18.4417
1.0,0.0,3.0,9.0,0.0,7.9,20.9407
1.0,0.0,3.0,10.0,0.0,8.9,20.4417
1.0,0.0,3.0,11.0,0.0,9.2,18.3787
1.0,0.0,3.0,12.0,0.0,9.1,17.7537
1.0,0.0,3.0,13.0,0.0,8.9,18.6287
1.0,0.0,3.0,14.0,0.0,8.9,19.3157
1.0,0.0,3.0,15.0,0.0,9.6,23.3787
1.0,0.0,3.0,16.0,0.0,9.4,23.2537
1.0,0.0,3.0,17.0,0.0,8.3,23.4417
1.0,0.0,3.0,18.0,0.0,8.2,21.7537
1.0,0.0,3.0,19.0,0.0,8.1,21.8787
1.0,0.0,3.0,20.0,0.0,7.8,21.9407
1.0,0.0,3.0,21.0,0.0,7.4,22.6917
1.0,0.0,3.0,22.0,0.0,6.6,21.1287
1.0,0.0,3.0,23.0,0.0,6.5,20.9407
1.0,1.0,4.0,0.0,0.0,6.0,21.5657
1.0,1.0,4.0,1.0,0.0,6.3,21.0657
1.0,1.0,4.0,2.0,0.0,6.6,20.8787
1.0,1.0,4.0,3.0,0.0,6.1,20.4417
1.0,1.0,4.0,4.0,0.0,6.4,20.7537
1.0,1.0,4.0,5.0,0.0,5.8,20.1287
1.0,1.0,4.0,6.0,0.0,6.4,26.3157
1.0,1.0,4.0,7.0,0.0,6.7,24.5667
1.0,1.0,4.0,8.0,0.0,7.4,22.6907
1.0,1.0,4.0,9.0,0.0,7.7,28.0667
1.0,1.0,4.0,10.0,0.0,8.9,35.1907
1.0,1.0,4.0,11.0,0.0,9.7,35.5037
1.0,1.0,4.0,12.0,0.0,9.8,35.5667
1.0,1.0,4.0,13.0,0.0,10.1,37.6907
1.0,1.0,4.0,14.0,0.0,10.4,38.8167
1.0,1.0,4.0,15.0,0.0,9.8,38.5657
1.0,1.0,4.0,16.0,0.0,9.2,39.9417
1.0,1.0,4.0,17.0,0.0,8.6,38.7537
1.0,1.0,4.0,18.0,0.0,8.2,38.5037
1.0,1.0,4.0,19.0,0.0,7.7,34.3157
1.0,1.0,4.0,20.0,0.0,7.6,28.7537
1.0,1.0,4.0,21.0,0.0,7.9,24.5667
1.0,1.0,4.0,22.0,0.0,7.2,23.4407
1.0,1.0,4.0,23.0,0.0,7.7,22.8167
1.0,2.0,5.0,0.0,0.0,7.4,23.1287
1.0,2.0,5.0,1.0,0.0,8.1,22.8167
1.0,2.0,5.0,2.0,0.0,8.2,22.3157
1.0,2.0,5.0,3.0,0.0,8.3,24.1917
1.0,2.0,5.0,4.0,0.0,6.4,23.5657
1.0,2.0,5.0,5.0,0.0,6.7,23.1287
1.0,2.0,5.0,6.0,0.0,5.7,28.1287
1.0,2.0,5.0,7.0,0.0,7.1,27.8787
1.0,2.0,5.0,8.0,0.0,6.7,25.6287
1.0,2.0,5.0,9.0,0.0,6.7,30.5667
1.0,2.0,5.0,10.0,0.0,7.4,35.3787
1.0,2.0,5.0,11.0,0.0,8.7,35.2537
1.0,2.0,5.0,12.0,0.0,9.3,42.0037
1.0,2.0,5.0,13.0,0.0,9.6,42.6907
1.0,2.0,5.0,14.0,0.0,9.3,40.6917
1.0,2.0,5.0,15.0,0.0,9.4,42.5037
1.0,2.0,5.0,16.0,0.0,9.2,42.1287
1.0,2.0,5.0,17.0,0.0,8.7,41.8157
1.0,2.0,5.0,18.0,0.0,9.0,37.0667
1.0,2.0,5.0,19.0,0.0,8.7,32.0037
1.0,2.0,5.0,20.0,0.0,8.2,30.1907
1.0,2.0,5.0,21.0,0.0,7.5,26.4417
1.0,2.0,5.0,22.0,0.0,6.9,25.4407
1.0,2.0,5.0,23.0,0.0,6.5,24.2537
1.0,3.0,6.0,0.0,0.0,6.4,27.1762
1.0,3.0,6.0,1.0,0.0,6.3,30.5987
1.0,3.0,6.0,2.0,0.0,6.5,30.5987
1.0,3.0,6.0,3.0,0.0,6.4,30.5987
1.0,3.0,6.0,4.0,0.0,6.2,30.5987
1.0,3.0,6.0,5.0,0.0,5.6,30.5987
1.0,3.0,6.0,6.0,0.0,5.6,30.5987
1.0,3.0,6.0,7.0,0.0,4.9,30.5987
1.0,3.0,6.0,8.0,0.0,5.4,30.5987
1.0,3.0,6.0,9.0,0.0,5.6,30.5987
1.0,3.0,6.0,10.0,0.0,5.0,30.5987
1.0,3.0,6.0,11.0,0.0,5.8,30.5987
1.0,3.0,6.0,12.0,0.0,6.9,30.5987
1.0,3.0,6.0,13.0,0.0,7.7,30.5987
1.0,3.0,6.0,14.0,0.0,7.9,30.5987
1.0,3.0,6.0,15.0,0.0,8.1,30.5987
1.0,3.0,6.0,16.0,0.0,7.9,30.5987
1.0,3.0,6.0,17.0,0.0,7.4,30.5987
1.0,3.0,6.0,18.0,0.0,7.1,30.5987
1.0,3.0,6.0,19.0,0.0,6.4,30.5987
1.0,3.0,6.0,20.0,0.0,5.9,30.5987
1.0,3.0,6.0,21.0,0.0,5.7,30.5987
1.0,3.0,6.0,22.0,0.0,5.6,30.5987
1.0,3.0,6.0,23.0,0.0,5.9,30.5987
1.0,4.0,7.0,0.0,0.0,6.7,30.5987
1.0,4.0,7.0,1.0,0.0,7.5,30.5987
1.0,4.0,7.0,2.0,0.0,8.0,30.5987
1.0,4.0,7.0,3.0,0.0,8.3,30.5987
1.0,4.0,7.0,4.0,0.0,7.9,30.5987
1.0,4.0,7.0,5.0,0.0,7.4,30.5987
1.0,4.0,7.0,6.0,0.0,7.6,30.5987
1.0,4.0,7.0,7.0,0.0,7.8,30.5987
1.0,4.0,7.0,8.0,0.0,8.4,30.5987
1.0,4.0,7.0,9.0,0.0,9.2,30.5987
1.0,4.0,7.0,10.0,0.0,10.2,30.5987
1.0,4.0,7.0,11.0,0.0,9.7,30.5987
1.0,4.0,7.0,12.0,0.0,8.6,30.5987
1.0,4.0,7.0,13.0,0.0,7.6,30.5987
1.0,4.0,7.0,14.0,0.0,7.9,30.5987
1.0,4.0,7.0,15.0,0.0,7.8,30.5987
1.0,4.0,7.0,16.0,0.0,7.0,30.5987
1.0,4.0,7.0,17.0,0.0,5.9,30.5987
1.0,4.0,7.0,18.0,0.0,5.3,30.5987
1.0,4.0,7.0,19.0,0.0,5.1,30.5987
1.0,4.0,7.0,20.0,0.0,4.8,30.5987
1.0,4.0,7.0,21.0,0.0,4.2,30.5987
1.0,4.0,7.0,22.0,0.0,4.5,30.5987
1.0,4.0,7.0,23.0,0.0,3.0,30.5987
1.0,5.0,8.0,0.0,0.0,3.3,30.5987
1.0,5.0,8.0,1.0,0.0,3.2,30.5987
1.0,5.0,8.0,2.0,0.0,2.6,30.5987
1.0,5.0,8.0,3.0,0.0,2.7,30.5987
1.0,5.0,8.0,4.0,0.0,1.9,30.5987
1.0,5.0,8.0,5.0,0.0,2.4,30.5987
1.0,5.0,8.0,6.0,0.0,1.6,30.5987
1.0,5.0,8.0,7.0,0.0,4.2,30.5987
1.0,5.0,8.0,8.0,0.0,4.4,30.5987
1.0,5.0,8.0,9.0,0.0,5.8,30.5987
1.0,5.0,8.0,10.0,0.0,6.7,30.5987
1.0,5.0,8.0,11.0,0.0,7.7,30.5987
1.0,5.0,8.0,12.0,0.0,7.7,30.5987
1.0,5.0,8.0,13.0,0.0,8.9,30.5987
1.0,5.0,8.0,14.0,0.0,8.8,30.5987
1.0,5.0,8.0,15.0,0.0,8.4,30.5987
1.0,5.0,8.0,16.0,0.0,7.8,30.5987
1.0,5.0,8.0,17.0,0.0,7.8,30.5987
1.0,5.0,8.0,18.0,0.0,8.0,30.5987
1.0,5.0,8.0,19.0,0.0,7.3,30.5987
1.0,5.0,8.0,20.0,0.0,7.3,30.5987
1.0,5.0,8.0,21.0,0.0,7.4,30.5987
1.0,5.0,8.0,22.0,0.0,7.0,30.5987
1.0,5.0,8.0,23.0,0.0,7.1,30.5987
1.0,6.0,9.0,0.0,0.0,7.2,30.5987
1.0,6.0,9.0,1.0,0.0,7.5,30.5987
1.0,6.0,9.0,2.0,0.0,8.0,30.5987
1.0,6.0,9.0,3.0,0.0,7.6,30.5987
1.0,6.0,9.0,4.0,0.0,7.8,30.5987
1.0,6.0,9.0,5.0,0.0,6.6,30.5987
1.0,6.0,9.0,6.0,0.0,6.0,30.5987
1.0,6.0,9.0,7.0,0.0,7.6,30.5987
1.0,6.0,9.0,8.0,0.0,8.6,30.5987
1.0,6.0,9.0,9.0,0.0,9.0,30.5987
1.0,6.0,9.0,10.0,0.0,9.7,30.5987
1.0,6.0,9.0,11.0,0.0,10.6,30.5987
1.0,6.0,9.0,12.0,0.0,10.7,30.5987
1.0,6.0,9.0,13.0,0.0,10.4,30.5987
1.0,6.0,9.0,14.0,0.0,10.9,30.5987
1.0,6.0,9.0,15.0,0.0,10.8,30.5987
1.0,6.0,9.0,16.0,0.0,10.6,30.5987
1.0,6.0,9.0,17.0,0.0,9.9,30.5987
1.0,6.0,9.0,18.0,0.0,9.9,30.5987
1.0,6.0,9.0,19.0,0.0,9.8,30.5987
1.0,6.0,9.0,20.0,0.0,10.2,30.5987
1.0,6.0,9.0,21.0,0.0,6.9,30.5987
1.0,6.0,9.0,22.0,0.0,7.0,30.5987
1.0,6.0,9.0,23.0,0.0,6.5,30.5987
1.0,0.0,10.0,0.0,0.0,6.8,30.5987
1.0,0.0,10.0,1.0,0.0,6.2,30.5987
1.0,0.0,10.0,2.0,0.0,6.3,30.5987
1.0,0.0,10.0,3.0,0.0,5.4,30.5987
1.0,0.0,10.0,4.0,0.0,5.6,30.5987
1.0,0.0,10.0,5.0,0.0,5.5,30.5987
1.0,0.0,10.0,6.0,0.0,6.3,30.5987
1.0,0.0,10.0,7.0,0.0,6.3,30.5987
1.0,0.0,10.0,8.0,0.0,5.6,30.5987
1.0,0.0,10.0,9.0,0.0,5.6,30.5987
1.0,0.0,10.0,10.0,0.0,6.2,30.5987
1.0,0.0,10.0,11.0,0.0,7.0,30.5987
1.0,0.0,10.0,12.0,0.0,7.8,30.5987
1.0,0.0,10.0,13.0,0.0,8.7,30.5987
1.0,0.0,10.0,14.0,0.0,7.9,30.5987
1.0,0.0,10.0,15.0,0.0,7.5,30.5987
1.0,0.0,10.0,16.0,0.0,6.7,30.5987
1.0,0.0,10.0,17.0,0.0,6.1,30.5987
1.0,0.0,10.0,18.0,0.0,5.2,30.5987
1.0,0.0,10.0,19.0,0.0,5.1,30.5987
1.0,0.0,10.0,20.0,0.0,5.1,30.5987
1.0,0.0,10.0,21.0,0.0,5.4,30.5987
1.0,0.0,10.0,22.0,0.0,5.0,30.5987
1.0,0.0,10.0,23.0,0.0,6.1,30.5987
1.0,1.0,11.0,0.0,0.0,5.3,30.5987
1.0,1.0,11.0,1.0,0.0,5.7,30.5987
1.0,1.0,11.0,2.0,0.0,5.6,30.5987
1.0,1.0,11.0,3.0,0.0,6.6,30.5987
1.0,1.0,11.0,4.0,0.0,6.3,30.5987
1.0,1.0,11.0,5.0,0.0,6.1,30.5987
1.0,1.0,11.0,6.0,0.0,5.4,30.5987
1.0,1.0,11.0,7.0,0.0,5.6,30.5987
1.0,1.0,11.0,8.0,0.0,5.8,30.5987
1.0,1.0,11.0,9.0,0.0,6.2,30.5987
1.0,1.0,11.0,10.0,0.0,6.0,30.5987
1.0,1.0,11.0,11.0,0.0,6.1,30.5987
1.0,1.0,11.0,12.0,0.0,6.7,30.5987
1.0,1.0,11.0,13.0,0.0,6.7,30.5987
1.0,1.0,11.0,14.0,0.0,6.8,30.5987
1.0,1.0,11.0,15.0,0.0,7.1,30.5987
1.0,1.0,11.0,16.0,0.0,6.4,30.5987
1.0,1.0,11.0,17.0,0.0,6.2,30.5987
1.0,1.0,11.0,18.0,0.0,5.8,30.5987
1.0,1.0,11.0,19.0,0.0,6.1,30.5987
1.0,1.0,11.0,20.0,0.0,5.7,30.5987
