month,weekday,day,hour,holiday,airTemp,value
1.0,5.0,1.0,0.0,1.0,3.8,46.4
1.0,5.0,1.0,1.0,1.0,3.7,93.0
1.0,5.0,1.0,2.0,1.0,2.6,93.8
1.0,5.0,1.0,3.0,1.0,2.0,92.9
1.0,5.0,1.0,4.0,1.0,2.3,93.8
1.0,5.0,1.0,5.0,1.0,2.4,93.7
1.0,5.0,1.0,6.0,1.0,2.3,94.7
1.0,5.0,1.0,7.0,1.0,2.6,94.1
1.0,5.0,1.0,8.0,1.0,2.2,93.9
1.0,5.0,1.0,9.0,1.0,2.2,93.5
1.0,5.0,1.0,10.0,1.0,4.0,93.6
1.0,5.0,1.0,11.0,1.0,5.4,93.6
1.0,5.0,1.0,12.0,1.0,7.0,91.5
1.0,5.0,1.0,13.0,1.0,7.2,91.9
1.0,5.0,1.0,14.0,1.0,7.4,94.6
1.0,5.0,1.0,15.0,1.0,7.5,96.8
1.0,5.0,1.0,16.0,1.0,7.6,98.3
1.0,5.0,1.0,17.0,1.0,8.0,97.9
1.0,5.0,1.0,18.0,1.0,8.1,98.4
1.0,5.0,1.0,19.0,1.0,8.1,96.9
1.0,5.0,1.0,20.0,1.0,8.2,96.8
1.0,5.0,1.0,21.0,1.0,8.5,96.8
1.0,5.0,1.0,22.0,1.0,8.3,95.4
1.0,5.0,1.0,23.0,1.0,7.9,96.4
1.0,6.0,2.0,0.0,0.0,8.1,95.2
1.0,6.0,2.0,1.0,0.0,8.2,95.6
1.0,6.0,2.0,2.0,0.0,8.5,94.6
1.0,6.0,2.0,3.0,0.0,9.1,93.9
1.0,6.0,2.0,4.0,0.0,9.3,93.5
1.0,6.0,2.0,5.0,0.0,9.6,93.9
1.0,6.0,2.0,6.0,0.0,9.7,93.8
1.0,6.0,2.0,7.0,0.0,9.4,93.9
1.0,6.0,2.0,8.0,0.0,9.7,93.8
1.0,6.0,2.0,9.0,0.0,9.9,94.1
1.0,6.0,2.0,10.0,0.0,9.8,95.1
1.0,6.0,2.0,11.0,0.0,9.9,97.4
1.0,6.0,2.0,12.0,0.0,10.1,95.8
1.0,6.0,2.0,13.0,0.0,10.0,95.1
1.0,6.0,2.0,14.0,0.0,10.0,94.5
1.0,6.0,2.0,15.0,0.0,10.2,94.8
1.0,6.0,2.0,16.0,0.0,11.2,95.3
1.0,6.0,2.0,17.0,0.0,10.9,95.4
1.0,6.0,2.0,18.0,0.0,10.9,95.1
1.0,6.0,2.0,19.0,0.0,10.4,93.2
1.0,6.0,2.0,20.0,0.0,10.1,93.8
1.0,6.0,2.0,21.0,0.0,9.9,93.2
1.0,6.0,2.0,22.0,0.0,9.9,94.1
1.0,6.0,2.0,23.0,0.0,10.0,93.2
1.0,0.0,3.0,0.0,0.0,9.7,93.6
1.0,0.0,3.0,1.0,0.0,9.3,93.3
1.0,0.0,3.0,2.0,0.0,8.5,93.8
1.0,0.0,3.0,3.0,0.0,7.7,93.3
1.0,0.0,3.0,4.0,0.0,6.8,93.5
1.0,0.0,3.0,5.0,0.0,6.3,93.1
1.0,0.0,3.0,6.0,0.0,5.2,93.6
1.0,0.0,3.0,7.0,0.0,5.8,92.5
1.0,0.0,3.0,8.0,0.0,6.8,92.7
1.0,0.0,3.0,9.0,0.0,7.9,92.9
1.0,0.0,3.0,10.0,0.0,8.9,93.3
1.0,0.0,3.0,11.0,0.0,9.2,94.1
1.0,0.0,3.0,12.0,0.0,9.1,95.3
1.0,0.0,3.0,13.0,0.0,8.9,95.5
1.0,0.0,3.0,14.0,0.0,8.9,95.1
1.0,0.0,3.0,15.0,0.0,9.6,95.8
1.0,0.0,3.0,16.0,0.0,9.4,94.8
1.0,0.0,3.0,17.0,0.0,8.3,92.2
1.0,0.0,3.0,18.0,0.0,8.2,93.4
1.0,0.0,3.0,19.0,0.0,8.1,93.4
1.0,0.0,3.0,20.0,0.0,7.8,92.0
1.0,0.0,3.0,21.0,0.0,7.4,91.8
1.0,0.0,3.0,22.0,0.0,6.6,93.1
1.0,0.0,3.0,23.0,0.0,6.5,92.3
1.0,1.0,4.0,0.0,0.0,6.0,99.5
1.0,1.0,4.0,1.0,0.0,6.3,93.5
1.0,1.0,4.0,2.0,0.0,6.6,92.4
1.0,1.0,4.0,3.0,0.0,6.1,93.0
1.0,1.0,4.0,4.0,0.0,6.4,93.3
1.0,1.0,4.0,5.0,0.0,5.8,92.7
1.0,1.0,4.0,6.0,0.0,6.4,93.7
1.0,1.0,4.0,7.0,0.0,6.7,96.9
1.0,1.0,4.0,8.0,0.0,7.4,106.7
1.0,1.0,4.0,9.0,0.0,7.7,115.1
1.0,1.0,4.0,10.0,0.0,8.9,136.1
1.0,1.0,4.0,11.0,0.0,9.7,149.3
1.0,1.0,4.0,12.0,0.0,9.8,137.0
1.0,1.0,4.0,13.0,0.0,10.1,133.2
1.0,1.0,4.0,14.0,0.0,10.4,144.5
1.0,1.0,4.0,15.0,0.0,9.8,138.5
1.0,1.0,4.0,16.0,0.0,9.2,135.5
1.0,1.0,4.0,17.0,0.0,8.6,135.8
1.0,1.0,4.0,18.0,0.0,8.2,120.4
1.0,1.0,4.0,19.0,0.0,7.7,113.8
1.0,1.0,4.0,20.0,0.0,7.6,110.0
1.0,1.0,4.0,21.0,0.0,7.9,107.5
1.0,1.0,4.0,22.0,0.0,7.2,105.5
1.0,1.0,4.0,23.0,0.0,7.7,104.4
1.0,2.0,5.0,0.0,0.0,7.4,105.9
1.0,2.0,5.0,1.0,0.0,8.1,104.5
1.0,2.0,5.0,2.0,0.0,8.2,104.3
1.0,2.0,5.0,3.0,0.0,8.3,104.1
1.0,2.0,5.0,4.0,0.0,6.4,105.7
1.0,2.0,5.0,5.0,0.0,6.7,103.4
1.0,2.0,5.0,6.0,0.0,5.7,103.3
1.0,2.0,5.0,7.0,0.0,7.1,107.1
1.0,2.0,5.0,8.0,0.0,6.7,113.3
1.0,2.0,5.0,9.0,0.0,6.7,119.8
1.0,2.0,5.0,10.0,0.0,7.4,137.2
1.0,2.0,5.0,11.0,0.0,8.7,140.1
1.0,2.0,5.0,12.0,0.0,9.3,138.6
1.0,2.0,5.0,13.0,0.0,9.6,137.9
1.0,2.0,5.0,14.0,0.0,9.3,149.4
1.0,2.0,5.0,15.0,0.0,9.4,138.3
1.0,2.0,5.0,16.0,0.0,9.2,145.0
1.0,2.0,5.0,17.0,0.0,8.7,133.2
1.0,2.0,5.0,18.0,0.0,9.0,123.7
1.0,2.0,5.0,19.0,0.0,8.7,116.4
1.0,2.0,5.0,20.0,0.0,8.2,111.4
1.0,2.0,5.0,21.0,0.0,7.5,109.2
1.0,2.0,5.0,22.0,0.0,6.9,109.5
1.0,2.0,5.0,23.0,0.0,6.5,108.0
1.0,3.0,6.0,0.0,0.0,6.4,109.2
1.0,3.0,6.0,1.0,0.0,6.3,107.9
1.0,3.0,6.0,2.0,0.0,6.5,108.2
1.0,3.0,6.0,3.0,0.0,6.4,108.4
1.0,3.0,6.0,4.0,0.0,6.2,107.2
1.0,3.0,6.0,5.0,0.0,5.6,106.8
1.0,3.0,6.0,6.0,0.0,5.6,108.0
1.0,3.0,6.0,7.0,0.0,4.9,111.8
1.0,3.0,6.0,8.0,0.0,5.4,117.2
1.0,3.0,6.0,9.0,0.0,5.6,127.0
1.0,3.0,6.0,10.0,0.0,5.0,131.0
1.0,3.0,6.0,11.0,0.0,5.8,136.9
1.0,3.0,6.0,12.0,0.0,6.9,143.2
1.0,3.0,6.0,13.0,0.0,7.7,154.3
1.0,3.0,6.0,14.0,0.0,7.9,145.9
1.0,3.0,6.0,15.0,0.0,8.1,144.8
1.0,3.0,6.0,16.0,0.0,7.9,139.6
1.0,3.0,6.0,17.0,0.0,7.4,128.3
1.0,3.0,6.0,18.0,0.0,7.1,121.2
1.0,3.0,6.0,19.0,0.0,6.4,116.2
1.0,3.0,6.0,20.0,0.0,5.9,111.1
1.0,3.0,6.0,21.0,0.0,5.7,110.7
1.0,3.0,6.0,22.0,0.0,5.6,109.3
1.0,3.0,6.0,23.0,0.0,5.9,109.0
1.0,4.0,7.0,0.0,0.0,6.7,105.7
1.0,4.0,7.0,1.0,0.0,7.5,111.1
