month,weekday,day,hour,holiday,airTemp,value
1.0,5.0,1.0,0.0,1.0,3.8,46.8
1.0,5.0,1.0,1.0,1.0,3.7,90.4
1.0,5.0,1.0,2.0,1.0,2.6,92.0
1.0,5.0,1.0,3.0,1.0,2.0,91.0
1.0,5.0,1.0,4.0,1.0,2.3,91.8
1.0,5.0,1.0,5.0,1.0,2.4,91.0
1.0,5.0,1.0,6.0,1.0,2.3,89.0
1.0,5.0,1.0,7.0,1.0,2.6,74.0
1.0,5.0,1.0,8.0,1.0,2.2,72.4
1.0,5.0,1.0,9.0,1.0,2.2,73.4
1.0,5.0,1.0,10.0,1.0,4.0,73.8
1.0,5.0,1.0,11.0,1.0,5.4,74.6
1.0,5.0,1.0,12.0,1.0,7.0,75.8
1.0,5.0,1.0,13.0,1.0,7.2,75.8
1.0,5.0,1.0,14.0,1.0,7.4,75.2
1.0,5.0,1.0,15.0,1.0,7.5,75.8
1.0,5.0,1.0,16.0,1.0,7.6,74.8
1.0,5.0,1.0,17.0,1.0,8.0,74.4
1.0,5.0,1.0,18.0,1.0,8.1,75.2
1.0,5.0,1.0,19.0,1.0,8.1,75.2
1.0,5.0,1.0,20.0,1.0,8.2,74.2
1.0,5.0,1.0,21.0,1.0,8.5,73.8
1.0,5.0,1.0,22.0,1.0,8.3,73.6
1.0,5.0,1.0,23.0,1.0,7.9,72.8
1.0,6.0,2.0,0.0,0.0,8.1,101.2
1.0,6.0,2.0,1.0,0.0,8.2,103.0
1.0,6.0,2.0,2.0,0.0,8.5,102.4
1.0,6.0,2.0,3.0,0.0,9.1,104.0
1.0,6.0,2.0,4.0,0.0,9.3,105.6
1.0,6.0,2.0,5.0,0.0,9.6,106.0
1.0,6.0,2.0,6.0,0.0,9.7,105.2
1.0,6.0,2.0,7.0,0.0,9.4,105.2
1.0,6.0,2.0,8.0,0.0,9.7,106.6
1.0,6.0,2.0,9.0,0.0,9.9,105.6
1.0,6.0,2.0,10.0,0.0,9.8,106.4
1.0,6.0,2.0,11.0,0.0,9.9,107.0
1.0,6.0,2.0,12.0,0.0,10.1,107.8
1.0,6.0,2.0,13.0,0.0,10.0,108.4
1.0,6.0,2.0,14.0,0.0,10.0,107.0
1.0,6.0,2.0,15.0,0.0,10.2,108.6
1.0,6.0,2.0,16.0,0.0,11.2,108.2
1.0,6.0,2.0,17.0,0.0,10.9,110.2
1.0,6.0,2.0,18.0,0.0,10.9,109.4
1.0,6.0,2.0,19.0,0.0,10.4,108.0
1.0,6.0,2.0,20.0,0.0,10.1,108.2
1.0,6.0,2.0,21.0,0.0,9.9,106.6
1.0,6.0,2.0,22.0,0.0,9.9,105.2
1.0,6.0,2.0,23.0,0.0,10.0,107.2
1.0,0.0,3.0,0.0,0.0,9.7,104.6
1.0,0.0,3.0,1.0,0.0,9.3,103.8
1.0,0.0,3.0,2.0,0.0,8.5,102.8
1.0,0.0,3.0,3.0,0.0,7.7,101.2
1.0,0.0,3.0,4.0,0.0,6.8,100.2
1.0,0.0,3.0,5.0,0.0,6.3,99.6
1.0,0.0,3.0,6.0,0.0,5.2,91.2
1.0,0.0,3.0,7.0,0.0,5.8,92.2
1.0,0.0,3.0,8.0,0.0,6.8,92.0
1.0,0.0,3.0,9.0,0.0,7.9,93.0
1.0,0.0,3.0,10.0,0.0,8.9,104.0
1.0,0.0,3.0,11.0,0.0,9.2,105.2
1.0,0.0,3.0,12.0,0.0,9.1,105.4
1.0,0.0,3.0,13.0,0.0,8.9,104.4
1.0,0.0,3.0,14.0,0.0,8.9,103.2
1.0,0.0,3.0,15.0,0.0,9.6,104.8
1.0,0.0,3.0,16.0,0.0,9.4,105.8
