month,weekday,day,hour,holiday,airTemp,value
1.0,5.0,1.0,0.0,1.0,3.8,219.2041
1.0,5.0,1.0,1.0,1.0,3.7,438.4082
1.0,5.0,1.0,2.0,1.0,2.6,438.4082
1.0,5.0,1.0,3.0,1.0,2.0,438.4082
1.0,5.0,1.0,4.0,1.0,2.3,438.4082
1.0,5.0,1.0,5.0,1.0,2.4,438.4082
1.0,5.0,1.0,6.0,1.0,2.3,438.4082
1.0,5.0,1.0,7.0,1.0,2.6,438.4082
1.0,5.0,1.0,8.0,1.0,2.2,438.4082
1.0,5.0,1.0,9.0,1.0,2.2,438.4082
1.0,5.0,1.0,10.0,1.0,4.0,438.4082
1.0,5.0,1.0,11.0,1.0,5.4,438.4082
1.0,5.0,1.0,12.0,1.0,7.0,438.4082
1.0,5.0,1.0,13.0,1.0,7.2,438.4082
1.0,5.0,1.0,14.0,1.0,7.4,438.4082
1.0,5.0,1.0,15.0,1.0,7.5,438.4082
1.0,5.0,1.0,16.0,1.0,7.6,438.4082
1.0,5.0,1.0,17.0,1.0,8.0,438.4082
1.0,5.0,1.0,18.0,1.0,8.1,438.4082
1.0,5.0,1.0,19.0,1.0,8.1,438.4082
1.0,5.0,1.0,20.0,1.0,8.2,438.4082
1.0,5.0,1.0,21.0,1.0,8.5,438.4082
1.0,5.0,1.0,22.0,1.0,8.3,438.4082
1.0,5.0,1.0,23.0,1.0,7.9,438.4082
1.0,6.0,2.0,0.0,0.0,8.1,438.7041
1.0,6.0,2.0,1.0,0.0,8.2,439.2041
1.0,6.0,2.0,2.0,0.0,8.5,435.5
1.0,6.0,2.0,3.0,0.0,9.1,436.0
1.0,6.0,2.0,4.0,0.0,9.3,435.5
1.0,6.0,2.0,5.0,0.0,9.6,436.5
1.0,6.0,2.0,6.0,0.0,9.7,434.5
1.0,6.0,2.0,7.0,0.0,9.4,437.0
1.0,6.0,2.0,8.0,0.0,9.7,434.0
1.0,6.0,2.0,9.0,0.0,9.9,435.5
1.0,6.0,2.0,10.0,0.0,9.8,437.0
1.0,6.0,2.0,11.0,0.0,9.9,440.0
1.0,6.0,2.0,12.0,0.0,10.1,452.0
1.0,6.0,2.0,13.0,0.0,10.0,449.0
