month,weekday,day,hour,holiday,airTemp,value
1.0,5.0,1.0,0.0,1.0,3.8,91.2653
1.0,5.0,1.0,1.0,1.0,3.7,182.5306
1.0,5.0,1.0,2.0,1.0,2.6,182.5306
1.0,5.0,1.0,3.0,1.0,2.0,182.5306
1.0,5.0,1.0,4.0,1.0,2.3,182.5306
1.0,5.0,1.0,5.0,1.0,2.4,182.5306
1.0,5.0,1.0,6.0,1.0,2.3,182.5306
1.0,5.0,1.0,7.0,1.0,2.6,182.5306
1.0,5.0,1.0,8.0,1.0,2.2,182.5306
1.0,5.0,1.0,9.0,1.0,2.2,182.5306
1.0,5.0,1.0,10.0,1.0,4.0,182.5306
1.0,5.0,1.0,11.0,1.0,5.4,182.5306
1.0,5.0,1.0,12.0,1.0,7.0,182.5306
1.0,5.0,1.0,13.0,1.0,7.2,182.5306
1.0,5.0,1.0,14.0,1.0,7.4,182.5306
1.0,5.0,1.0,15.0,1.0,7.5,182.5306
1.0,5.0,1.0,16.0,1.0,7.6,182.5306
1.0,5.0,1.0,17.0,1.0,8.0,182.5306
1.0,5.0,1.0,18.0,1.0,8.1,182.5306
1.0,5.0,1.0,19.0,1.0,8.1,182.5306
1.0,5.0,1.0,20.0,1.0,8.2,182.5306
1.0,5.0,1.0,21.0,1.0,8.5,182.5306
1.0,5.0,1.0,22.0,1.0,8.3,182.5306
1.0,5.0,1.0,23.0,1.0,7.9,182.5306
1.0,6.0,2.0,0.0,0.0,8.1,173.2653
1.0,6.0,2.0,1.0,0.0,8.2,168.7653
1.0,6.0,2.0,2.0,0.0,8.5,159.0
1.0,6.0,2.0,3.0,0.0,9.1,154.5
1.0,6.0,2.0,4.0,0.0,9.3,157.0
1.0,6.0,2.0,5.0,0.0,9.6,164.5
1.0,6.0,2.0,6.0,0.0,9.7,162.5
1.0,6.0,2.0,7.0,0.0,9.4,164.0
1.0,6.0,2.0,8.0,0.0,9.7,156.5
1.0,6.0,2.0,9.0,0.0,9.9,162.5
1.0,6.0,2.0,10.0,0.0,9.8,172.5
1.0,6.0,2.0,11.0,0.0,9.9,176.5
1.0,6.0,2.0,12.0,0.0,10.1,181.0
1.0,6.0,2.0,13.0,0.0,10.0,162.5
1.0,6.0,2.0,14.0,0.0,10.0,162.0
1.0,6.0,2.0,15.0,0.0,10.2,154.0
1.0,6.0,2.0,16.0,0.0,11.2,150.0
1.0,6.0,2.0,17.0,0.0,10.9,142.5
1.0,6.0,2.0,18.0,0.0,10.9,147.5
1.0,6.0,2.0,19.0,0.0,10.4,141.5
1.0,6.0,2.0,20.0,0.0,10.1,149.0
1.0,6.0,2.0,21.0,0.0,9.9,151.5
1.0,6.0,2.0,22.0,0.0,9.9,149.5
1.0,6.0,2.0,23.0,0.0,10.0,154.0
1.0,0.0,3.0,0.0,0.0,9.7,157.0
1.0,0.0,3.0,1.0,0.0,9.3,146.0
1.0,0.0,3.0,2.0,0.0,8.5,154.5
1.0,0.0,3.0,3.0,0.0,7.7,156.0
1.0,0.0,3.0,4.0,0.0,6.8,165.0
1.0,0.0,3.0,5.0,0.0,6.3,174.0
1.0,0.0,3.0,6.0,0.0,5.2,178.0
1.0,0.0,3.0,7.0,0.0,5.8,177.0
1.0,0.0,3.0,8.0,0.0,6.8,178.0
1.0,0.0,3.0,9.0,0.0,7.9,167.0
1.0,0.0,3.0,10.0,0.0,8.9,166.0
1.0,0.0,3.0,11.0,0.0,9.2,160.5
1.0,0.0,3.0,12.0,0.0,9.1,163.0
1.0,0.0,3.0,13.0,0.0,8.9,157.5
1.0,0.0,3.0,14.0,0.0,8.9,158.5
1.0,0.0,3.0,15.0,0.0,9.6,158.0
1.0,0.0,3.0,16.0,0.0,9.4,166.5
1.0,0.0,3.0,17.0,0.0,8.3,161.5
1.0,0.0,3.0,18.0,0.0,8.2,160.0
1.0,0.0,3.0,19.0,0.0,8.1,158.5
1.0,0.0,3.0,20.0,0.0,7.8,152.0
1.0,0.0,3.0,21.0,0.0,7.4,155.0
1.0,0.0,3.0,22.0,0.0,6.6,156.0
1.0,0.0,3.0,23.0,0.0,6.5,158.5
1.0,1.0,4.0,0.0,0.0,6.0,161.5
1.0,1.0,4.0,1.0,0.0,6.3,167.5
1.0,1.0,4.0,2.0,0.0,6.6,161.0
1.0,1.0,4.0,3.0,0.0,6.1,161.0
1.0,1.0,4.0,4.0,0.0,6.4,168.0
1.0,1.0,4.0,5.0,0.0,5.8,166.5
1.0,1.0,4.0,6.0,0.0,6.4,161.5
1.0,1.0,4.0,7.0,0.0,6.7,172.5
1.0,1.0,4.0,8.0,0.0,7.4,205.5
1.0,1.0,4.0,9.0,0.0,7.7,211.0
1.0,1.0,4.0,10.0,0.0,8.9,236.0
1.0,1.0,4.0,11.0,0.0,9.7,233.0
1.0,1.0,4.0,12.0,0.0,9.8,239.0
1.0,1.0,4.0,13.0,0.0,10.1,256.5
1.0,1.0,4.0,14.0,0.0,10.4,230.5
1.0,1.0,4.0,15.0,0.0,9.8,242.5
1.0,1.0,4.0,16.0,0.0,9.2,234.0
1.0,1.0,4.0,17.0,0.0,8.6,218.5
1.0,1.0,4.0,18.0,0.0,8.2,195.0
1.0,1.0,4.0,19.0,0.0,7.7,186.5
1.0,1.0,4.0,20.0,0.0,7.6,172.5
1.0,1.0,4.0,21.0,0.0,7.9,170.5
1.0,1.0,4.0,22.0,0.0,7.2,166.5
1.0,1.0,4.0,23.0,0.0,7.7,165.5
1.0,2.0,5.0,0.0,0.0,7.4,156.0
1.0,2.0,5.0,1.0,0.0,8.1,163.0
1.0,2.0,5.0,2.0,0.0,8.2,158.0
1.0,2.0,5.0,3.0,0.0,8.3,159.5
1.0,2.0,5.0,4.0,0.0,6.4,159.5
1.0,2.0,5.0,5.0,0.0,6.7,163.5
1.0,2.0,5.0,6.0,0.0,5.7,157.5
1.0,2.0,5.0,7.0,0.0,7.1,164.5
1.0,2.0,5.0,8.0,0.0,6.7,175.5
