month,weekday,day,hour,holiday,airTemp,value
1.0,5.0,1.0,0.0,1.0,3.8,80.93
1.0,5.0,1.0,1.0,1.0,3.7,166.359
1.0,5.0,1.0,2.0,1.0,2.6,164.868
1.0,5.0,1.0,3.0,1.0,2.0,160.86700000000005
1.0,5.0,1.0,4.0,1.0,2.3,158.851
1.0,5.0,1.0,5.0,1.0,2.4,162.86
1.0,5.0,1.0,6.0,1.0,2.3,155.851
1.0,5.0,1.0,7.0,1.0,2.6,163.852
1.0,5.0,1.0,8.0,1.0,2.2,164.351
1.0,5.0,1.0,9.0,1.0,2.2,165.34400000000005
1.0,5.0,1.0,10.0,1.0,4.0,162.406
1.0,5.0,1.0,11.0,1.0,5.4,170.84400000000005
1.0,5.0,1.0,12.0,1.0,7.0,169.91400000000004
1.0,5.0,1.0,13.0,1.0,7.2,171.899
1.0,5.0,1.0,14.0,1.0,7.4,168.36700000000005
1.0,5.0,1.0,15.0,1.0,7.5,166.398
1.0,5.0,1.0,16.0,1.0,7.6,166.86
1.0,5.0,1.0,17.0,1.0,8.0,172.86700000000005
1.0,5.0,1.0,18.0,1.0,8.1,172.41400000000004
1.0,5.0,1.0,19.0,1.0,8.1,169.86700000000005
1.0,5.0,1.0,20.0,1.0,8.2,175.859
1.0,5.0,1.0,21.0,1.0,8.5,170.875
1.0,5.0,1.0,22.0,1.0,8.3,169.868
1.0,5.0,1.0,23.0,1.0,7.9,159.351
1.0,6.0,2.0,0.0,0.0,8.1,161.649
1.0,6.0,2.0,1.0,0.0,8.2,178.15599999999995
1.0,6.0,2.0,2.0,0.0,8.5,167.86
1.0,6.0,2.0,3.0,0.0,9.1,160.359
1.0,6.0,2.0,4.0,0.0,9.3,174.359
1.0,6.0,2.0,5.0,0.0,9.6,173.36
1.0,6.0,2.0,6.0,0.0,9.7,167.859
1.0,6.0,2.0,7.0,0.0,9.4,176.34400000000005
1.0,6.0,2.0,8.0,0.0,9.7,176.352
1.0,6.0,2.0,9.0,0.0,9.9,169.343
1.0,6.0,2.0,10.0,0.0,9.8,172.83599999999996
1.0,6.0,2.0,11.0,0.0,9.9,165.891
1.0,6.0,2.0,12.0,0.0,10.1,171.859
1.0,6.0,2.0,13.0,0.0,10.0,180.36
1.0,6.0,2.0,14.0,0.0,10.0,175.398
1.0,6.0,2.0,15.0,0.0,10.2,176.90599999999995
1.0,6.0,2.0,16.0,0.0,11.2,178.36
1.0,6.0,2.0,17.0,0.0,10.9,173.343
1.0,6.0,2.0,18.0,0.0,10.9,179.84400000000005
1.0,6.0,2.0,19.0,0.0,10.4,170.399
1.0,6.0,2.0,20.0,0.0,10.1,179.40599999999995
1.0,6.0,2.0,21.0,0.0,9.9,181.484
1.0,6.0,2.0,22.0,0.0,9.9,179.453
1.0,6.0,2.0,23.0,0.0,10.0,167.91400000000004
1.0,0.0,3.0,0.0,0.0,9.7,171.368
1.0,0.0,3.0,1.0,0.0,9.3,176.851
1.0,0.0,3.0,2.0,0.0,8.5,173.352
1.0,0.0,3.0,3.0,0.0,7.7,173.36700000000005
1.0,0.0,3.0,4.0,0.0,6.8,168.86700000000005
1.0,0.0,3.0,5.0,0.0,6.3,172.36700000000005
1.0,0.0,3.0,6.0,0.0,5.2,161.36700000000005
1.0,0.0,3.0,7.0,0.0,5.8,158.86
1.0,0.0,3.0,8.0,0.0,6.8,160.859
1.0,0.0,3.0,9.0,0.0,7.9,158.344
1.0,0.0,3.0,10.0,0.0,8.9,160.844
1.0,0.0,3.0,11.0,0.0,9.2,168.33599999999996
1.0,0.0,3.0,12.0,0.0,9.1,168.851
1.0,0.0,3.0,13.0,0.0,8.9,169.96099999999996
1.0,0.0,3.0,14.0,0.0,8.9,166.0
1.0,0.0,3.0,15.0,0.0,9.6,161.524
1.0,0.0,3.0,16.0,0.0,9.4,169.91400000000004
1.0,0.0,3.0,17.0,0.0,8.3,172.898
