month,weekday,day,hour,holiday,airTemp,value
1.0,5.0,1.0,0.0,1.0,3.8,134.3
1.0,5.0,1.0,1.0,1.0,3.7,267.1
1.0,5.0,1.0,2.0,1.0,2.6,268.7
1.0,5.0,1.0,3.0,1.0,2.0,267.7
1.0,5.0,1.0,4.0,1.0,2.3,267.8
1.0,5.0,1.0,5.0,1.0,2.4,267.3
1.0,5.0,1.0,6.0,1.0,2.3,262.9
1.0,5.0,1.0,7.0,1.0,2.6,269.4
1.0,5.0,1.0,8.0,1.0,2.2,271.9
1.0,5.0,1.0,9.0,1.0,2.2,280.4
1.0,5.0,1.0,10.0,1.0,4.0,276.9
1.0,5.0,1.0,11.0,1.0,5.4,279.2
1.0,5.0,1.0,12.0,1.0,7.0,270.8
1.0,5.0,1.0,13.0,1.0,7.2,274.2
1.0,5.0,1.0,14.0,1.0,7.4,270.2
1.0,5.0,1.0,15.0,1.0,7.5,269.4
1.0,5.0,1.0,16.0,1.0,7.6,267.2
1.0,5.0,1.0,17.0,1.0,8.0,267.9
1.0,5.0,1.0,18.0,1.0,8.1,264.3
1.0,5.0,1.0,19.0,1.0,8.1,262.7
1.0,5.0,1.0,20.0,1.0,8.2,264.0
1.0,5.0,1.0,21.0,1.0,8.5,263.4
1.0,5.0,1.0,22.0,1.0,8.3,258.7
1.0,5.0,1.0,23.0,1.0,7.9,253.5
1.0,6.0,2.0,0.0,0.0,8.1,255.3
1.0,6.0,2.0,1.0,0.0,8.2,254.6
1.0,6.0,2.0,2.0,0.0,8.5,251.0
1.0,6.0,2.0,3.0,0.0,9.1,252.3
1.0,6.0,2.0,4.0,0.0,9.3,247.2
1.0,6.0,2.0,5.0,0.0,9.6,247.0
1.0,6.0,2.0,6.0,0.0,9.7,249.9
1.0,6.0,2.0,7.0,0.0,9.4,250.6
1.0,6.0,2.0,8.0,0.0,9.7,251.0
1.0,6.0,2.0,9.0,0.0,9.9,254.8
1.0,6.0,2.0,10.0,0.0,9.8,251.3
1.0,6.0,2.0,11.0,0.0,9.9,257.8
1.0,6.0,2.0,12.0,0.0,10.1,254.5
1.0,6.0,2.0,13.0,0.0,10.0,248.4
1.0,6.0,2.0,14.0,0.0,10.0,250.4
1.0,6.0,2.0,15.0,0.0,10.2,250.3
1.0,6.0,2.0,16.0,0.0,11.2,256.0
1.0,6.0,2.0,17.0,0.0,10.9,259.7
1.0,6.0,2.0,18.0,0.0,10.9,260.7
1.0,6.0,2.0,19.0,0.0,10.4,255.7
1.0,6.0,2.0,20.0,0.0,10.1,250.2
1.0,6.0,2.0,21.0,0.0,9.9,247.9
1.0,6.0,2.0,22.0,0.0,9.9,238.8
1.0,6.0,2.0,23.0,0.0,10.0,240.8
1.0,0.0,3.0,0.0,0.0,9.7,251.5
1.0,0.0,3.0,1.0,0.0,9.3,243.2
1.0,0.0,3.0,2.0,0.0,8.5,243.3
1.0,0.0,3.0,3.0,0.0,7.7,251.3
1.0,0.0,3.0,4.0,0.0,6.8,254.3
1.0,0.0,3.0,5.0,0.0,6.3,260.2
1.0,0.0,3.0,6.0,0.0,5.2,264.5
1.0,0.0,3.0,7.0,0.0,5.8,263.2
1.0,0.0,3.0,8.0,0.0,6.8,263.2
1.0,0.0,3.0,9.0,0.0,7.9,266.2
1.0,0.0,3.0,10.0,0.0,8.9,261.3
1.0,0.0,3.0,11.0,0.0,9.2,258.1
1.0,0.0,3.0,12.0,0.0,9.1,257.8
1.0,0.0,3.0,13.0,0.0,8.9,260.3
1.0,0.0,3.0,14.0,0.0,8.9,257.6
1.0,0.0,3.0,15.0,0.0,9.6,259.3
1.0,0.0,3.0,16.0,0.0,9.4,263.1
1.0,0.0,3.0,17.0,0.0,8.3,258.7
1.0,0.0,3.0,18.0,0.0,8.2,266.4
1.0,0.0,3.0,19.0,0.0,8.1,269.3
1.0,0.0,3.0,20.0,0.0,7.8,266.2
1.0,0.0,3.0,21.0,0.0,7.4,255.0
1.0,0.0,3.0,22.0,0.0,6.6,254.8
1.0,0.0,3.0,23.0,0.0,6.5,252.7
1.0,1.0,4.0,0.0,0.0,6.0,248.2
1.0,1.0,4.0,1.0,0.0,6.3,244.1
1.0,1.0,4.0,2.0,0.0,6.6,245.7
1.0,1.0,4.0,3.0,0.0,6.1,251.8
1.0,1.0,4.0,4.0,0.0,6.4,263.2
1.0,1.0,4.0,5.0,0.0,5.8,263.4
1.0,1.0,4.0,6.0,0.0,6.4,260.4
1.0,1.0,4.0,7.0,0.0,6.7,273.2
1.0,1.0,4.0,8.0,0.0,7.4,295.7
1.0,1.0,4.0,9.0,0.0,7.7,306.4
1.0,1.0,4.0,10.0,0.0,8.9,304.6
1.0,1.0,4.0,11.0,0.0,9.7,310.5
1.0,1.0,4.0,12.0,0.0,9.8,326.4
1.0,1.0,4.0,13.0,0.0,10.1,317.1
1.0,1.0,4.0,14.0,0.0,10.4,331.5
1.0,1.0,4.0,15.0,0.0,9.8,319.7
1.0,1.0,4.0,16.0,0.0,9.2,313.7
1.0,1.0,4.0,17.0,0.0,8.6,304.1
1.0,1.0,4.0,18.0,0.0,8.2,292.7
1.0,1.0,4.0,19.0,0.0,7.7,276.0
1.0,1.0,4.0,20.0,0.0,7.6,267.2
1.0,1.0,4.0,21.0,0.0,7.9,255.2
1.0,1.0,4.0,22.0,0.0,7.2,245.1
1.0,1.0,4.0,23.0,0.0,7.7,242.6
1.0,2.0,5.0,0.0,0.0,7.4,243.9
1.0,2.0,5.0,1.0,0.0,8.1,247.5
1.0,2.0,5.0,2.0,0.0,8.2,248.0
1.0,2.0,5.0,3.0,0.0,8.3,249.0
1.0,2.0,5.0,4.0,0.0,6.4,249.2
1.0,2.0,5.0,5.0,0.0,6.7,242.8
1.0,2.0,5.0,6.0,0.0,5.7,242.7
1.0,2.0,5.0,7.0,0.0,7.1,258.0
1.0,2.0,5.0,8.0,0.0,6.7,280.3
1.0,2.0,5.0,9.0,0.0,6.7,308.0
1.0,2.0,5.0,10.0,0.0,7.4,310.2
1.0,2.0,5.0,11.0,0.0,8.7,315.3
1.0,2.0,5.0,12.0,0.0,9.3,340.0
1.0,2.0,5.0,13.0,0.0,9.6,323.7
1.0,2.0,5.0,14.0,0.0,9.3,336.4
1.0,2.0,5.0,15.0,0.0,9.4,323.2
1.0,2.0,5.0,16.0,0.0,9.2,315.7
1.0,2.0,5.0,17.0,0.0,8.7,304.9
1.0,2.0,5.0,18.0,0.0,9.0,289.0
1.0,2.0,5.0,19.0,0.0,8.7,272.2
1.0,2.0,5.0,20.0,0.0,8.2,257.6
1.0,2.0,5.0,21.0,0.0,7.5,249.3
1.0,2.0,5.0,22.0,0.0,6.9,248.1
1.0,2.0,5.0,23.0,0.0,6.5,244.7
1.0,3.0,6.0,0.0,0.0,6.4,253.1
1.0,3.0,6.0,1.0,0.0,6.3,242.5
1.0,3.0,6.0,2.0,0.0,6.5,239.6
1.0,3.0,6.0,3.0,0.0,6.4,240.6
1.0,3.0,6.0,4.0,0.0,6.2,238.9
1.0,3.0,6.0,5.0,0.0,5.6,238.2
1.0,3.0,6.0,6.0,0.0,5.6,245.7
1.0,3.0,6.0,7.0,0.0,4.9,260.6
1.0,3.0,6.0,8.0,0.0,5.4,286.1
1.0,3.0,6.0,9.0,0.0,5.6,312.1
1.0,3.0,6.0,10.0,0.0,5.0,320.2
1.0,3.0,6.0,11.0,0.0,5.8,324.0
1.0,3.0,6.0,12.0,0.0,6.9,349.7
1.0,3.0,6.0,13.0,0.0,7.7,344.6
1.0,3.0,6.0,14.0,0.0,7.9,334.8
1.0,3.0,6.0,15.0,0.0,8.1,347.0
1.0,3.0,6.0,16.0,0.0,7.9,339.2
1.0,3.0,6.0,17.0,0.0,7.4,320.7
1.0,3.0,6.0,18.0,0.0,7.1,305.7
1.0,3.0,6.0,19.0,0.0,6.4,285.3
1.0,3.0,6.0,20.0,0.0,5.9,263.3
1.0,3.0,6.0,21.0,0.0,5.7,258.8
1.0,3.0,6.0,22.0,0.0,5.6,258.6
1.0,3.0,6.0,23.0,0.0,5.9,258.2
1.0,4.0,7.0,0.0,0.0,6.7,262.3
1.0,4.0,7.0,1.0,0.0,7.5,259.3
1.0,4.0,7.0,2.0,0.0,8.0,245.0
1.0,4.0,7.0,3.0,0.0,8.3,244.8
1.0,4.0,7.0,4.0,0.0,7.9,244.5
1.0,4.0,7.0,5.0,0.0,7.4,241.4
1.0,4.0,7.0,6.0,0.0,7.6,242.9
1.0,4.0,7.0,7.0,0.0,7.8,251.0
1.0,4.0,7.0,8.0,0.0,8.4,272.9
1.0,4.0,7.0,9.0,0.0,9.2,288.8
1.0,4.0,7.0,10.0,0.0,10.2,323.2
1.0,4.0,7.0,11.0,0.0,9.7,330.1
1.0,4.0,7.0,12.0,0.0,8.6,335.9
1.0,4.0,7.0,13.0,0.0,7.6,357.4
1.0,4.0,7.0,14.0,0.0,7.9,346.1
1.0,4.0,7.0,15.0,0.0,7.8,345.3
1.0,4.0,7.0,16.0,0.0,7.0,336.4
1.0,4.0,7.0,17.0,0.0,5.9,324.2
1.0,4.0,7.0,18.0,0.0,5.3,317.0
1.0,4.0,7.0,19.0,0.0,5.1,299.3
1.0,4.0,7.0,20.0,0.0,4.8,287.9
1.0,4.0,7.0,21.0,0.0,4.2,288.5
1.0,4.0,7.0,22.0,0.0,4.5,276.4
1.0,4.0,7.0,23.0,0.0,3.0,270.4
1.0,5.0,8.0,0.0,0.0,3.3,265.5
1.0,5.0,8.0,1.0,0.0,3.2,265.4
1.0,5.0,8.0,2.0,0.0,2.6,261.8
1.0,5.0,8.0,3.0,0.0,2.7,263.6
1.0,5.0,8.0,4.0,0.0,1.9,264.4
1.0,5.0,8.0,5.0,0.0,2.4,265.5
1.0,5.0,8.0,6.0,0.0,1.6,272.0
1.0,5.0,8.0,7.0,0.0,4.2,282.5
1.0,5.0,8.0,8.0,0.0,4.4,302.9
1.0,5.0,8.0,9.0,0.0,5.8,336.6
1.0,5.0,8.0,10.0,0.0,6.7,329.2
1.0,5.0,8.0,11.0,0.0,7.7,343.5
1.0,5.0,8.0,12.0,0.0,7.7,368.9
1.0,5.0,8.0,13.0,0.0,8.9,356.1
1.0,5.0,8.0,14.0,0.0,8.8,333.6
