month,weekday,day,hour,holiday,airTemp,value
1.0,5.0,1.0,0.0,1.0,3.8,17.6
1.0,5.0,1.0,1.0,1.0,3.7,38.2
1.0,5.0,1.0,2.0,1.0,2.6,39.4
1.0,5.0,1.0,3.0,1.0,2.0,38.7
1.0,5.0,1.0,4.0,1.0,2.3,39.7
1.0,5.0,1.0,5.0,1.0,2.4,37.6
1.0,5.0,1.0,6.0,1.0,2.3,37.4
1.0,5.0,1.0,7.0,1.0,2.6,37.2
1.0,5.0,1.0,8.0,1.0,2.2,35.7
1.0,5.0,1.0,9.0,1.0,2.2,37.2
1.0,5.0,1.0,10.0,1.0,4.0,38.3
1.0,5.0,1.0,11.0,1.0,5.4,41.9
1.0,5.0,1.0,12.0,1.0,7.0,47.0
1.0,5.0,1.0,13.0,1.0,7.2,47.4
1.0,5.0,1.0,14.0,1.0,7.4,44.5
1.0,5.0,1.0,15.0,1.0,7.5,42.5
1.0,5.0,1.0,16.0,1.0,7.6,42.8
1.0,5.0,1.0,17.0,1.0,8.0,41.3
1.0,5.0,1.0,18.0,1.0,8.1,48.5
1.0,5.0,1.0,19.0,1.0,8.1,48.9
1.0,5.0,1.0,20.0,1.0,8.2,51.4
1.0,5.0,1.0,21.0,1.0,8.5,50.7
1.0,5.0,1.0,22.0,1.0,8.3,48.8
1.0,5.0,1.0,23.0,1.0,7.9,39.0
1.0,6.0,2.0,0.0,0.0,8.1,39.7
1.0,6.0,2.0,1.0,0.0,8.2,39.5
1.0,6.0,2.0,2.0,0.0,8.5,35.5
1.0,6.0,2.0,3.0,0.0,9.1,33.2
1.0,6.0,2.0,4.0,0.0,9.3,32.5
1.0,6.0,2.0,5.0,0.0,9.6,31.4
1.0,6.0,2.0,6.0,0.0,9.7,31.5
1.0,6.0,2.0,7.0,0.0,9.4,33.8
1.0,6.0,2.0,8.0,0.0,9.7,33.6
1.0,6.0,2.0,9.0,0.0,9.9,33.2
1.0,6.0,2.0,10.0,0.0,9.8,35.1
1.0,6.0,2.0,11.0,0.0,9.9,37.9
1.0,6.0,2.0,12.0,0.0,10.1,40.0
1.0,6.0,2.0,13.0,0.0,10.0,40.1
1.0,6.0,2.0,14.0,0.0,10.0,39.2
1.0,6.0,2.0,15.0,0.0,10.2,39.8
1.0,6.0,2.0,16.0,0.0,11.2,40.4
1.0,6.0,2.0,17.0,0.0,10.9,41.6
1.0,6.0,2.0,18.0,0.0,10.9,40.8
1.0,6.0,2.0,19.0,0.0,10.4,42.3
1.0,6.0,2.0,20.0,0.0,10.1,40.4
1.0,6.0,2.0,21.0,0.0,9.9,37.8
1.0,6.0,2.0,22.0,0.0,9.9,38.3
1.0,6.0,2.0,23.0,0.0,10.0,41.6
1.0,0.0,3.0,0.0,0.0,9.7,39.3
1.0,0.0,3.0,1.0,0.0,9.3,38.1
1.0,0.0,3.0,2.0,0.0,8.5,34.6
1.0,0.0,3.0,3.0,0.0,7.7,32.8
1.0,0.0,3.0,4.0,0.0,6.8,32.9
1.0,0.0,3.0,5.0,0.0,6.3,31.9
1.0,0.0,3.0,6.0,0.0,5.2,31.1
1.0,0.0,3.0,7.0,0.0,5.8,31.5
1.0,0.0,3.0,8.0,0.0,6.8,32.3
1.0,0.0,3.0,9.0,0.0,7.9,33.7
1.0,0.0,3.0,10.0,0.0,8.9,34.7
1.0,0.0,3.0,11.0,0.0,9.2,38.5
1.0,0.0,3.0,12.0,0.0,9.1,39.3
1.0,0.0,3.0,13.0,0.0,8.9,41.2
1.0,0.0,3.0,14.0,0.0,8.9,44.3
1.0,0.0,3.0,15.0,0.0,9.6,43.1
1.0,0.0,3.0,16.0,0.0,9.4,40.8
1.0,0.0,3.0,17.0,0.0,8.3,43.9
1.0,0.0,3.0,18.0,0.0,8.2,45.9
1.0,0.0,3.0,19.0,0.0,8.1,45.7
1.0,0.0,3.0,20.0,0.0,7.8,43.2
1.0,0.0,3.0,21.0,0.0,7.4,43.6
1.0,0.0,3.0,22.0,0.0,6.6,41.8
1.0,0.0,3.0,23.0,0.0,6.5,38.3
1.0,1.0,4.0,0.0,0.0,6.0,38.0
1.0,1.0,4.0,1.0,0.0,6.3,34.6
1.0,1.0,4.0,2.0,0.0,6.6,34.1
1.0,1.0,4.0,3.0,0.0,6.1,31.9
1.0,1.0,4.0,4.0,0.0,6.4,31.4
1.0,1.0,4.0,5.0,0.0,5.8,30.8
1.0,1.0,4.0,6.0,0.0,6.4,30.6
