month,weekday,day,hour,holiday,airTemp,value
1.0,5.0,1.0,0.0,1.0,3.8,8.6786
1.0,5.0,1.0,1.0,1.0,3.7,17.3571
1.0,5.0,1.0,2.0,1.0,2.6,17.3571
1.0,5.0,1.0,3.0,1.0,2.0,17.3571
1.0,5.0,1.0,4.0,1.0,2.3,17.3571
1.0,5.0,1.0,5.0,1.0,2.4,17.3571
1.0,5.0,1.0,6.0,1.0,2.3,17.3571
1.0,5.0,1.0,7.0,1.0,2.6,17.3571
1.0,5.0,1.0,8.0,1.0,2.2,17.3571
1.0,5.0,1.0,9.0,1.0,2.2,17.3571
1.0,5.0,1.0,10.0,1.0,4.0,17.3571
1.0,5.0,1.0,11.0,1.0,5.4,17.3571
1.0,5.0,1.0,12.0,1.0,7.0,17.3571
1.0,5.0,1.0,13.0,1.0,7.2,17.3571
1.0,5.0,1.0,14.0,1.0,7.4,17.3571
1.0,5.0,1.0,15.0,1.0,7.5,17.3571
1.0,5.0,1.0,16.0,1.0,7.6,17.3571
1.0,5.0,1.0,17.0,1.0,8.0,17.3571
1.0,5.0,1.0,18.0,1.0,8.1,17.3571
1.0,5.0,1.0,19.0,1.0,8.1,17.3571
1.0,5.0,1.0,20.0,1.0,8.2,17.3571
1.0,5.0,1.0,21.0,1.0,8.5,17.3571
1.0,5.0,1.0,22.0,1.0,8.3,17.3571
1.0,5.0,1.0,23.0,1.0,7.9,17.3571
1.0,6.0,2.0,0.0,0.0,8.1,19.5536
1.0,6.0,2.0,1.0,0.0,8.2,16.9286
1.0,6.0,2.0,2.0,0.0,8.5,15.75
1.0,6.0,2.0,3.0,0.0,9.1,14.875
1.0,6.0,2.0,4.0,0.0,9.3,14.375
1.0,6.0,2.0,5.0,0.0,9.6,14.125
1.0,6.0,2.0,6.0,0.0,9.7,13.25
1.0,6.0,2.0,7.0,0.0,9.4,13.125
1.0,6.0,2.0,8.0,0.0,9.7,13.375
1.0,6.0,2.0,9.0,0.0,9.9,15.5
1.0,6.0,2.0,10.0,0.0,9.8,18.25
1.0,6.0,2.0,11.0,0.0,9.9,19.0
1.0,6.0,2.0,12.0,0.0,10.1,18.375
1.0,6.0,2.0,13.0,0.0,10.0,19.0
1.0,6.0,2.0,14.0,0.0,10.0,20.25
1.0,6.0,2.0,15.0,0.0,10.2,17.75
1.0,6.0,2.0,16.0,0.0,11.2,20.5
1.0,6.0,2.0,17.0,0.0,10.9,22.0
1.0,6.0,2.0,18.0,0.0,10.9,23.625
1.0,6.0,2.0,19.0,0.0,10.4,20.875
1.0,6.0,2.0,20.0,0.0,10.1,19.625
1.0,6.0,2.0,21.0,0.0,9.9,18.875
1.0,6.0,2.0,22.0,0.0,9.9,20.75
1.0,6.0,2.0,23.0,0.0,10.0,19.0
1.0,0.0,3.0,0.0,0.0,9.7,20.5
1.0,0.0,3.0,1.0,0.0,9.3,18.25
1.0,0.0,3.0,2.0,0.0,8.5,16.0
1.0,0.0,3.0,3.0,0.0,7.7,16.0
1.0,0.0,3.0,4.0,0.0,6.8,14.75
1.0,0.0,3.0,5.0,0.0,6.3,14.0
1.0,0.0,3.0,6.0,0.0,5.2,13.875
1.0,0.0,3.0,7.0,0.0,5.8,14.25
1.0,0.0,3.0,8.0,0.0,6.8,14.125
1.0,0.0,3.0,9.0,0.0,7.9,16.125
1.0,0.0,3.0,10.0,0.0,8.9,18.625
1.0,0.0,3.0,11.0,0.0,9.2,17.875
1.0,0.0,3.0,12.0,0.0,9.1,18.625
1.0,0.0,3.0,13.0,0.0,8.9,19.25
1.0,0.0,3.0,14.0,0.0,8.9,20.0
1.0,0.0,3.0,15.0,0.0,9.6,19.75
1.0,0.0,3.0,16.0,0.0,9.4,18.75
1.0,0.0,3.0,17.0,0.0,8.3,20.375
1.0,0.0,3.0,18.0,0.0,8.2,22.0
1.0,0.0,3.0,19.0,0.0,8.1,21.0
1.0,0.0,3.0,20.0,0.0,7.8,26.75
1.0,0.0,3.0,21.0,0.0,7.4,23.625
1.0,0.0,3.0,22.0,0.0,6.6,20.625
1.0,0.0,3.0,23.0,0.0,6.5,20.875
1.0,1.0,4.0,0.0,0.0,6.0,18.0
1.0,1.0,4.0,1.0,0.0,6.3,17.5
1.0,1.0,4.0,2.0,0.0,6.6,16.625
1.0,1.0,4.0,3.0,0.0,6.1,15.875
1.0,1.0,4.0,4.0,0.0,6.4,15.0
1.0,1.0,4.0,5.0,0.0,5.8,14.375
1.0,1.0,4.0,6.0,0.0,6.4,14.0
1.0,1.0,4.0,7.0,0.0,6.7,14.375
1.0,1.0,4.0,8.0,0.0,7.4,15.75
1.0,1.0,4.0,9.0,0.0,7.7,17.875
1.0,1.0,4.0,10.0,0.0,8.9,21.625
1.0,1.0,4.0,11.0,0.0,9.7,21.125
1.0,1.0,4.0,12.0,0.0,9.8,21.125
1.0,1.0,4.0,13.0,0.0,10.1,19.125
1.0,1.0,4.0,14.0,0.0,10.4,19.125
1.0,1.0,4.0,15.0,0.0,9.8,17.5
1.0,1.0,4.0,16.0,0.0,9.2,18.0
1.0,1.0,4.0,17.0,0.0,8.6,18.0
1.0,1.0,4.0,18.0,0.0,8.2,18.625
1.0,1.0,4.0,19.0,0.0,7.7,20.5
1.0,1.0,4.0,20.0,0.0,7.6,24.125
1.0,1.0,4.0,21.0,0.0,7.9,21.25
1.0,1.0,4.0,22.0,0.0,7.2,21.5
1.0,1.0,4.0,23.0,0.0,7.7,20.375
1.0,2.0,5.0,0.0,0.0,7.4,17.375
1.0,2.0,5.0,1.0,0.0,8.1,18.0
1.0,2.0,5.0,2.0,0.0,8.2,16.0
1.0,2.0,5.0,3.0,0.0,8.3,13.875
1.0,2.0,5.0,4.0,0.0,6.4,13.75
1.0,2.0,5.0,5.0,0.0,6.7,14.5
1.0,2.0,5.0,6.0,0.0,5.7,14.375
1.0,2.0,5.0,7.0,0.0,7.1,13.5
1.0,2.0,5.0,8.0,0.0,6.7,14.25
1.0,2.0,5.0,9.0,0.0,6.7,16.5
1.0,2.0,5.0,10.0,0.0,7.4,19.875
1.0,2.0,5.0,11.0,0.0,8.7,18.625
1.0,2.0,5.0,12.0,0.0,9.3,20.5
1.0,2.0,5.0,13.0,0.0,9.6,18.875
1.0,2.0,5.0,14.0,0.0,9.3,19.375
1.0,2.0,5.0,15.0,0.0,9.4,18.75
1.0,2.0,5.0,16.0,0.0,9.2,19.5
1.0,2.0,5.0,17.0,0.0,8.7,18.75
1.0,2.0,5.0,18.0,0.0,9.0,19.125
1.0,2.0,5.0,19.0,0.0,8.7,21.5
1.0,2.0,5.0,20.0,0.0,8.2,22.5
1.0,2.0,5.0,21.0,0.0,7.5,22.375
1.0,2.0,5.0,22.0,0.0,6.9,20.125
1.0,2.0,5.0,23.0,0.0,6.5,18.625
1.0,3.0,6.0,0.0,0.0,6.4,19.5104
1.0,3.0,6.0,1.0,0.0,6.3,22.2708
1.0,3.0,6.0,2.0,0.0,6.5,22.2708
