month,weekday,day,hour,holiday,airTemp,value
1.0,5.0,1.0,0.0,1.0,3.8,14.3
1.0,5.0,1.0,1.0,1.0,3.7,27.3
1.0,5.0,1.0,2.0,1.0,2.6,25.7
1.0,5.0,1.0,3.0,1.0,2.0,22.4
1.0,5.0,1.0,4.0,1.0,2.3,20.1
1.0,5.0,1.0,5.0,1.0,2.4,18.6
1.0,5.0,1.0,6.0,1.0,2.3,17.4
1.0,5.0,1.0,7.0,1.0,2.6,19.5
1.0,5.0,1.0,8.0,1.0,2.2,22.1
1.0,5.0,1.0,9.0,1.0,2.2,26.1
1.0,5.0,1.0,10.0,1.0,4.0,28.7
1.0,5.0,1.0,11.0,1.0,5.4,36.9
1.0,5.0,1.0,12.0,1.0,7.0,41.5
1.0,5.0,1.0,13.0,1.0,7.2,48.0
1.0,5.0,1.0,14.0,1.0,7.4,40.8
1.0,5.0,1.0,15.0,1.0,7.5,38.0
1.0,5.0,1.0,16.0,1.0,7.6,38.7
1.0,5.0,1.0,17.0,1.0,8.0,45.2
1.0,5.0,1.0,18.0,1.0,8.1,55.0
1.0,5.0,1.0,19.0,1.0,8.1,55.4
1.0,5.0,1.0,20.0,1.0,8.2,46.1
1.0,5.0,1.0,21.0,1.0,8.5,40.9
1.0,5.0,1.0,22.0,1.0,8.3,38.1
1.0,5.0,1.0,23.0,1.0,7.9,38.6
1.0,6.0,2.0,0.0,0.0,8.1,33.5
1.0,6.0,2.0,1.0,0.0,8.2,28.2
1.0,6.0,2.0,2.0,0.0,8.5,23.9
1.0,6.0,2.0,3.0,0.0,9.1,20.6
1.0,6.0,2.0,4.0,0.0,9.3,18.4
1.0,6.0,2.0,5.0,0.0,9.6,17.3
1.0,6.0,2.0,6.0,0.0,9.7,17.2
1.0,6.0,2.0,7.0,0.0,9.4,18.7
1.0,6.0,2.0,8.0,0.0,9.7,18.1
1.0,6.0,2.0,9.0,0.0,9.9,24.7
1.0,6.0,2.0,10.0,0.0,9.8,29.8
1.0,6.0,2.0,11.0,0.0,9.9,36.3
1.0,6.0,2.0,12.0,0.0,10.1,36.2
1.0,6.0,2.0,13.0,0.0,10.0,43.8
1.0,6.0,2.0,14.0,0.0,10.0,41.8
1.0,6.0,2.0,15.0,0.0,10.2,39.4
1.0,6.0,2.0,16.0,0.0,11.2,38.1
1.0,6.0,2.0,17.0,0.0,10.9,44.1
1.0,6.0,2.0,18.0,0.0,10.9,46.8
1.0,6.0,2.0,19.0,0.0,10.4,55.1
1.0,6.0,2.0,20.0,0.0,10.1,46.9
1.0,6.0,2.0,21.0,0.0,9.9,40.0
1.0,6.0,2.0,22.0,0.0,9.9,37.2
1.0,6.0,2.0,23.0,0.0,10.0,33.2
1.0,0.0,3.0,0.0,0.0,9.7,32.8
1.0,0.0,3.0,1.0,0.0,9.3,25.8
1.0,0.0,3.0,2.0,0.0,8.5,23.4
1.0,0.0,3.0,3.0,0.0,7.7,19.5
1.0,0.0,3.0,4.0,0.0,6.8,19.1
1.0,0.0,3.0,5.0,0.0,6.3,18.3
1.0,0.0,3.0,6.0,0.0,5.2,18.6
1.0,0.0,3.0,7.0,0.0,5.8,19.6
1.0,0.0,3.0,8.0,0.0,6.8,21.5
1.0,0.0,3.0,9.0,0.0,7.9,29.0
1.0,0.0,3.0,10.0,0.0,8.9,30.7
1.0,0.0,3.0,11.0,0.0,9.2,35.3
1.0,0.0,3.0,12.0,0.0,9.1,39.8
1.0,0.0,3.0,13.0,0.0,8.9,45.4
1.0,0.0,3.0,14.0,0.0,8.9,40.9
1.0,0.0,3.0,15.0,0.0,9.6,40.9
1.0,0.0,3.0,16.0,0.0,9.4,37.4
1.0,0.0,3.0,17.0,0.0,8.3,38.4
1.0,0.0,3.0,18.0,0.0,8.2,44.1
1.0,0.0,3.0,19.0,0.0,8.1,57.7
1.0,0.0,3.0,20.0,0.0,7.8,44.9
1.0,0.0,3.0,21.0,0.0,7.4,40.3
1.0,0.0,3.0,22.0,0.0,6.6,35.8
1.0,0.0,3.0,23.0,0.0,6.5,36.5
1.0,1.0,4.0,0.0,0.0,6.0,32.8
1.0,1.0,4.0,1.0,0.0,6.3,25.9
1.0,1.0,4.0,2.0,0.0,6.6,22.4
1.0,1.0,4.0,3.0,0.0,6.1,20.0
1.0,1.0,4.0,4.0,0.0,6.4,19.0
1.0,1.0,4.0,5.0,0.0,5.8,19.2
1.0,1.0,4.0,6.0,0.0,6.4,18.7
1.0,1.0,4.0,7.0,0.0,6.7,21.3
1.0,1.0,4.0,8.0,0.0,7.4,23.5
1.0,1.0,4.0,9.0,0.0,7.7,27.7
1.0,1.0,4.0,10.0,0.0,8.9,34.2
1.0,1.0,4.0,11.0,0.0,9.7,33.4
1.0,1.0,4.0,12.0,0.0,9.8,37.4
1.0,1.0,4.0,13.0,0.0,10.1,39.5
1.0,1.0,4.0,14.0,0.0,10.4,36.7
1.0,1.0,4.0,15.0,0.0,9.8,31.6
1.0,1.0,4.0,16.0,0.0,9.2,36.1
1.0,1.0,4.0,17.0,0.0,8.6,37.3
1.0,1.0,4.0,18.0,0.0,8.2,49.0
1.0,1.0,4.0,19.0,0.0,7.7,50.8
1.0,1.0,4.0,20.0,0.0,7.6,47.9
1.0,1.0,4.0,21.0,0.0,7.9,44.7
1.0,1.0,4.0,22.0,0.0,7.2,35.1
1.0,1.0,4.0,23.0,0.0,7.7,34.0
1.0,2.0,5.0,0.0,0.0,7.4,30.7
1.0,2.0,5.0,1.0,0.0,8.1,24.2
1.0,2.0,5.0,2.0,0.0,8.2,20.8
1.0,2.0,5.0,3.0,0.0,8.3,18.9
1.0,2.0,5.0,4.0,0.0,6.4,17.2
1.0,2.0,5.0,5.0,0.0,6.7,16.8
1.0,2.0,5.0,6.0,0.0,5.7,15.4
1.0,2.0,5.0,7.0,0.0,7.1,16.5
1.0,2.0,5.0,8.0,0.0,6.7,20.4
1.0,2.0,5.0,9.0,0.0,6.7,24.6
1.0,2.0,5.0,10.0,0.0,7.4,31.6
1.0,2.0,5.0,11.0,0.0,8.7,35.8
1.0,2.0,5.0,12.0,0.0,9.3,35.3
1.0,2.0,5.0,13.0,0.0,9.6,41.6
1.0,2.0,5.0,14.0,0.0,9.3,34.4
1.0,2.0,5.0,15.0,0.0,9.4,30.4
1.0,2.0,5.0,16.0,0.0,9.2,35.8
1.0,2.0,5.0,17.0,0.0,8.7,43.7
1.0,2.0,5.0,18.0,0.0,9.0,48.1
1.0,2.0,5.0,19.0,0.0,8.7,52.5
1.0,2.0,5.0,20.0,0.0,8.2,46.4
1.0,2.0,5.0,21.0,0.0,7.5,40.3
1.0,2.0,5.0,22.0,0.0,6.9,38.5
1.0,2.0,5.0,23.0,0.0,6.5,35.9
1.0,3.0,6.0,0.0,0.0,6.4,30.6
1.0,3.0,6.0,1.0,0.0,6.3,24.4
1.0,3.0,6.0,2.0,0.0,6.5,20.3
1.0,3.0,6.0,3.0,0.0,6.4,17.7
1.0,3.0,6.0,4.0,0.0,6.2,16.4
1.0,3.0,6.0,5.0,0.0,5.6,16.1
1.0,3.0,6.0,6.0,0.0,5.6,15.9
1.0,3.0,6.0,7.0,0.0,4.9,17.2
1.0,3.0,6.0,8.0,0.0,5.4,19.5
1.0,3.0,6.0,9.0,0.0,5.6,27.4
1.0,3.0,6.0,10.0,0.0,5.0,31.5
1.0,3.0,6.0,11.0,0.0,5.8,33.0
1.0,3.0,6.0,12.0,0.0,6.9,38.0
1.0,3.0,6.0,13.0,0.0,7.7,41.9
1.0,3.0,6.0,14.0,0.0,7.9,39.6
1.0,3.0,6.0,15.0,0.0,8.1,37.9
1.0,3.0,6.0,16.0,0.0,7.9,38.4
1.0,3.0,6.0,17.0,0.0,7.4,41.9
1.0,3.0,6.0,18.0,0.0,7.1,43.9
1.0,3.0,6.0,19.0,0.0,6.4,50.4
1.0,3.0,6.0,20.0,0.0,5.9,51.3
1.0,3.0,6.0,21.0,0.0,5.7,42.4
1.0,3.0,6.0,22.0,0.0,5.6,41.2
1.0,3.0,6.0,23.0,0.0,5.9,34.5
1.0,4.0,7.0,0.0,0.0,6.7,32.6
1.0,4.0,7.0,1.0,0.0,7.5,25.4
1.0,4.0,7.0,2.0,0.0,8.0,20.8
1.0,4.0,7.0,3.0,0.0,8.3,19.2
1.0,4.0,7.0,4.0,0.0,7.9,18.4
1.0,4.0,7.0,5.0,0.0,7.4,18.1
1.0,4.0,7.0,6.0,0.0,7.6,17.7
1.0,4.0,7.0,7.0,0.0,7.8,19.5
1.0,4.0,7.0,8.0,0.0,8.4,22.9
1.0,4.0,7.0,9.0,0.0,9.2,30.7
1.0,4.0,7.0,10.0,0.0,10.2,35.4
1.0,4.0,7.0,11.0,0.0,9.7,35.4
1.0,4.0,7.0,12.0,0.0,8.6,45.6
1.0,4.0,7.0,13.0,0.0,7.6,44.4
1.0,4.0,7.0,14.0,0.0,7.9,41.4
1.0,4.0,7.0,15.0,0.0,7.8,37.5
1.0,4.0,7.0,16.0,0.0,7.0,35.8
1.0,4.0,7.0,17.0,0.0,5.9,40.6
1.0,4.0,7.0,18.0,0.0,5.3,47.9
1.0,4.0,7.0,19.0,0.0,5.1,54.9
1.0,4.0,7.0,20.0,0.0,4.8,48.4
1.0,4.0,7.0,21.0,0.0,4.2,43.9
1.0,4.0,7.0,22.0,0.0,4.5,39.2
1.0,4.0,7.0,23.0,0.0,3.0,38.6
1.0,5.0,8.0,0.0,0.0,3.3,33.4
1.0,5.0,8.0,1.0,0.0,3.2,28.0
1.0,5.0,8.0,2.0,0.0,2.6,23.9
1.0,5.0,8.0,3.0,0.0,2.7,20.4
1.0,5.0,8.0,4.0,0.0,1.9,19.8
1.0,5.0,8.0,5.0,0.0,2.4,19.6
1.0,5.0,8.0,6.0,0.0,1.6,19.2
1.0,5.0,8.0,7.0,0.0,4.2,20.1
1.0,5.0,8.0,8.0,0.0,4.4,24.6
1.0,5.0,8.0,9.0,0.0,5.8,32.3
1.0,5.0,8.0,10.0,0.0,6.7,37.8
1.0,5.0,8.0,11.0,0.0,7.7,36.3
1.0,5.0,8.0,12.0,0.0,7.7,38.5
1.0,5.0,8.0,13.0,0.0,8.9,34.9
1.0,5.0,8.0,14.0,0.0,8.8,40.5
1.0,5.0,8.0,15.0,0.0,8.4,40.1
1.0,5.0,8.0,16.0,0.0,7.8,36.5
1.0,5.0,8.0,17.0,0.0,7.8,43.4
1.0,5.0,8.0,18.0,0.0,8.0,51.8
1.0,5.0,8.0,19.0,0.0,7.3,57.7
1.0,5.0,8.0,20.0,0.0,7.3,45.5
1.0,5.0,8.0,21.0,0.0,7.4,43.4
1.0,5.0,8.0,22.0,0.0,7.0,38.4
1.0,5.0,8.0,23.0,0.0,7.1,37.0
1.0,6.0,9.0,0.0,0.0,7.2,33.4
1.0,6.0,9.0,1.0,0.0,7.5,29.4
1.0,6.0,9.0,2.0,0.0,8.0,23.9
1.0,6.0,9.0,3.0,0.0,7.6,21.7
1.0,6.0,9.0,4.0,0.0,7.8,18.4
1.0,6.0,9.0,5.0,0.0,6.6,18.3
1.0,6.0,9.0,6.0,0.0,6.0,18.6
1.0,6.0,9.0,7.0,0.0,7.6,19.5
1.0,6.0,9.0,8.0,0.0,8.6,23.1
1.0,6.0,9.0,9.0,0.0,9.0,28.8
1.0,6.0,9.0,10.0,0.0,9.7,34.8
1.0,6.0,9.0,11.0,0.0,10.6,34.6
1.0,6.0,9.0,12.0,0.0,10.7,37.1
1.0,6.0,9.0,13.0,0.0,10.4,40.7
1.0,6.0,9.0,14.0,0.0,10.9,43.2
1.0,6.0,9.0,15.0,0.0,10.8,41.1
1.0,6.0,9.0,16.0,0.0,10.6,36.1
1.0,6.0,9.0,17.0,0.0,9.9,42.4
1.0,6.0,9.0,18.0,0.0,9.9,51.6
1.0,6.0,9.0,19.0,0.0,9.8,53.3
1.0,6.0,9.0,20.0,0.0,10.2,48.2
1.0,6.0,9.0,21.0,0.0,6.9,44.1
1.0,6.0,9.0,22.0,0.0,7.0,44.2
1.0,6.0,9.0,23.0,0.0,6.5,38.1
1.0,0.0,10.0,0.0,0.0,6.8,35.6
1.0,0.0,10.0,1.0,0.0,6.2,29.6
1.0,0.0,10.0,2.0,0.0,6.3,23.6
1.0,0.0,10.0,3.0,0.0,5.4,20.6
1.0,0.0,10.0,4.0,0.0,5.6,19.4
1.0,0.0,10.0,5.0,0.0,5.5,18.5
1.0,0.0,10.0,6.0,0.0,6.3,17.6
1.0,0.0,10.0,7.0,0.0,6.3,20.4
1.0,0.0,10.0,8.0,0.0,5.6,26.3
1.0,0.0,10.0,9.0,0.0,5.6,33.6
1.0,0.0,10.0,10.0,0.0,6.2,35.8
1.0,0.0,10.0,11.0,0.0,7.0,35.7
1.0,0.0,10.0,12.0,0.0,7.8,39.4
1.0,0.0,10.0,13.0,0.0,8.7,43.5
1.0,0.0,10.0,14.0,0.0,7.9,38.1
1.0,0.0,10.0,15.0,0.0,7.5,38.0
1.0,0.0,10.0,16.0,0.0,6.7,37.4
1.0,0.0,10.0,17.0,0.0,6.1,43.9
1.0,0.0,10.0,18.0,0.0,5.2,57.6
1.0,0.0,10.0,19.0,0.0,5.1,53.2
1.0,0.0,10.0,20.0,0.0,5.1,54.2
1.0,0.0,10.0,21.0,0.0,5.4,47.2
1.0,0.0,10.0,22.0,0.0,5.0,44.6
