month,weekday,day,hour,holiday,airTemp,value
1.0,5.0,1.0,0.0,1.0,3.8,17.7
1.0,5.0,1.0,1.0,1.0,3.7,37.1
1.0,5.0,1.0,2.0,1.0,2.6,37.8
1.0,5.0,1.0,3.0,1.0,2.0,35.1
1.0,5.0,1.0,4.0,1.0,2.3,27.5
1.0,5.0,1.0,5.0,1.0,2.4,25.2
1.0,5.0,1.0,6.0,1.0,2.3,24.3
1.0,5.0,1.0,7.0,1.0,2.6,25.7
1.0,5.0,1.0,8.0,1.0,2.2,26.9
1.0,5.0,1.0,9.0,1.0,2.2,28.3
1.0,5.0,1.0,10.0,1.0,4.0,34.4
1.0,5.0,1.0,11.0,1.0,5.4,36.6
1.0,5.0,1.0,12.0,1.0,7.0,38.8
1.0,5.0,1.0,13.0,1.0,7.2,38.5
1.0,5.0,1.0,14.0,1.0,7.4,37.5
1.0,5.0,1.0,15.0,1.0,7.5,44.2
1.0,5.0,1.0,16.0,1.0,7.6,42.7
1.0,5.0,1.0,17.0,1.0,8.0,40.2
1.0,5.0,1.0,18.0,1.0,8.1,43.7
1.0,5.0,1.0,19.0,1.0,8.1,40.5
1.0,5.0,1.0,20.0,1.0,8.2,44.0
1.0,5.0,1.0,21.0,1.0,8.5,42.2
1.0,5.0,1.0,22.0,1.0,8.3,37.7
1.0,5.0,1.0,23.0,1.0,7.9,36.6
1.0,6.0,2.0,0.0,0.0,8.1,36.0
1.0,6.0,2.0,1.0,0.0,8.2,30.2
1.0,6.0,2.0,2.0,0.0,8.5,27.0
1.0,6.0,2.0,3.0,0.0,9.1,25.9
1.0,6.0,2.0,4.0,0.0,9.3,25.9
1.0,6.0,2.0,5.0,0.0,9.6,24.6
1.0,6.0,2.0,6.0,0.0,9.7,25.3
1.0,6.0,2.0,7.0,0.0,9.4,27.3
1.0,6.0,2.0,8.0,0.0,9.7,28.5
1.0,6.0,2.0,9.0,0.0,9.9,29.3
1.0,6.0,2.0,10.0,0.0,9.8,32.7
1.0,6.0,2.0,11.0,0.0,9.9,36.3
1.0,6.0,2.0,12.0,0.0,10.1,34.7
1.0,6.0,2.0,13.0,0.0,10.0,37.5
1.0,6.0,2.0,14.0,0.0,10.0,42.6
1.0,6.0,2.0,15.0,0.0,10.2,42.5
1.0,6.0,2.0,16.0,0.0,11.2,37.3
1.0,6.0,2.0,17.0,0.0,10.9,35.8
