month,weekday,day,hour,holiday,airTemp,value
1.0,5.0,1.0,0.0,1.0,3.8,28.0638
1.0,5.0,1.0,1.0,1.0,3.7,56.1276
1.0,5.0,1.0,2.0,1.0,2.6,56.1276
1.0,5.0,1.0,3.0,1.0,2.0,56.1276
1.0,5.0,1.0,4.0,1.0,2.3,56.1276
1.0,5.0,1.0,5.0,1.0,2.4,56.1276
1.0,5.0,1.0,6.0,1.0,2.3,56.1276
1.0,5.0,1.0,7.0,1.0,2.6,56.1276
1.0,5.0,1.0,8.0,1.0,2.2,56.1276
1.0,5.0,1.0,9.0,1.0,2.2,56.1276
1.0,5.0,1.0,10.0,1.0,4.0,56.1276
1.0,5.0,1.0,11.0,1.0,5.4,56.1276
1.0,5.0,1.0,12.0,1.0,7.0,56.1276
1.0,5.0,1.0,13.0,1.0,7.2,56.1276
1.0,5.0,1.0,14.0,1.0,7.4,56.1276
1.0,5.0,1.0,15.0,1.0,7.5,56.1276
1.0,5.0,1.0,16.0,1.0,7.6,56.1276
1.0,5.0,1.0,17.0,1.0,8.0,56.1276
1.0,5.0,1.0,18.0,1.0,8.1,56.1276
1.0,5.0,1.0,19.0,1.0,8.1,56.1276
1.0,5.0,1.0,20.0,1.0,8.2,56.1276
1.0,5.0,1.0,21.0,1.0,8.5,56.1276
1.0,5.0,1.0,22.0,1.0,8.3,56.1276
1.0,5.0,1.0,23.0,1.0,7.9,56.1276
1.0,6.0,2.0,0.0,0.0,8.1,51.4388
1.0,6.0,2.0,1.0,0.0,8.2,55.3138
1.0,6.0,2.0,2.0,0.0,8.5,54.625
1.0,6.0,2.0,3.0,0.0,9.1,50.25
1.0,6.0,2.0,4.0,0.0,9.3,58.0
1.0,6.0,2.0,5.0,0.0,9.6,55.875
1.0,6.0,2.0,6.0,0.0,9.7,59.0
1.0,6.0,2.0,7.0,0.0,9.4,57.375
1.0,6.0,2.0,8.0,0.0,9.7,60.0
1.0,6.0,2.0,9.0,0.0,9.9,59.625
1.0,6.0,2.0,10.0,0.0,9.8,58.0
1.0,6.0,2.0,11.0,0.0,9.9,54.125
1.0,6.0,2.0,12.0,0.0,10.1,49.875
1.0,6.0,2.0,13.0,0.0,10.0,51.5
1.0,6.0,2.0,14.0,0.0,10.0,51.875
1.0,6.0,2.0,15.0,0.0,10.2,50.0
1.0,6.0,2.0,16.0,0.0,11.2,52.875
1.0,6.0,2.0,17.0,0.0,10.9,51.375
1.0,6.0,2.0,18.0,0.0,10.9,50.875
1.0,6.0,2.0,19.0,0.0,10.4,48.0
1.0,6.0,2.0,20.0,0.0,10.1,45.375
1.0,6.0,2.0,21.0,0.0,9.9,46.0
1.0,6.0,2.0,22.0,0.0,9.9,50.0
1.0,6.0,2.0,23.0,0.0,10.0,50.75
1.0,0.0,3.0,0.0,0.0,9.7,47.375
1.0,0.0,3.0,1.0,0.0,9.3,46.125
1.0,0.0,3.0,2.0,0.0,8.5,46.0
1.0,0.0,3.0,3.0,0.0,7.7,45.625
1.0,0.0,3.0,4.0,0.0,6.8,46.5
1.0,0.0,3.0,5.0,0.0,6.3,44.75
1.0,0.0,3.0,6.0,0.0,5.2,48.5
1.0,0.0,3.0,7.0,0.0,5.8,47.375
1.0,0.0,3.0,8.0,0.0,6.8,46.375
1.0,0.0,3.0,9.0,0.0,7.9,48.0
1.0,0.0,3.0,10.0,0.0,8.9,46.875
1.0,0.0,3.0,11.0,0.0,9.2,45.25
1.0,0.0,3.0,12.0,0.0,9.1,46.25
1.0,0.0,3.0,13.0,0.0,8.9,52.125
1.0,0.0,3.0,14.0,0.0,8.9,52.25
1.0,0.0,3.0,15.0,0.0,9.6,52.75
1.0,0.0,3.0,16.0,0.0,9.4,50.625
1.0,0.0,3.0,17.0,0.0,8.3,49.5
1.0,0.0,3.0,18.0,0.0,8.2,49.375
1.0,0.0,3.0,19.0,0.0,8.1,47.375
1.0,0.0,3.0,20.0,0.0,7.8,48.875
1.0,0.0,3.0,21.0,0.0,7.4,49.5
1.0,0.0,3.0,22.0,0.0,6.6,49.375
1.0,0.0,3.0,23.0,0.0,6.5,47.875
1.0,1.0,4.0,0.0,0.0,6.0,46.5
1.0,1.0,4.0,1.0,0.0,6.3,47.875
1.0,1.0,4.0,2.0,0.0,6.6,47.75
1.0,1.0,4.0,3.0,0.0,6.1,44.625
1.0,1.0,4.0,4.0,0.0,6.4,46.0
1.0,1.0,4.0,5.0,0.0,5.8,50.0
1.0,1.0,4.0,6.0,0.0,6.4,55.25
1.0,1.0,4.0,7.0,0.0,6.7,58.25
1.0,1.0,4.0,8.0,0.0,7.4,62.25
1.0,1.0,4.0,9.0,0.0,7.7,66.25
