month,weekday,day,hour,holiday,airTemp,value
1,5,1,0,1,3.8,219.4
1,5,1,1,1,3.7,219.4
1,5,1,2,1,2.6,221.6
1,5,1,3,1,2,221.8
1,5,1,4,1,2.3,229.4
1,5,1,5,1,2.4,239.4
1,5,1,6,1,2.3,234.5
1,5,1,7,1,2.6,230.2
1,5,1,8,1,2.2,232.9
1,5,1,9,1,2.2,233.3
1,5,1,10,1,4,250.4
1,5,1,11,1,5.4,247.3
1,5,1,12,1,7,234.7
1,5,1,13,1,7.2,234.3
1,5,1,14,1,7.4,226.9
1,5,1,15,1,7.5,224.7
1,5,1,16,1,7.6,229.7
1,5,1,17,1,8,228.8
1,5,1,18,1,8.1,218.6
1,5,1,19,1,8.1,228
1,5,1,20,1,8.2,222.8
1,5,1,21,1,8.5,224.4
1,5,1,22,1,8.3,223.4
1,5,1,23,1,7.9,224.6
1,6,2,0,0,8.1,222.4
1,6,2,1,0,8.2,218.7
1,6,2,2,0,8.5,221.4
1,6,2,3,0,9.1,217.5
1,6,2,4,0,9.3,214.5
1,6,2,5,0,9.6,216
1,6,2,6,0,9.7,213.2
1,6,2,7,0,9.4,208.3
1,6,2,8,0,9.7,217.1
1,6,2,9,0,9.9,217.7
1,6,2,10,0,9.8,220.9
1,6,2,11,0,9.9,218.5
1,6,2,12,0,10.1,215
1,6,2,13,0,10,214.4
1,6,2,14,0,10,215.9
1,6,2,15,0,10.2,216.5
1,6,2,16,0,11.2,212
1,6,2,17,0,10.9,220.5
1,6,2,18,0,10.9,217
1,6,2,19,0,10.4,215.1
1,6,2,20,0,10.1,217.4
1,6,2,21,0,9.9,216.2
1,6,2,22,0,9.9,213.1
1,6,2,23,0,10,225
1,0,3,0,0,9.7,217.9
1,0,3,1,0,9.3,218.6
1,0,3,2,0,8.5,223.1
1,0,3,3,0,7.7,224.7
1,0,3,4,0,6.8,221.9
1,0,3,5,0,6.3,226.7
1,0,3,6,0,5.2,231.8
1,0,3,7,0,5.8,217.7
1,0,3,8,0,6.8,220.9
1,0,3,9,0,7.9,216.6
1,0,3,10,0,8.9,216.9
1,0,3,11,0,9.2,218.8
1,0,3,12,0,9.1,219.4
1,0,3,13,0,8.9,217.4
1,0,3,14,0,8.9,210.9
1,0,3,15,0,9.6,218.6
1,0,3,16,0,9.4,223.4
1,0,3,17,0,8.3,222.7
1,0,3,18,0,8.2,222.3
1,0,3,19,0,8.1,223
1,0,3,20,0,7.8,223.2
1,0,3,21,0,7.4,225
1,0,3,22,0,6.6,223.1
1,0,3,23,0,6.5,218.7
1,1,4,0,0,6,212.1
1,1,4,1,0,6.3,215.3
1,1,4,2,0,6.6,214.6
1,1,4,3,0,6.1,213.6
1,1,4,4,0,6.4,215.3
1,1,4,5,0,5.8,222.4
1,1,4,6,0,6.4,237.1
1,1,4,7,0,6.7,241
1,1,4,8,0,7.4,260.7
1,1,4,9,0,7.7,266.6
1,1,4,10,0,8.9,286.2
1,1,4,11,0,9.7,290.4
1,1,4,12,0,9.8,284.5
1,1,4,13,0,10.1,283.8
1,1,4,14,0,10.4,278.1
1,1,4,15,0,9.8,285.6
1,1,4,16,0,9.2,279.4
1,1,4,17,0,8.6,268.2
1,1,4,18,0,8.2,241.6
1,1,4,19,0,7.7,223.2
1,1,4,20,0,7.6,220.8
1,1,4,21,0,7.9,217.2
1,1,4,22,0,7.2,217.2
1,1,4,23,0,7.7,213.4
1,2,5,0,0,7.4,204.9
1,2,5,1,0,8.1,209.4
1,2,5,2,0,8.2,218.2
1,2,5,3,0,8.3,218
1,2,5,4,0,6.4,218.6
1,2,5,5,0,6.7,222.9
1,2,5,6,0,5.7,236.7
1,2,5,7,0,7.1,237.2
1,2,5,8,0,6.7,246.2
1,2,5,9,0,6.7,257.9
1,2,5,10,0,7.4,280.3
1,2,5,11,0,8.7,287.1
1,2,5,12,0,9.3,303.1
1,2,5,13,0,9.6,294.5
1,2,5,14,0,9.3,289.7
1,2,5,15,0,9.4,296.8
1,2,5,16,0,9.2,276.8
1,2,5,17,0,8.7,264.5
1,2,5,18,0,9,240.3
1,2,5,19,0,8.7,221.2
1,2,5,20,0,8.2,214.8
1,2,5,21,0,7.5,206.9
1,2,5,22,0,6.9,205.5
1,2,5,23,0,6.5,201.8
1,3,6,0,0,6.4,211.3
1,3,6,1,0,6.3,202.4
1,3,6,2,0,6.5,205.8
1,3,6,3,0,6.4,205.3
