month,weekday,day,hour,holiday,airTemp,value
1.0,5.0,1.0,0.0,1.0,3.8,8.0204
1.0,5.0,1.0,1.0,1.0,3.7,16.0408
1.0,5.0,1.0,2.0,1.0,2.6,16.0408
1.0,5.0,1.0,3.0,1.0,2.0,16.0408
1.0,5.0,1.0,4.0,1.0,2.3,16.0408
1.0,5.0,1.0,5.0,1.0,2.4,16.0408
1.0,5.0,1.0,6.0,1.0,2.3,16.0408
1.0,5.0,1.0,7.0,1.0,2.6,16.0408
1.0,5.0,1.0,8.0,1.0,2.2,16.0408
1.0,5.0,1.0,9.0,1.0,2.2,16.0408
1.0,5.0,1.0,10.0,1.0,4.0,16.0408
1.0,5.0,1.0,11.0,1.0,5.4,16.0408
1.0,5.0,1.0,12.0,1.0,7.0,16.0408
1.0,5.0,1.0,13.0,1.0,7.2,16.0408
1.0,5.0,1.0,14.0,1.0,7.4,16.0408
1.0,5.0,1.0,15.0,1.0,7.5,16.0408
1.0,5.0,1.0,16.0,1.0,7.6,16.0408
1.0,5.0,1.0,17.0,1.0,8.0,16.0408
1.0,5.0,1.0,18.0,1.0,8.1,16.0408
1.0,5.0,1.0,19.0,1.0,8.1,16.0408
1.0,5.0,1.0,20.0,1.0,8.2,16.0408
1.0,5.0,1.0,21.0,1.0,8.5,16.0408
1.0,5.0,1.0,22.0,1.0,8.3,16.0408
1.0,5.0,1.0,23.0,1.0,7.9,16.0408
1.0,6.0,2.0,0.0,0.0,8.1,16.0204
1.0,6.0,2.0,1.0,0.0,8.2,15.7704
1.0,6.0,2.0,2.0,0.0,8.5,15.25
1.0,6.0,2.0,3.0,0.0,9.1,15.25
1.0,6.0,2.0,4.0,0.0,9.3,15.5
1.0,6.0,2.0,5.0,0.0,9.6,16.0
1.0,6.0,2.0,6.0,0.0,9.7,15.75
1.0,6.0,2.0,7.0,0.0,9.4,16.0
1.0,6.0,2.0,8.0,0.0,9.7,15.75
1.0,6.0,2.0,9.0,0.0,9.9,15.25
1.0,6.0,2.0,10.0,0.0,9.8,16.0
1.0,6.0,2.0,11.0,0.0,9.9,16.25
1.0,6.0,2.0,12.0,0.0,10.1,15.75
1.0,6.0,2.0,13.0,0.0,10.0,16.5
1.0,6.0,2.0,14.0,0.0,10.0,15.75
1.0,6.0,2.0,15.0,0.0,10.2,15.75
1.0,6.0,2.0,16.0,0.0,11.2,15.5
1.0,6.0,2.0,17.0,0.0,10.9,15.75
1.0,6.0,2.0,18.0,0.0,10.9,16.0
1.0,6.0,2.0,19.0,0.0,10.4,16.5
1.0,6.0,2.0,20.0,0.0,10.1,15.75
1.0,6.0,2.0,21.0,0.0,9.9,15.5
1.0,6.0,2.0,22.0,0.0,9.9,15.5
1.0,6.0,2.0,23.0,0.0,10.0,16.0
1.0,0.0,3.0,0.0,0.0,9.7,15.5
1.0,0.0,3.0,1.0,0.0,9.3,16.0
1.0,0.0,3.0,2.0,0.0,8.5,15.75
1.0,0.0,3.0,3.0,0.0,7.7,15.5
1.0,0.0,3.0,4.0,0.0,6.8,15.25
1.0,0.0,3.0,5.0,0.0,6.3,15.5
1.0,0.0,3.0,6.0,0.0,5.2,15.5
1.0,0.0,3.0,7.0,0.0,5.8,15.0
1.0,0.0,3.0,8.0,0.0,6.8,15.25
1.0,0.0,3.0,9.0,0.0,7.9,15.0
1.0,0.0,3.0,10.0,0.0,8.9,15.0
1.0,0.0,3.0,11.0,0.0,9.2,15.5
1.0,0.0,3.0,12.0,0.0,9.1,15.75
1.0,0.0,3.0,13.0,0.0,8.9,16.5
1.0,0.0,3.0,14.0,0.0,8.9,15.75
1.0,0.0,3.0,15.0,0.0,9.6,16.0
1.0,0.0,3.0,16.0,0.0,9.4,15.25
1.0,0.0,3.0,17.0,0.0,8.3,16.0
1.0,0.0,3.0,18.0,0.0,8.2,15.5
1.0,0.0,3.0,19.0,0.0,8.1,15.75
1.0,0.0,3.0,20.0,0.0,7.8,15.5
1.0,0.0,3.0,21.0,0.0,7.4,15.5
1.0,0.0,3.0,22.0,0.0,6.6,15.0
1.0,0.0,3.0,23.0,0.0,6.5,15.25
1.0,1.0,4.0,0.0,0.0,6.0,17.25
1.0,1.0,4.0,1.0,0.0,6.3,15.25
1.0,1.0,4.0,2.0,0.0,6.6,14.75
1.0,1.0,4.0,3.0,0.0,6.1,15.25
1.0,1.0,4.0,4.0,0.0,6.4,15.25
1.0,1.0,4.0,5.0,0.0,5.8,15.25
1.0,1.0,4.0,6.0,0.0,6.4,18.5
1.0,1.0,4.0,7.0,0.0,6.7,22.5
1.0,1.0,4.0,8.0,0.0,7.4,23.25
1.0,1.0,4.0,9.0,0.0,7.7,25.75
1.0,1.0,4.0,10.0,0.0,8.9,27.25
1.0,1.0,4.0,11.0,0.0,9.7,29.25
1.0,1.0,4.0,12.0,0.0,9.8,34.0
1.0,1.0,4.0,13.0,0.0,10.1,30.5
1.0,1.0,4.0,14.0,0.0,10.4,30.5
1.0,1.0,4.0,15.0,0.0,9.8,32.75
1.0,1.0,4.0,16.0,0.0,9.2,32.25
1.0,1.0,4.0,17.0,0.0,8.6,28.75
1.0,1.0,4.0,18.0,0.0,8.2,25.5
1.0,1.0,4.0,19.0,0.0,7.7,21.5
1.0,1.0,4.0,20.0,0.0,7.6,18.5
1.0,1.0,4.0,21.0,0.0,7.9,19.25
1.0,1.0,4.0,22.0,0.0,7.2,18.75
1.0,1.0,4.0,23.0,0.0,7.7,18.5
1.0,2.0,5.0,0.0,0.0,7.4,20.5
1.0,2.0,5.0,1.0,0.0,8.1,18.75
1.0,2.0,5.0,2.0,0.0,8.2,18.0
1.0,2.0,5.0,3.0,0.0,8.3,18.0
1.0,2.0,5.0,4.0,0.0,6.4,18.75
1.0,2.0,5.0,5.0,0.0,6.7,18.5
1.0,2.0,5.0,6.0,0.0,5.7,21.5
1.0,2.0,5.0,7.0,0.0,7.1,25.25
1.0,2.0,5.0,8.0,0.0,6.7,26.25
1.0,2.0,5.0,9.0,0.0,6.7,32.75
1.0,2.0,5.0,10.0,0.0,7.4,34.0
1.0,2.0,5.0,11.0,0.0,8.7,34.25
1.0,2.0,5.0,12.0,0.0,9.3,38.25
1.0,2.0,5.0,13.0,0.0,9.6,37.25
1.0,2.0,5.0,14.0,0.0,9.3,37.5
1.0,2.0,5.0,15.0,0.0,9.4,39.5
1.0,2.0,5.0,16.0,0.0,9.2,40.25
1.0,2.0,5.0,17.0,0.0,8.7,38.0
1.0,2.0,5.0,18.0,0.0,9.0,32.0
1.0,2.0,5.0,19.0,0.0,8.7,26.75
1.0,2.0,5.0,20.0,0.0,8.2,24.25
1.0,2.0,5.0,21.0,0.0,7.5,23.75
1.0,2.0,5.0,22.0,0.0,6.9,23.75
1.0,2.0,5.0,23.0,0.0,6.5,22.75
1.0,3.0,6.0,0.0,0.0,6.4,26.9596
1.0,3.0,6.0,1.0,0.0,6.3,30.9192
1.0,3.0,6.0,2.0,0.0,6.5,30.9192
1.0,3.0,6.0,3.0,0.0,6.4,30.9192
1.0,3.0,6.0,4.0,0.0,6.2,30.9192
1.0,3.0,6.0,5.0,0.0,5.6,30.9192
1.0,3.0,6.0,6.0,0.0,5.6,30.9192
1.0,3.0,6.0,7.0,0.0,4.9,30.9192
1.0,3.0,6.0,8.0,0.0,5.4,30.9192
1.0,3.0,6.0,9.0,0.0,5.6,30.9192
1.0,3.0,6.0,10.0,0.0,5.0,30.9192
1.0,3.0,6.0,11.0,0.0,5.8,30.9192
1.0,3.0,6.0,12.0,0.0,6.9,30.9192
1.0,3.0,6.0,13.0,0.0,7.7,30.9192
1.0,3.0,6.0,14.0,0.0,7.9,30.9192
1.0,3.0,6.0,15.0,0.0,8.1,30.9192
1.0,3.0,6.0,16.0,0.0,7.9,30.9192
1.0,3.0,6.0,17.0,0.0,7.4,30.9192
1.0,3.0,6.0,18.0,0.0,7.1,30.9192
1.0,3.0,6.0,19.0,0.0,6.4,30.9192
1.0,3.0,6.0,20.0,0.0,5.9,30.9192
1.0,3.0,6.0,21.0,0.0,5.7,30.9192
1.0,3.0,6.0,22.0,0.0,5.6,30.9192
1.0,3.0,6.0,23.0,0.0,5.9,30.9192
1.0,4.0,7.0,0.0,0.0,6.7,30.9192
1.0,4.0,7.0,1.0,0.0,7.5,30.9192
1.0,4.0,7.0,2.0,0.0,8.0,30.9192
1.0,4.0,7.0,3.0,0.0,8.3,30.9192
1.0,4.0,7.0,4.0,0.0,7.9,30.9192
1.0,4.0,7.0,5.0,0.0,7.4,30.9192
1.0,4.0,7.0,6.0,0.0,7.6,30.9192
1.0,4.0,7.0,7.0,0.0,7.8,30.9192
1.0,4.0,7.0,8.0,0.0,8.4,30.9192
1.0,4.0,7.0,9.0,0.0,9.2,30.9192
1.0,4.0,7.0,10.0,0.0,10.2,30.9192
1.0,4.0,7.0,11.0,0.0,9.7,30.9192
1.0,4.0,7.0,12.0,0.0,8.6,30.9192
1.0,4.0,7.0,13.0,0.0,7.6,30.9192
1.0,4.0,7.0,14.0,0.0,7.9,30.9192
1.0,4.0,7.0,15.0,0.0,7.8,30.9192
1.0,4.0,7.0,16.0,0.0,7.0,30.9192
1.0,4.0,7.0,17.0,0.0,5.9,30.9192
1.0,4.0,7.0,18.0,0.0,5.3,30.9192
1.0,4.0,7.0,19.0,0.0,5.1,30.9192
1.0,4.0,7.0,20.0,0.0,4.8,30.9192
1.0,4.0,7.0,21.0,0.0,4.2,30.9192
1.0,4.0,7.0,22.0,0.0,4.5,30.9192
1.0,4.0,7.0,23.0,0.0,3.0,30.9192
1.0,5.0,8.0,0.0,0.0,3.3,30.9192
1.0,5.0,8.0,1.0,0.0,3.2,30.9192
1.0,5.0,8.0,2.0,0.0,2.6,30.9192
1.0,5.0,8.0,3.0,0.0,2.7,30.9192
1.0,5.0,8.0,4.0,0.0,1.9,30.9192
1.0,5.0,8.0,5.0,0.0,2.4,30.9192
