month,weekday,day,hour,value
7.0,1.0,14.0,0.0,1.226
7.0,1.0,14.0,1.0,1.0605
7.0,1.0,14.0,2.0,0.802
7.0,1.0,14.0,3.0,0.7305
7.0,1.0,14.0,4.0,0.349
7.0,1.0,14.0,5.0,0.38
7.0,1.0,14.0,6.0,0.35150000000000003
7.0,1.0,14.0,7.0,0.35350000000000004
7.0,1.0,14.0,8.0,1.4369999999999998
7.0,1.0,14.0,9.0,4.029
7.0,1.0,14.0,10.0,1.3355000000000001
7.0,1.0,14.0,11.0,0.959
7.0,1.0,14.0,12.0,1.3805
7.0,1.0,14.0,13.0,0.65
7.0,1.0,14.0,14.0,0.583
7.0,1.0,14.0,15.0,0.292
7.0,1.0,14.0,16.0,1.17
7.0,1.0,14.0,17.0,0.531
7.0,1.0,14.0,18.0,0.554
7.0,1.0,14.0,19.0,1.815
7.0,1.0,14.0,20.0,0.4385
7.0,1.0,14.0,21.0,0.6905
7.0,1.0,14.0,22.0,2.9050000000000002
7.0,1.0,14.0,23.0,1.0055
7.0,2.0,15.0,0.0,1.0585
7.0,2.0,15.0,1.0,1.071
7.0,2.0,15.0,2.0,1.029
7.0,2.0,15.0,3.0,0.8785000000000001
7.0,2.0,15.0,4.0,0.474
7.0,2.0,15.0,5.0,0.42700000000000005
7.0,2.0,15.0,6.0,0.3105
7.0,2.0,15.0,7.0,0.384
7.0,2.0,15.0,8.0,0.246
7.0,2.0,15.0,9.0,0.33499999999999996
7.0,2.0,15.0,10.0,0.383
7.0,2.0,15.0,11.0,0.447
7.0,2.0,15.0,12.0,0.502
7.0,2.0,15.0,13.0,1.2365
7.0,2.0,15.0,14.0,2.5975
7.0,2.0,15.0,15.0,0.845
7.0,2.0,15.0,16.0,0.5395000000000001
7.0,2.0,15.0,17.0,0.3975
7.0,2.0,15.0,18.0,1.0765
7.0,2.0,15.0,19.0,3.6805000000000003
7.0,2.0,15.0,20.0,3.262
7.0,2.0,15.0,21.0,0.4775
7.0,2.0,15.0,22.0,1.264
7.0,2.0,15.0,23.0,1.4845
7.0,3.0,16.0,0.0,1.0835
7.0,3.0,16.0,1.0,0.7955
7.0,3.0,16.0,2.0,0.6285000000000001
7.0,3.0,16.0,3.0,0.503
7.0,3.0,16.0,4.0,0.3875
7.0,3.0,16.0,5.0,0.379
7.0,3.0,16.0,6.0,0.3205
7.0,3.0,16.0,7.0,0.4145
7.0,3.0,16.0,8.0,0.3735
7.0,3.0,16.0,9.0,0.5095000000000001
7.0,3.0,16.0,10.0,0.304
7.0,3.0,16.0,11.0,0.254
7.0,3.0,16.0,12.0,0.3095
7.0,3.0,16.0,13.0,0.53
7.0,3.0,16.0,14.0,1.258
7.0,3.0,16.0,15.0,0.2655
7.0,3.0,16.0,16.0,0.32999999999999996
7.0,3.0,16.0,17.0,0.266
7.0,3.0,16.0,18.0,0.32499999999999996
7.0,3.0,16.0,19.0,0.4255
7.0,3.0,16.0,20.0,3.3195
7.0,3.0,16.0,21.0,0.8180000000000001
7.0,3.0,16.0,22.0,1.3575
7.0,3.0,16.0,23.0,1.12
7.0,4.0,17.0,0.0,0.996
7.0,4.0,17.0,1.0,1.0
7.0,4.0,17.0,2.0,0.9695
7.0,4.0,17.0,3.0,0.7055
7.0,4.0,17.0,4.0,0.426
7.0,4.0,17.0,5.0,0.34850000000000003
7.0,4.0,17.0,6.0,0.2725
7.0,4.0,17.0,7.0,0.2425
7.0,4.0,17.0,8.0,1.0705
7.0,4.0,17.0,9.0,1.053
7.0,4.0,17.0,10.0,0.20700000000000002
7.0,4.0,17.0,11.0,0.2925
7.0,4.0,17.0,12.0,0.189
7.0,4.0,17.0,13.0,0.4685
7.0,4.0,17.0,14.0,1.1895
7.0,4.0,17.0,15.0,2.6235
7.0,4.0,17.0,16.0,1.3995
7.0,4.0,17.0,17.0,0.5015000000000001
7.0,4.0,17.0,18.0,0.39349999999999996
7.0,4.0,17.0,19.0,0.369
7.0,4.0,17.0,20.0,0.2165
7.0,4.0,17.0,21.0,0.33899999999999997
7.0,4.0,17.0,22.0,3.387
7.0,4.0,17.0,23.0,4.7035
7.0,5.0,18.0,0.0,1.8255
7.0,5.0,18.0,1.0,1.295
7.0,5.0,18.0,2.0,0.6890000000000001
7.0,5.0,18.0,3.0,1.0514999999999999
7.0,5.0,18.0,4.0,0.9195
7.0,5.0,18.0,5.0,0.8705
7.0,5.0,18.0,6.0,0.3545
7.0,5.0,18.0,7.0,0.3625
7.0,5.0,18.0,8.0,0.2505
7.0,5.0,18.0,9.0,0.2775
7.0,5.0,18.0,10.0,0.267
7.0,5.0,18.0,11.0,0.867
7.0,5.0,18.0,12.0,0.6375
7.0,5.0,18.0,13.0,1.085
7.0,5.0,18.0,14.0,0.666
7.0,5.0,18.0,15.0,0.46599999999999997
7.0,5.0,18.0,16.0,0.513
7.0,5.0,18.0,17.0,0.5195000000000001
7.0,5.0,18.0,18.0,1.358
7.0,5.0,18.0,19.0,0.942
7.0,5.0,18.0,20.0,0.485
7.0,5.0,18.0,21.0,0.5555
7.0,5.0,18.0,22.0,0.506
7.0,5.0,18.0,23.0,0.844
7.0,6.0,19.0,0.0,1.0
7.0,6.0,19.0,1.0,1.041
7.0,6.0,19.0,2.0,0.968
7.0,6.0,19.0,3.0,0.6275
7.0,6.0,19.0,4.0,0.4435
7.0,6.0,19.0,5.0,0.48750000000000004
7.0,6.0,19.0,6.0,0.46799999999999997
7.0,6.0,19.0,7.0,0.464
7.0,6.0,19.0,8.0,0.48650000000000004
7.0,6.0,19.0,9.0,0.5325
7.0,6.0,19.0,10.0,1.534
7.0,6.0,19.0,11.0,0.38649999999999995
7.0,6.0,19.0,12.0,0.9175
7.0,6.0,19.0,13.0,0.4555
7.0,6.0,19.0,14.0,2.1145
7.0,6.0,19.0,15.0,0.7855000000000001
7.0,6.0,19.0,16.0,3.3834999999999997
7.0,6.0,19.0,17.0,4.5835
7.0,6.0,19.0,18.0,2.2125
7.0,6.0,19.0,19.0,1.0265
7.0,6.0,19.0,20.0,0.519
7.0,6.0,19.0,21.0,1.169
